League,Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
TRUFFLE,WR,CRB,Tetairoa McMillan,CAR,CHI,Sun  1:00pm ET,5,47.5,17,31,95%,78%,30,2,196.40,195.30,161.84
TRUFFLE,WR,CRB,George Pickens,DAL,@NYG,Sun  8:20pm ET,14,48.5,9,23,98%,95%,25,2,271.90,205.50,198.00
TRUFFLE,TE,CRB,Hunter Henry,NE,@SEA,Wed  8:20pm ET,11,44.5,21,20,61%,20%,2,1,160.80,127.80,105.87
TRUFFLE,RB,CRB,Jonathon Brooks,CAR,CHI,Sun  1:00pm ET,5,47.5,28,19,62%,19%,30,2,0.00,1.00,149.43
TRUFFLE,WR,CRB,Christian Watson,GB,@MIN,Sun  4:25pm ET,11,45.5,27,1,89%,45%,35,2,125.40,100.70,147.66
TRUFFLE,QB,CRB,Bo Nix,DEN,@KC,Mon  8:15pm ET,10,43,16,12,89%,37%,15,1,330.14,339.08,275.50
TRUFFLE,DST,CRB,Broncos,DEN,@KC,Mon  8:15pm ET,10,43,2,13,100%,93%,2,2,162.00,158.00,184.40
TRUFFLE,RB,CRB,Emari Demercado,KC,DEN,Mon  8:15pm ET,5,43,---,3,11%,1%,1,2,57.40,52.40,0.00
TRUFFLE,RB,CRB,Sean Tucker,TB,@CIN,Sun  1:00pm ET,10,50.5,---,31,15%,1%,2,1,107.40,64.20,29.00
TRUFFLE,WR,CRB,Luke McCaffrey,WAS,@PHI,Sun  4:25pm ET,7,45.5,---,8,3%,1%,1,1,46.30,35.00,59.81
TRUFFLE,RB,CRB,Kenneth Gainwell,TB,@CIN,Sun  1:00pm ET,10,50.5,39,31,84%,25%,16,1,205.40,124.52,129.27
TRUFFLE,TE,CRB,Eli Stowers,PHI,WAS,Sun  4:25pm ET,10,45.5,---,30,6%,1%,5,3,0.00,0.00,42.37
TRUFFLE,WR,CRB,Antonio Williams,WAS,@PHI,Sun  4:25pm ET,7,45.5,---,8,10%,1%,10,3,0.00,0.00,88.01
TRUFFLE,RB,CRB,Emanuel Wilson,SEA,NE,Wed  8:20pm ET,11,44.5,---,2,22%,2%,1,1,117.10,73.50,77.91
TRUFFLE,DST,CRB,Eagles,PHI,WAS,Sun  4:25pm ET,10,45.5,5,20,93%,80%,2,2,157.00,133.00,165.20
TRUFFLE,QB,ELP,Patrick Mahomes,KC,DEN,Mon  8:15pm ET,5,43,15,13,84%,35%,111,1,312.68,302.58,302.24
TRUFFLE,RB,ELP,Saquon Barkley,PHI,WAS,Sun  4:25pm ET,10,45.5,11,29,98%,95%,128,2,254.50,308.70,218.66
TRUFFLE,RB,ELP,Kenneth Walker,KC,DEN,Mon  8:15pm ET,5,43,9,3,98%,84%,70,1,219.00,208.40,200.71
TRUFFLE,WR,ELP,Jauan Jennings,MIN,GB,Sun  4:25pm ET,6,45.5,---,21,44%,18%,4,2,154.30,122.00,103.11
TRUFFLE,WR,ELP,Chris Olave,NO,@DET,Sun  1:00pm ET,8,50.5,11,30,97%,89%,35,2,221.30,161.30,182.71
TRUFFLE,TE,ELP,Tyler Warren,IND,BAL,Sun  1:00pm ET,13,47.5,5,8,97%,75%,15,2,157.50,159.90,135.57
TRUFFLE,WR,ELP,Luther Burden,CHI,@CAR,Sun  1:00pm ET,10,47.5,23,12,76%,40%,5,2,111.80,109.70,145.89
TRUFFLE,WR,ELP,Matthew Golden,GB,@MIN,Sun  4:25pm ET,11,45.5,46,1,56%,5%,5,2,60.00,56.50,106.82
TRUFFLE,QB,ELP,Jaxson Dart,NYG,DAL,Sun  8:20pm ET,8,48.5,14,32,91%,42%,5,2,279.88,275.04,307.57
TRUFFLE,DST,ELP,Chargers,LAC,ARI,Sun  4:25pm ET,7,47.5,9,27,69%,53%,1,2,145.00,137.00,154.50
TRUFFLE,QB,ELP,Carson Beck,ARI,@LAC,Sun  4:25pm ET,14,47.5,---,3,6%,1%,3,3,0.00,0.00,0.00
TRUFFLE,RB,ELP,Braelon Allen,NYJ,@TEN,Sun  1:00pm ET,13,39,55,13,33%,1%,1,3,18.30,50.70,101.02
TRUFFLE,RB,ELP,Woody Marks,HOU,BUF,Sun  1:00pm ET,8,44.5,43,25,75%,15%,8,1,173.60,171.60,107.18
TRUFFLE,WR,ELP,Isaac TeSlaa,DET,NO,Sun  1:00pm ET,6,50.5,---,10,11%,1%,3,2,73.90,73.80,69.24
TRUFFLE,WR,ELP,Jameson Williams,DET,NO,Sun  1:00pm ET,6,50.5,26,10,93%,77%,60,1,204.70,157.20,160.72
TRUFFLE,RB,ELP,Kaelon Black,SF,@LAR,Thu  8:35pm ET,8,48.5,60,10,33%,1%,5,3,0.00,0.00,101.92
TRUFFLE,WR,ELP,Jalen Coker,CAR,CHI,Sun  1:00pm ET,5,47.5,43,31,44%,4%,1,1,79.40,74.06,107.28
TRUFFLE,WR,ELP,Carnell Tate,TEN,NYJ,Sun  1:00pm ET,9,39,37,19,57%,16%,35,3,0.00,0.00,99.93
TRUFFLE,QB,ELP,Malik Willis,MIA,@LV,Sun  4:25pm ET,6,40.5,20,14,35%,6%,3,1,60.18,34.04,283.92
TRUFFLE,QB,FRR,Matthew Stafford,LAR,SF,Thu  8:35pm ET,11,48.5,13,16,93%,62%,66,1,351.98,273.96,286.25
TRUFFLE,RB,FRR,Christian McCaffrey,SF,@LAR,Thu  8:35pm ET,8,48.5,5,10,99%,96%,82,1,433.60,303.40,244.45
TRUFFLE,RB,FRR,D'Andre Swift,CHI,@CAR,Sun  1:00pm ET,10,47.5,18,23,96%,83%,40,1,268.80,240.20,200.83
TRUFFLE,WR,FRR,Ja'Marr Chase,CIN,TB,Sun  1:00pm ET,6,50.5,1,18,98%,97%,79,1,261.90,284.30,217.29
TRUFFLE,WR,FRR,Drake London,ATL,@PIT,Sun  1:00pm ET,11,42.5,8,26,95%,79%,60,1,179.90,194.10,194.45
TRUFFLE,TE,FRR,George Kittle,SF,@LAR,Thu  8:35pm ET,8,48.5,11,14,92%,50%,10,2,142.80,174.40,138.33
TRUFFLE,WR,FRR,Mike Evans,SF,@LAR,Thu  8:35pm ET,8,48.5,30,24,90%,55%,31,1,77.80,181.90,130.61
TRUFFLE,WR,FRR,Jaylen Waddle,DEN,@KC,Mon  8:15pm ET,10,43,19,6,93%,71%,42,3,179.12,163.80,139.09
TRUFFLE,QB,FRR,Jacoby Brissett,ARI,@LAC,Sun  4:25pm ET,14,47.5,24,3,39%,15%,10,1,243.64,95.66,246.80
TRUFFLE,DST,FRR,Texans,HOU,BUF,Sun  1:00pm ET,8,44.5,3,9,100%,91%,1,1,188.00,170.00,181.10
TRUFFLE,QB,FRR,Kirk Cousins,LV,MIA,Sun  4:25pm ET,13,40.5,---,23,18%,5%,11,2,107.84,140.70,39.96
