Season,Week,TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+,Tar,TarPct,Avg,20+,40+,1Std Pct,Total,Avg,Total
2022,1,CC,Chase Edmonds,RB,MIA,0,0,0,2.1,0,4,12.1,10,0,0,75,65,9.5,9.5
2022,1,MCM,Travis Etienne,RB,JAC,0,0,0,11.8,1,4,9.5,9,1,0,50,65,9.5,9.5
2022,1,NN,Josh Jacobs,RB,LV,0,0,0,5.7,0,1,2.7,16,0,0,100,73,9.3,9.3
2022,1,W (9/29),Greg Dortch,WR,ARI,0,0,0,0,0,9,23.7,9,1,0,42.9,63,9.3,9.3
2022,1,VD,Derrick Henry,RB,TEN,0,0,0,3.9,0,1,3,0,0,0,0,82,9.2,9.2
2022,1,VD,Jakobi Meyers,WR,NE,0,0,0,7,0,6,20,13.8,1,0,50,62,9.2,9.2
2022,1,W (9/29),Richie James,WR,NYG,0,0,0,2,0,6,28.6,11.8,0,0,60,61,9.1,9.1
2022,1,W (9/29),Donovan Peoples-Jones,WR,CLE,0,0,0,0,0,11,32.4,10,0,0,50,60,9,9
2022,1,W (9/29),Rex Burkhead,RB,HOU,0,0,0,2.9,0,8,21.6,6,0,0,20,70,9,9
2022,1,MAM,Dallas Goedert,TE,PHI,0,0,0,0,0,4,12.5,20,2,0,100,60,9,9
2022,1,FRR,JuJu Smith-Schuster,WR,KC,0,0,0,0,0,8,20.5,13.2,1,0,50,79,8.9,8.9
2022,1,W (9/29),Zander Horvath,RB,LAC,0,0,0,2,0,2,5.9,3,0,0,50,8,8.8,8.8
2022,1,MCM,Damien Harris,RB,NE,0,0,0,5.3,0,3,10,5,0,0,50,58,8.8,8.8
2022,1,W (9/29),Equanimeous St Brown,WR,CHI,0,0,0,0,0,3,17.6,18,0,0,100,18,8.8,8.8
2022,1,FRR,Matthew Stafford,QB,LAR,70.7,3,0,2,0,0,0,0,0,0,0,242,8.8,8.8
2022,1,W (9/29),Tyler Conklin,TE,NYJ,0,0,0,0,0,7,11.9,4,0,0,25,16,8.6,8.6
2022,1,GF,Keenan Allen,WR,LAC,0,0,0,0,0,4,11.8,16.5,1,1,50,66,8.6,8.6
2022,1,W (9/29),Ty Montgomery,RB,NE,0,0,0,-1,0,4,13.3,5,0,0,33.3,13,8.5,8.5
2022,1,CC,Chase Claypool,WR,PIT,0,0,0,6,0,6,15.8,4.5,0,0,25,54,8.4,8.4
2022,1,CC,Nyheim Hines,RB,IND,0,0,0,1.3,0,6,12,8.3,0,0,50,54,8.4,8.4
2022,1,W (9/29),Jauan Jennings,WR,SF,0,0,0,0,0,6,21.4,15.5,1,1,50,62,8.2,8.2
2022,1,VD,Dalton Schultz,TE,DAL,0,0,0,0,0,9,21.4,8.9,0,0,28.6,62,8.2,8.2
2022,1,NN,Ezekiel Elliott,RB,DAL,0,0,0,5.2,0,2,4.8,-3,0,0,0,49,8.2,8.2
2022,1,AFL,Chris Olave,WR,NO,0,0,0,0,0,3,8.8,13.7,1,0,66.7,41,8.1,8.1
2022,1,W (9/29),Eno Benjamin,RB,ARI,0,0,0,7,0,4,10.5,11,1,0,33.3,61,8.1,8.1
2022,1,W (9/29),Boston Scott,RB,PHI,0,0,0,2.5,0,0,0,0,0,0,0,10,8,8
2022,1,FRR,Elijah Moore,WR,NYJ,0,0,0,0,0,7,11.9,9.8,1,0,60,49,7.9,7.9
