League,Season,TRUFFLE,Pos,Player,NFL,Salary,Contract,Ring,BenchCup
TRUFFLE,2021,FRR,QB,Patrick Mahomes,KC,72,3,0,1
TRUFFLE,2021,FRR,RB,Christian McCaffrey,CAR,104,1,0,1
TRUFFLE,2021,FRR,RB,D'Andre Swift,DET,15,2,0,1
TRUFFLE,2021,FRR,WR,Jaylen Waddle,MIA,10,3,0,1
TRUFFLE,2021,FRR,WR,Elijah Moore,NYJ,5,3,0,1
TRUFFLE,2021,FRR,WR,Ja'Marr Chase,CIN,40,3,0,1
TRUFFLE,2021,FRR,TE,TJ Hockenson,DET,21,2,0,1
TRUFFLE,2021,FRR,RB,Javonte Williams,DEN,5,3,0,1
TRUFFLE,2021,FRR,RB,Rashaad Penny,SEA,35,2,0,1
TRUFFLE,2021,FRR,QB,Jared Goff,DET,2,2,0,1
TRUFFLE,2021,FRR,RB,Duke Johnson,MIA,4,2,0,1
TRUFFLE,2021,FRR,RB,Devin Singletary,BUF,33,2,0,1
TRUFFLE,2021,FRR,WR,Robert Woods,LAR,24,2,0,1
TRUFFLE,2021,FRR,WR,Brandin Cooks,HOU,16,1,0,1
TRUFFLE,2021,FRR,WR,JuJu Smith-Schuster,PIT,46,3,0,1
TRUFFLE,2021,FRR,WR,Jerry Jeudy,DEN,25,2,0,1
TRUFFLE,2021,FRR,WR,Josh Palmer,LAC,1,2,0,1
TRUFFLE,2021,GF,QB,Jameis Winston,NO,15,2,0,0
TRUFFLE,2021,GF,RB,Michael Carter,NYJ,5,3,0,0
TRUFFLE,2021,GF,RB,Trey Sermon,SF,5,3,0,0
TRUFFLE,2021,GF,WR,Jarvis Landry,CLE,10,2,0,0
TRUFFLE,2021,GF,WR,Sterling Shepard,NYG,1,2,0,0
TRUFFLE,2021,GF,WR,Amari Rodgers,GB,4,3,0,0
TRUFFLE,2021,GF,TE,Noah Fant,DEN,14,3,0,0
TRUFFLE,2021,GF,RB,Miles Sanders,PHI,67,2,0,0
TRUFFLE,2021,GF,WR,Julio Jones,TEN,67,2,0,0
TRUFFLE,2021,GF,QB,Andy Dalton,CHI,15,2,0,0
TRUFFLE,2021,GF,QB,Case Keenum,CLE,11,2,0,0
TRUFFLE,2021,GF,QB,Russell Wilson,SEA,63,3,0,0
TRUFFLE,2021,GF,QB,Derek Carr,KV,35,3,0,0
TRUFFLE,2021,GF,QB,Brandon Allen,CIN,11,2,0,0
TRUFFLE,2021,GF,QB,Jordan Love,GV,11,2,0,0
TRUFFLE,2021,GF,RB,James Conner,ARI,69,2,0,0
TRUFFLE,2021,GF,WR,Keenan Allen,LAC,47,2,0,0
TRUFFLE,2021,GF,WR,Kendrick Bourne,NE,1,2,0,0
TRUFFLE,2021,GF,RB,James White,NE,3,2,0,0
TRUFFLE,2021,GF,WR,DJ Chark,JAC,5,2,0,0
TRUFFLE,2021,MAM,QB,Tua Tagovailoa,MIA,50,2,0,0
TRUFFLE,2021,MAM,RB,Nick Chubb,CLE,68,1,0,0
TRUFFLE,2021,MAM,RB,Josh Jacobs,LV,65,1,0,0
TRUFFLE,2021,MAM,WR,Laquon Treadwell,JAC,1,2,0,0
TRUFFLE,2021,MAM,WR,Josh Reynolds,DET,1,2,0,0
TRUFFLE,2021,MAM,WR,Courtland Sutton,DEN,49,2,0,0
TRUFFLE,2021,MAM,TE,Dallas Goedert,PHI,5,3,0,0
TRUFFLE,2021,MAM,RB,Sony Michel,LAR,1,2,0,0
TRUFFLE,2021,MAM,QB,Matt Ryan,ATL,50,2,0,0
TRUFFLE,2021,MAM,WR,Mike Evans,TB,54,2,0,0
TRUFFLE,2021,MAM,WR,Darius Slayton,NYG,21,2,0,0
TRUFFLE,2021,MAM,WR,Chris Godwin,TB,52,2,0,0
TRUFFLE,2021,MAM,WR,Dyami Brown,WAS,3,3,0,0
TRUFFLE,2021,MAM,TE,Gerald Everett,SEA,1,2,0,0
TRUFFLE,2021,MAM,TE,Dawson Knox,BUF,1,1,0,0
TRUFFLE,2021,MAM,RB,Chuba Hubbard,CAR,4,3,0,0
TRUFFLE,2021,MAM,QB,Justin Fields,CHI,30,3,0,0
TRUFFLE,2021,MAM,RB,Kenyan Drake,LV,18,2,0,0
TRUFFLE,2021,MCM,QB,Justin Herbert,LAC,30,2,0,0
TRUFFLE,2021,MCM,RB,Ezekiel Elliott,DAL,95,1,0,0
TRUFFLE,2021,MCM,RB,Darrell Williams,KC,10,2,0,0
TRUFFLE,2021,MCM,RB,Cordarrelle Patterson,ATL,15,2,0,0
TRUFFLE,2021,MCM,WR,Stefon Diggs,BUF,86,2,0,0
TRUFFLE,2021,MCM,WR,Hunter Renfrow,LV,3,2,0,0
TRUFFLE,2021,MCM,TE,Kyle Pitts,ATL,35,3,0,0
TRUFFLE,2021,MCM,RB,Damien Harris,NE,12,1,0,0
TRUFFLE,2021,MCM,QB,Dak Prescott,DAL,66,3,0,0
TRUFFLE,2021,MCM,QB,Teddy Bridewater,DEN,6,2,0,0
TRUFFLE,2021,MCM,QB,Taylor Heinicke,WAS,1,1,0,0
TRUFFLE,2021,MCM,QB,Ian Book,NO,3,3,0,0
TRUFFLE,2021,MCM,RB,Devontae Booker,NYG,20,1,0,0
TRUFFLE,2021,MCM,RB,Kareem Hunt,CLE,34,1,0,0
TRUFFLE,2021,MCM,WR,Jakeem Grant,CHI,2,2,0,0
TRUFFLE,2021,MCM,WR,Mike Williams,LAC,15,2,0,0
TRUFFLE,2021,MCM,RB,Travis Etienne,JAC,10,3,0,0
TRUFFLE,2021,MCM,WR,Jamal Agnew,JAC,1,2,0,0
TRUFFLE,2021,MWM,QB,Tom Brady,TB,77,1,0,0
TRUFFLE,2021,MWM,RB,Aaron Jones,GB,70,1,0,0
