Player,TRUFFLE,Pos,NFL,Opp,GameTime,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Last,Avg,Proj
David Montgomery,VD,RB,CHI,TBA,NA,NA,NA,16,NA,0.95,0.8,30,1,226,242.4,203.62
Davis Mills,VD,QB,HOU,TBA,NA,NA,NA,27,NA,0.28,0.08,3,2,161.96,161.96,194.72
DeVante Parker,AFL,WR,NE,TBA,NA,NA,NA,54,NA,0.8,0.28,27,1,92.5,157.7,116.56
DeVonta Smith,CRB,WR,PHI,TBA,NA,NA,NA,36,NA,0.93,0.3,15,2,164.6,164.6,135.39
Deebo Samuel,ELP,WR,SF,TBA,NA,NA,NA,8,NA,0.93,0.83,36,1,333.96,188.22,221.06
Derek Carr,GF,QB,LV,TBA,NA,NA,NA,12,NA,0.85,0.35,35,2,265.96,272.8,275.31
Derrick Henry,VD,RB,TEN,TBA,NA,NA,NA,2,NA,0.85,0.38,105,1,231.3,331.98,252.71
Deshaun Watson,NN,QB,CLE,TBA,NA,NA,NA,8,NA,0.55,0.25,62,2,0,248.48,322.22
Devin Singletary,FRR,RB,BUF,TBA,NA,NA,NA,22,NA,0.88,0.38,33,1,212.8,176.7,147.72
Devonta Freeman,CC,RB,BAL,TBA,NA,NA,NA,NA,NA,0.63,0.28,15,1,152.6,130.7,0
Diontae Johnson,VD,WR,PIT,TBA,NA,NA,NA,13,NA,1,0.78,28,1,228.4,179.7,163.55
Dolphins,AFL,DST,MIA,TBA,NA,NA,NA,9,NA,0.72,0.34,1,1,152,108,155.3
Donovan Peoples-Jones,CC,WR,CLE,TBA,NA,NA,NA,NA,NA,0.45,0.08,3,1,101.7,75,105.42
Dontrell Hilliard,CRB,RB,TEN,TBA,NA,NA,NA,NA,NA,0.53,0.08,15,1,74.7,36.9,65.01
Drew Lock,AFL,QB,SEA,TBA,NA,NA,NA,NA,NA,0.2,0,44,1,55.88,106.7,210.87
Dyami Brown,MAM,WR,WAS,TBA,NA,NA,NA,NA,NA,0.18,0,3,2,22.5,22.5,40.03
Elijah Moore,FRR,WR,NYJ,TBA,NA,NA,NA,39,NA,0.7,0.15,5,2,122.2,122.2,135.91
Emmanuel Sanders,AFL,WR,BUF,TBA,NA,NA,NA,NA,NA,0.6,0.03,3,1,122.7,141.88,0
Gabriel Davis,WLW,WR,BUF,TBA,NA,NA,NA,32,NA,0.5,0.15,2,1,119.9,121.4,143.59
Geno Smith,CC,QB,SEA,TBA,NA,NA,NA,NA,NA,0.05,0,6,1,57.28,20.1,0
George Kittle,AFL,TE,SF,TBA,NA,NA,NA,4,NA,0.93,0.9,37,2,169,155.6,145.56
Gerald Everett,MAM,TE,LAC,TBA,NA,NA,NA,20,NA,0.6,0.15,1,1,97.8,79.1,94.04
Hunter Henry,ELP,TE,NE,TBA,NA,NA,NA,21,NA,0.75,0.25,1,1,148.3,133.3,87.19
Hunter Renfrow,MCM,WR,LV,TBA,NA,NA,NA,46,NA,0.78,0.6,3,1,207.1,142.7,128.51
Ian Book,MCM,QB,NO,TBA,NA,NA,NA,NA,NA,0.05,0,3,3,3,3,11
JK Dobbins,CRB,RB,BAL,TBA,NA,NA,NA,24,NA,0.55,0.13,15,1,0,91.2,162.21
Ja'Marr Chase,FRR,WR,CIN,TBA,NA,NA,NA,2,NA,0.98,0.85,40,2,281.6,281.6,208.2
Jake Fromm,ELP,QB,NYG,TBA,NA,NA,NA,NA,NA,0.05,0,1,1,14.9,5.4,0
Jakeem Grant,MCM,WR,CLE,TBA,NA,NA,NA,NA,NA,0.03,0,2,1,31.5,42.2,46.48
Jakobi Meyers,ELP,WR,NE,TBA,NA,NA,NA,NA,NA,0.73,0.1,10,1,145.3,108.86,98.51
Jamal Agnew,MCM,WR,JAC,TBA,NA,NA,NA,NA,NA,0.05,0,1,1,63,21.6,44.03
Jameis Winston,GF,QB,NO,TBA,NA,NA,NA,20,NA,0.38,0.08,15,1,134.4,158.42,224.9
James Conner,GF,RB,ARI,TBA,NA,NA,NA,14,NA,0.98,0.5,69,1,291.7,206.6,226.08
Jamison Crowder,VD,WR,BUF,TBA,NA,NA,NA,NA,NA,0.55,0.08,5,1,80.7,129.16,71.31
Jared Goff,FRR,QB,DET,TBA,NA,NA,NA,31,NA,0.38,0.13,2,1,198.5,234.3,221.57
Javonte Williams,FRR,RB,DEN,TBA,NA,NA,NA,10,NA,0.93,0.6,5,2,225.9,225.9,172.5
Jaylen Waddle,FRR,WR,MIA,TBA,NA,NA,NA,24,NA,0.93,0.63,10,2,201.8,201.8,153.22
Jeff Wilson,WLW,RB,SF,TBA,NA,NA,NA,NA,NA,0.63,0.18,2,1,64.5,90.9,19.91
Jerry Jeudy,FRR,WR,DEN,TBA,NA,NA,NA,21,NA,0.9,0.35,25,1,69,108.4,148.75
Jimmy Garoppolo,AFL,QB,SF,TBA,NA,NA,NA,NA,NA,0.6,0.08,3,1,242.5,187.04,13.57
Joe Burrow,AFL,QB,CIN,TBA,NA,NA,NA,10,NA,0.93,0.58,45,1,328.24,255,294.83
Joe Mixon,AFL,RB,CIN,TBA,NA,NA,NA,7,NA,0.95,0.83,65,1,316.9,223.9,219.18
Jonathan Taylor,CC,RB,IND,TBA,NA,NA,NA,1,NA,0.95,0.9,35,1,452.1,374,293.77
Jordan Howard,ELP,RB,PHI,TBA,NA,NA,NA,NA,NA,0.3,0.03,1,1,86.5,81.8,0
Josh Allen,CC,QB,BUF,TBA,NA,NA,NA,1,NA,0.95,0.83,80,1,455.58,407.42,391.4
Josh Palmer,FRR,WR,LAC,TBA,NA,NA,NA,NA,NA,0.4,0,1,1,77.9,77.9,66.53
Josh Palmer Dead Cap,CRB,DC,LAC,TBA,NA,NA,NA,NA,NA,0,0,1,2,0,0,0
Josh Reynolds,MAM,WR,DET,TBA,NA,NA,NA,NA,NA,0.18,0.03,1,1,72.6,80.6,64.67
JuJu Smith-Schuster,FRR,WR,KC,TBA,NA,NA,NA,31,NA,0.55,0.15,46,2,26.8,98.7,131.16
Justin Fields,MAM,QB,CHI,TBA,NA,NA,NA,19,NA,0.6,0.13,30,2,148.8,148.8,244.79
Justin Herbert,MCM,QB,LAC,TBA,NA,NA,NA,3,NA,0.98,0.8,30,1,408.76,379.8,344.74
Justin Jackson,NN,RB,LAC,TBA,NA,NA,NA,NA,NA,0.55,0.05,1,1,90.2,65.2,0
Justin Jefferson,NN,WR,MIN,TBA,NA,NA,NA,3,NA,0.95,0.85,5,1,298.4,268.32,217.07
KJ Osborn,CRB,WR,MIN,TBA,NA,NA,NA,NA,NA,0.53,0.13,5,1,135.5,70.3,129.44
Kadarius Toney,AFL,WR,NYG,TBA,NA,NA,NA,52,NA,0.58,0.08,4,2,64.36,64.36,98.38
Keenan Allen,GF,WR,LAC,TBA,NA,NA,NA,14,NA,0.98,0.85,47,1,217.8,214.5,164.2
Kendrick Bourne,GF,WR,NE,TBA,NA,NA,NA,NA,NA,0.5,0.1,1,1,159.5,121.32,101.95
Kenneth Gainwell,CC,RB,PHI,TBA,NA,NA,NA,43,NA,0.73,0.03,3,2,123.4,123.4,106.97
Kenyan Drake,MAM,RB,LV,TBA,NA,NA,NA,NA,NA,0.6,0.08,18,1,99.5,185.3,82.92
Khalil Herbert,VD,RB,CHI,TBA,NA,NA,NA,52,NA,0.4,0,1,1,94.9,94.9,30.6
Kirk Cousins,CC,QB,MIN,TBA,NA,NA,NA,16,NA,0.8,0.33,20,1,308.34,293.3,295.7
Kyle Pitts,MCM,TE,ATL,TBA,NA,NA,NA,3,NA,0.9,0.8,35,2,151.6,151.6,116.39
Kyle Trask,NN,QB,TB,TBA,NA,NA,NA,NA,NA,0.2,0,4,2,0,0,14.05
Kyler Murray,NN,QB,ARI,TBA,NA,NA,NA,7,NA,0.95,0.85,83,1,325.48,357.78,317.05
Lamar Jackson,WLW,QB,BAL,TBA,NA,NA,NA,4,NA,0.95,0.55,83,2,287.98,386.18,343.1
Laquon Treadwell,MAM,WR,JAC,TBA,NA,NA,NA,NA,NA,0.2,0,1,1,71.4,39.2,59.67
Laviska Shenault,VD,WR,JAC,TBA,NA,NA,NA,NA,NA,0.58,0.05,4,1,96,115.6,76.17
Logan Thomas,AFL,TE,WAS,TBA,NA,NA,NA,19,NA,0.48,0.05,1,1,45.6,73.16,88.67
Mac Jones,ELP,QB,NE,TBA,NA,NA,NA,24,NA,0.7,0.18,15,2,246.94,246.94,210.93
Mark Andrews,ELP,TE,BAL,TBA,NA,NA,NA,2,NA,0.93,0.83,28,2,269.1,205.1,178.99
Mark Ingram,CRB,RB,NO,TBA,NA,NA,NA,57,NA,0.6,0,3,1,112.6,158.7,74.52
Marquise Brown,ELP,WR,ARI,TBA,NA,NA,NA,23,NA,0.88,0.6,50,1,177.3,153.9,145.5
