playerID,Player,Pos,NFL,TRUFFLE
3117054,Chris Myarick,TE,NYG,W (5/9)
3153041,Tavonn Salter,WR,ATL,W (5/9)
2179226,Ray-Ray McCloud,WR,SF,W (5/9)
2139547,Papi White,WR,TEN,W (5/9)
2141655,Allen Lazard,WR,GB,W (5/9)
2180481,CJ Conrad,TE,NYG,W (5/9)
1893167,Davante Adams,WR,LV,VD
2240193,Demetric Felton,RB,CLE,W (5/9)
1737484,Sean Mannion,QB,MIN,W (5/9)
2867503,Whop Philyor,WR,MIN,W (5/9)
2251139,Scooter Harrington,TE,CHI,W (5/9)
2131252,Curtis Samuel,WR,WAS,AFL
3117391,Taj McGowan,RB,JAC,W (5/9)
2179863,Omar Bayless,WR,KC,W (5/9)
2866191,Montrell Washington,WR,DEN,W (5/9)
2962347,Pooka Williams,RB,CIN,W (5/9)
1125485,Luke Stocker,TE,MIN,W (5/9)
3121836,Kyren Williams,RB,LAR,W (5/9)
2964787,Brevin Jordan,TE,HOU,W (5/9)
2954080,Khadarel Hodge,WR,ATL,W (5/9)
3116796,Ashton Dulin,WR,IND,W (5/9)
2820531,Trey Edmunds,RB,PIT,W (5/9)
2249831,Travis Homer,RB,SEA,W (5/9)
2180329,Ronald Jones,RB,KC,CRB
2142712,Jordan Akins,TE,NYG,W (5/9)
2080164,David Wells,TE,ARI,W (5/9)
1700358,Geno Smith,QB,SEA,CC
2961906,Isaiah Likely,TE,BAL,W (5/9)
2878193,Nico Collins,WR,HOU,AFL
2965664,Alec Pierce,WR,IND,W (5/9)
2061188,Derrick Henry,RB,TEN,VD
2247199,Landon Lenoir,WR,CHI,W (5/9)
2131743,Nick Fitzgerald,QB,TB,W (5/9)
1762348,DaRon Brown,WR,FA,W (5/9)
2184377,Tyree Jackson,TE,PHI,W (5/9)
2131579,Nick Chubb,RB,CLE,W (5/9)
2185708,Zach Gentry,TE,PIT,W (5/9)
2182811,Tyler Davis,TE,GB,W (5/9)
2079698,Darrell Daniels,TE,ARI,W (5/9)
2251371,Caleb Wilson,TE,DEN,W (5/9)
2240415,Michael Gallup,WR,DAL,CRB
2131912,Nick Bawden,RB,NYJ,W (5/9)
3159066,Matt Cole,WR,SEA,W (5/9)
2240073,Mathew Sexton,WR,KC,W (5/9)
1691424,AJ McCarron,QB,ATL,W (5/9)
2179245,Daniel Jones,QB,NYG,WLW
1996830,Daje Johnson,WR,ATL,W (5/9)
1984220,Amari Cooper,WR,CLE,NN
2925874,Keith Kirkwood,WR,CAR,W (5/9)
3117089,Malik Taylor,WR,GB,W (5/9)
2079710,John Ross,WR,NYG,W (5/9)
2175065,Malcome Kennedy,WR,NO,W (5/9)
2061190,OJ Howard,TE,BUF,W (5/9)
2241240,Harrison Bryant,TE,CLE,W (5/9)
1691169,Lamar Miller,RB,NO,W (5/9)
2975736,John FitzPatrick,TE,ATL,W (5/9)
2131143,Joe Mixon,RB,CIN,AFL
2180620,Jazz Ferguson,WR,SEA,W (5/9)
2251993,Rico Bussey,WR,PIT,W (5/9)
1824833,Jarvis Landry,WR,CLE,W (5/9)
2239763,Ko Kieft,TE,TB,W (5/9)
2975590,Tyler Allgeier,RB,ATL,W (5/9)
2060804,Danny Etling,QB,GB,W (5/9)
2129680,Jeremy Gallon,WR,LV,W (5/9)
2890282,River Cracraft,WR,MIA,W (5/9)
3159147,Nakia Griffin-Stewart,TE,KC,W (5/9)
2221935,Landen Akers,WR,LAR,W (5/9)
2079084,Phillip Lindsay,RB,MIA,W (5/9)
1705702,Trabis Ward,RB,FA,W (5/9)
2807406,Matt Bushman,TE,KC,W (5/9)
2965260,Pro Wells,TE,CIN,W (5/9)
2179609,Isaiah Zuber,WR,NYJ,W (5/9)
2870475,Bo Melton,WR,SEA,W (5/9)
1664819,Derek Carr,QB,LV,GF
2815163,Salvon Ahmed,RB,MIA,W (5/9)
3159155,JoJo Ward,WR,ARI,W (5/9)
2925207,Devin Gray,WR,BAL,W (5/9)
1824723,Brett Hundley,QB,IND,W (5/9)
2181169,Lamar Jackson,QB,BAL,WLW
1272574,Kirk Cousins,QB,MIN,CC
2131215,Matt Sokol,TE,DET,W (5/9)
3127902,Drake London,WR,ATL,W (5/9)
2924894,Mikah Holder,WR,WAS,W (5/9)
2961886,Romeo Doubs,WR,GB,W (5/9)
2060475,Ryan Switzer,WR,CLE,W (5/9)
3159083,Ryan Becker,TE,ATL,W (5/9)
1989197,Zach Pascal,WR,PHI,W (5/9)
2805617,Jonathan Adams,WR,DET,W (5/9)
2239250,Marvin Hall,WR,ATL,W (5/9)
1850743,Sammy Watkins,WR,GB,W (5/9)
2893412,Marcus Santos-Silva,TE,CLE,W (5/9)
2132787,Cameron Brate,TE,TB,W (5/9)
2926331,Christian Scotland-Williamson,TE,PIT,W (5/9)
2962352,Erik Ezukanma,WR,MIA,W (5/9)
2180360,Myles Gaskin,RB,MIA,W (5/9)
2072143,Mike White,QB,NYJ,W (5/9)
1983674,Andy Janovich,RB,HOU,W (5/9)
2866975,DeVonta Smith,WR,PHI,CRB
2136449,Jaylen Samuels,RB,ARI,W (5/9)
26734864,Corey Taylor,RB,CLE,W (5/9)
3159160,Noah Togiai,TE,PHI,W (5/9)
2818910,Tim Patrick,WR,DEN,W (5/9)
2180355,Jake Browning,QB,CIN,W (5/9)
1273205,Justin Fields,QB,CHI,MAM
2965973,Dyami Brown,WR,WAS,MAM
2819444,Marcus Kemp,WR,KC,W (5/9)
2184609,Bailey Gaither,WR,GB,W (5/9)
2925536,Dontrell Hilliard,RB,TEN,CRB
2139106,Tommy Sweeney,TE,BUF,W (5/9)
1998316,Duke Johnson,RB,BUF,W (5/9)
1623794,Julio Jones,WR,TEN,W (5/9)
2803330,Sam Ehlinger,QB,IND,W (5/9)
2804040,Tre' McKitty,TE,LAC,W (5/9)
2080032,Baker Mayfield,QB,CLE,W (5/9)
1664646,Mohamed Sanu,WR,SF,W (5/9)
2183276,Taryn Christion,QB,PIT,W (5/9)
2239541,Dedrick Mills,RB,DET,W (5/9)
