TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+,Tar,TarPct,Avg,20+,40+,1Std Pct,Total,Avg,Total
W (9/29),Greg Dortch,WR,ARI,0.0,0,0,0.0,0.0,4,8.2,13.8,1,0,75.0,55,14.50,14.50
WLW,Marcus Mariota,QB,ATL,65.4,2,0,2.7,0.0,0,0.0,0.0,0,0,0.0,212,14.44,14.44
CC,Darren Waller,TE,LV,0.0,0,0,0.0,0.0,8,20.5,8.3,0,0,50.0,50,14.00,14.00
CRB,Breece Hall,RB,NYJ,0.0,0,0,7.1,1.0,1,2.2,10.0,0,0,100.0,60,14.00,14.00
WLW,Najee Harris,RB,PIT,0.0,0,0,3.3,0.0,6,18.2,8.0,0,0,60.0,89,13.90,13.90
W (9/29),Quez Watkins,WR,PHI,0.0,0,0,0.0,0.0,2,6.5,34.5,1,1,50.0,69,13.90,13.90
FRR,Dameon Pierce,RB,HOU,0.0,0,0,4.6,0.0,1,2.6,8.0,0,0,0.0,77,13.70,13.70
AFL,Miles Sanders,RB,PHI,0.0,0,0,4.7,0.0,3,9.7,2.0,0,0,0.0,86,13.60,13.60
MCM,Cooper Rush,QB,DAL,61.3,4,1,2.0,0.0,0,0.0,0.0,0,0,0.0,237,13.60,13.60
VD,Jakobi Meyers,WR,NE,0.0,0,0,0.0,0.0,13,37.1,10.6,1,0,44.4,95,13.50,13.50
WLW,CeeDee Lamb,WR,DAL,0.0,0,0,6.0,0.0,11,35.5,10.7,1,0,57.1,81,13.10,13.10
CRB,DeVonta Smith,WR,PHI,0.0,0,0,0.0,0.0,7,22.6,11.4,0,0,71.4,80,13.00,13.00
W (9/29),Josh Reynolds,WR,DET,0.0,0,0,0.0,0.0,3,8.8,12.7,1,0,100.0,38,12.80,12.80
VD,Diontae Johnson,WR,PIT,0.0,0,0,0.0,0.0,10,30.3,9.5,0,0,83.3,57,12.70,12.70
W (9/29),Irv Smith,TE,MIN,0.0,0,0,0.0,0.0,8,17.4,7.2,0,0,60.0,36,12.60,12.60
WLW,Zach Ertz,TE,ARI,0.0,0,0,0.0,0.0,11,22.4,9.4,0,0,62.5,75,12.50,12.50
FRR,Javonte Williams,RB,DEN,0.0,0,0,5.0,0.0,4,12.9,10.0,0,0,100.0,85,12.50,12.50
W (9/29),Breshad Perriman,WR,TB,0.0,0,0,0.0,0.0,5,14.7,15.0,1,0,66.7,45,12.50,12.50
MCM,Kareem Hunt,RB,CLE,0.0,0,0,4.5,0.0,2,7.4,8.0,0,0,50.0,74,12.40,12.40
WLW,DJ Moore,WR,CAR,0.0,0,0,0.0,0.0,6,20.7,14.3,1,0,66.7,43,12.30,12.30
W (9/29),Sammy Watkins,WR,GB,0.0,0,0,0.0,0.0,4,16.0,31.0,2,1,100.0,93,12.30,12.30
MAM,Dallas Goedert,TE,PHI,0.0,0,0,0.0,0.0,6,19.4,16.4,1,0,80.0,82,12.20,12.20
AFL,Terry McLaurin,WR,WAS,0.0,0,0,7.0,0.0,8,17.4,18.8,1,0,75.0,82,12.20,12.20
CRB,Antonio Gibson,RB,WAS,0.0,0,0,2.0,0.0,4,8.7,6.5,0,0,50.0,41,12.10,12.10
NN,Josh Jacobs,RB,LV,0.0,0,0,3.6,0.0,1,2.6,12.0,0,0,0.0,81,12.10,12.10
CC,Mike Gesicki,TE,MIA,0.0,0,0,0.0,0.0,4,8.0,10.2,0,0,50.0,41,12.10,12.10
NN,Josh Palmer,WR,LAC,0.0,0,0,0.0,0.0,8,16.7,7.5,0,0,75.0,30,12.00,12.00
W (9/29),Justin Watson,WR,KC,0.0,0,0,0.0,0.0,2,5.7,25.0,1,1,50.0,50,12.00,12.00
MAM,Saquon Barkley,RB,NYG,0.0,0,0,3.4,0.0,4,11.8,5.3,0,0,0.0,88,11.80,11.80
VD,Mitch Trubisky,QB,PIT,63.6,1,0,7.0,0.0,0,0.0,0.0,0,0,0.0,175,11.42,11.42
AFL,Joe Mixon,RB,CIN,0.0,0,0,3.0,0.0,4,11.1,8.7,0,0,33.3,83,11.30,11.30
W (9/29),Ashton Dulin,WR,IND,0.0,0,0,3.0,0.0,7,23.3,15.8,1,0,60.0,82,11.20,11.20
GF,Russell Wilson,QB,DEN,45.2,5,0,1.5,0.0,0,0.0,0.0,0,0,0.0,222,11.06,11.06
AFL,Raheem Mostert,RB,MIA,0.0,0,0,4.6,0.0,3,6.0,9.3,0,0,66.7,79,10.90,10.90
MAM,Justin Fields,QB,CHI,63.6,1,0,2.5,0.0,0,0.0,0.0,0,0,0.0,90,10.80,10.80
FRR,Ja'Marr Chase,WR,CIN,0.0,0,0,4.0,0.0,9,25.0,10.8,0,0,100.0,58,10.80,10.80
W (9/29),Ross Dwelley,TE,SF,0.0,0,0,0.0,0.0,1,4.2,38.0,1,0,100.0,38,10.80,10.80
AFL,Logan Thomas,TE,WAS,0.0,0,0,0.0,0.0,5,10.9,12.3,1,0,33.3,37,10.70,10.70
MWM,JD McKissic,RB,WAS,0.0,0,0,3.0,0.0,7,15.2,7.7,0,0,42.9,63,10.30,10.30
FRR,Tyler Higbee,TE,LAR,0.0,0,0,0.0,0.0,9,25.0,10.1,0,0,42.9,71,10.10,10.10
W (9/29),Olamide Zaccheaus,WR,ATL,0.0,0,0,0.0,0.0,2,7.7,10.5,0,0,100.0,21,10.10,10.10
CC,Kirk Cousins,QB,MIN,58.7,0,0,10.0,0.0,0,0.0,0.0,0,0,0.0,241,9.84,9.84
MWM,Tom Brady,QB,TB,52.9,3,1,-0.7,0.0,0,0.0,0.0,0,0,0.0,188,9.60,9.60
W (9/29),Mack Hollins,WR,LV,0.0,0,0,0.0,0.0,8,20.5,13.2,2,0,60.0,66,9.60,9.60
VD,Derrick Henry,RB,TEN,0.0,0,0,1.9,0.0,0,0.0,0.0,0,0,0.0,25,9.50,9.50
CC,Jonathan Taylor,RB,IND,0.0,0,0,6.0,2.0,1,3.3,9.0,0,0,0.0,63,9.30,9.30
VD,Allen Lazard,WR,GB,0.0,0,0,0.0,0.0,3,12.0,6.5,0,0,100.0,13,9.30,9.30
VD,Brandon Aiyuk,WR,SF,0.0,0,0,0.0,0.0,8,33.3,12.6,1,0,60.0,63,9.30,9.30
NN,Cam Akers,RB,LAR,0.0,0,0,2.9,0.0,3,8.3,9.0,0,0,50.0,62,9.20,9.20
NN,Pat Freiermuth,TE,PIT,0.0,0,0,0.0,0.0,7,21.2,5.5,0,0,25.0,22,9.20,9.20
VD,Davante Adams,WR,LV,0.0,0,0,0.0,0.0,7,17.9,6.0,0,0,100.0,12,9.20,9.20
W (9/29),Eric Saubert,TE,DEN,0.0,0,0,0.0,0.0,2,6.5,22.0,1,0,100.0,22,9.20,9.20
MAM,Gerald Everett,TE,LAC,0.0,0,0,0.0,0.0,10,20.8,11.8,1,0,33.3,71,9.10,9.10
MAM,Mike Evans,WR,TB,0.0,0,0,0.0,0.0,4,11.8,20.3,1,1,100.0,61,9.10,9.10
AFL,AJ Brown,WR,PHI,0.0,0,0,0.0,0.0,8,25.8,13.8,1,0,40.0,69,8.90,8.90
AFL,Nico Collins,WR,HOU,0.0,0,0,0.0,0.0,9,23.7,14.5,2,0,75.0,58,8.80,8.80
CC,Marquise Brown,WR,ARI,0.0,0,0,0.0,0.0,11,22.4,11.3,1,0,33.3,68,8.80,8.80
NN,Justin Jefferson,WR,MIN,0.0,0,0,0.0,0.0,12,26.1,8.0,0,0,66.7,48,8.80,8.80
W (9/29),Reggie Gilliam,TE,BUF,0.0,0,0,0.0,0.0,3,7.5,8.5,0,0,50.0,17,8.70,8.70
AFL,Daniel Bellinger,TE,NYG,0.0,0,0,0.0,0.0,1,2.9,16.0,0,0,100.0,16,8.60,8.60
W (9/29),Jerick McKinnon,RB,KC,0.0,0,0,3.0,0.0,2,5.7,2.0,0,0,50.0,16,8.60,8.60
MAM,DeAndre Carter,WR,LAC,0.0,0,0,0.0,0.0,3,6.2,18.3,1,0,100.0,55,8.50,8.50
MCM,Travis Etienne,RB,JAC,0.0,0,0,2.2,0.0,3,10.0,11.0,0,0,66.7,53,8.30,8.30
NN,Ezekiel Elliott,RB,DAL,0.0,0,0,3.5,0.0,2,6.5,-4.0,0,0,0.0,49,8.30,8.30
CC,James Cook,RB,BUF,0.0,0,0,4.8,1.0,1,2.5,0.0,0,0,0.0,53,8.30,8.30
W (9/29),Demarcus Robinson,WR,BAL,0.0,0,0,0.0,0.0,2,6.9,12.0,0,0,100.0,12,8.20,8.20
W (9/29),Travis Homer,RB,SEA,0.0,0,0,4.5,0.0,4,12.9,8.2,0,0,50.0,42,8.20,8.20
MWM,Adam Thielen,WR,MIN,0.0,0,0,0.0,0.0,7,15.2,13.0,0,0,75.0,52,8.20,8.20
CRB,Travis Kelce,TE,KC,0.0,0,0,0.0,0.0,7,20.0,10.2,0,0,60.0,51,8.10,8.10
GF,Michael Carter,RB,NYJ,0.0,0,0,3.3,0.0,5,11.1,5.4,0,0,60.0,50,8.00,8.00
NN,Treylon Burks,WR,TEN,0.0,0,0,0.0,0.0,6,25.0,11.8,0,0,75.0,47,7.70,7.70
W (9/29),Khadarel Hodge,WR,ATL,0.0,0,0,0.0,0.0,3,11.5,28.5,1,0,100.0,57,7.70,7.70
GF,Jameis Winston,QB,NO,62.5,2,1,2.0,0.0,0,0.0,0.0,0,0,0.0,238,7.64,7.64
VD,Evan Engram,TE,JAC,0.0,0,0,0.0,0.0,8,26.7,6.6,0,0,42.9,46,7.60,7.60
MCM,Brandin Cooks,WR,HOU,0.0,0,0,0.0,0.0,10,26.3,13.5,2,0,50.0,54,7.40,7.40
W (9/29),River Cracraft,WR,MIA,0.0,0,0,0.0,0.0,2,4.0,2.0,0,0,100.0,2,7.20,7.20
VD,Davis Mills,QB,HOU,50.0,4,0,0.5,0.0,0,0.0,0.0,0,0,0.0,178,7.18,7.18
W (9/29),Eno Benjamin,RB,ARI,0.0,0,0,3.9,0.0,4,8.2,6.7,0,0,0.0,51,7.10,7.10
W (9/29),Richie James,WR,NYG,0.0,0,0,0.0,0.0,6,17.6,10.2,0,0,40.0,51,7.10,7.10
