Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Josh Jacobs ,RB,LV,60,72,64,89,81,-,-,-,-,-,-,-,-,-,-,-,-,-,247,74
Josh Oliver ,TE,BAL,0,0,40,0,35,-,-,-,-,-,-,-,-,-,-,-,-,-,47,38
Josh Reynolds ,WR,DET,80,72,79,84,91,-,-,-,-,-,-,-,-,-,-,-,-,-,283,81
Joshua Kelley ,RB,LAC,27,25,21,20,38,-,-,-,-,-,-,-,-,-,-,-,-,-,91,26
Joshua Palmer ,WR,LAC,75,91,93,56,73,-,-,-,-,-,-,-,-,-,-,-,-,-,266,77
Josiah Deguara ,TE,GB,25,0,0,15,14,-,-,-,-,-,-,-,-,-,-,-,-,-,35,18
JuJu Smith-Schuster ,WR,KC,66,74,70,63,86,-,-,-,-,-,-,-,-,-,-,-,-,-,244,71
Julio Jones ,WR,TB,52,0,0,28,0,-,-,-,-,-,-,-,-,-,-,-,-,-,50,40
Justice Hill ,RB,BAL,20,36,47,36,0,-,-,-,-,-,-,-,-,-,-,-,-,-,85,35
Justin Fields ,QB,CHI,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,274,100
Justin Herbert ,QB,LAC,100,99,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,343,100
Justin Jackson ,RB,DET,0,0,0,14,21,-,-,-,-,-,-,-,-,-,-,-,-,-,24,17
Justin Jefferson ,WR,MIN,92,98,100,94,100,-,-,-,-,-,-,-,-,-,-,-,-,-,336,97
Justin Watson ,WR,KC,23,25,16,18,15,-,-,-,-,-,-,-,-,-,-,-,-,-,65,19
Juwan Johnson ,TE,NO,74,78,68,48,57,-,-,-,-,-,-,-,-,-,-,-,-,-,218,65
Juwann Winfree ,WR,GB,15,0,21,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,22,18
KJ Hamler ,WR,DEN,61,0,26,8,53,-,-,-,-,-,-,-,-,-,-,-,-,-,102,38
KJ Osborn ,WR,MIN,68,77,75,85,82,-,-,-,-,-,-,-,-,-,-,-,-,-,269,78
KaVontae Turpin ,WR,DAL,3,8,13,8,5,-,-,-,-,-,-,-,-,-,-,-,-,-,23,7
Kadarius Toney ,WR,NYG,12,38,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,35,26
Kalif Raymond ,WR,DET,12,10,17,51,85,-,-,-,-,-,-,-,-,-,-,-,-,-,121,35
Kareem Hunt ,RB,CLE,56,46,44,49,49,-,-,-,-,-,-,-,-,-,-,-,-,-,177,49
Keelan Cole ,WR,LV,0,0,57,65,8,-,-,-,-,-,-,-,-,-,-,-,-,-,94,45
Keenan Allen ,WR,LAC,33,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,22,33
Keith Kirkwood ,WR,NO,0,0,0,0,39,-,-,-,-,-,-,-,-,-,-,-,-,-,30,39
Keith Smith ,RB,ATL,0,0,0,27,26,-,-,-,-,-,-,-,-,-,-,-,-,-,32,26
Ken Walker ,RB,SEA,0,25,13,36,58,-,-,-,-,-,-,-,-,-,-,-,-,-,76,31
Kendall Blanton ,TE,LAR,0,0,10,11,0,-,-,-,-,-,-,-,-,-,-,-,-,-,13,11
Kendall Hinton ,WR,DEN,0,76,43,57,0,-,-,-,-,-,-,-,-,-,-,-,-,-,117,59
Kendrick Bourne ,WR,NE,4,35,27,45,57,-,-,-,-,-,-,-,-,-,-,-,-,-,104,34
Kenneth Gainwell ,RB,PHI,30,26,31,27,22,-,-,-,-,-,-,-,-,-,-,-,-,-,102,27
Kenny Golladay ,WR,NYG,77,0,33,42,0,-,-,-,-,-,-,-,-,-,-,-,-,-,97,49
Kenny Pickett ,QB,PIT,0,0,0,48,100,-,-,-,-,-,-,-,-,-,-,-,-,-,106,76
Kenny Yeboah ,TE,NYJ,0,3,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3
Kenyan Drake ,RB,BAL,59,27,0,0,42,-,-,-,-,-,-,-,-,-,-,-,-,-,76,42
Kevin Rader ,TE,TEN,0,0,0,0,8,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8
KhaDarel Hodge ,WR,ATL,27,20,0,33,30,-,-,-,-,-,-,-,-,-,-,-,-,-,70,27
Khalil Herbert ,RB,CHI,29,20,60,77,28,-,-,-,-,-,-,-,-,-,-,-,-,-,125,46
Khalil Shakir ,WR,BUF,0,35,0,25,70,-,-,-,-,-,-,-,-,-,-,-,-,-,79,42
Khari Blasingame ,RB,CHI,0,0,24,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,15,24
Kirk Cousins ,QB,MIN,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,346,100
Ko Kieft ,TE,TB,0,36,17,14,18,-,-,-,-,-,-,-,-,-,-,-,-,-,58,21
Kyle Juszczyk ,RB,SF,37,53,63,64,57,-,-,-,-,-,-,-,-,-,-,-,-,-,170,53
Kyle Philips ,WR,TEN,48,23,0,4,28,-,-,-,-,-,-,-,-,-,-,-,-,-,64,27
Kyle Pitts ,TE,ATL,84,93,67,62,0,-,-,-,-,-,-,-,-,-,-,-,-,-,192,77
Kyle Rudolph ,TE,TB,0,0,14,0,11,-,-,-,-,-,-,-,-,-,-,-,-,-,18,13
Kylen Granson ,TE,IND,55,54,42,45,48,-,-,-,-,-,-,-,-,-,-,-,-,-,176,49
Kyler Murray ,QB,ARI,88,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,372,98
Lamar Jackson ,QB,BAL,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,310,100
Latavius Murray ,RB,NO,0,0,0,43,0,-,-,-,-,-,-,-,-,-,-,-,-,-,26,43
Laviska Shenault ,WR,CAR,0,0,18,8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,15,13
Lawrence Cager ,WR,NYJ,12,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,10,12
Leonard Fournette ,RB,TB,76,87,91,61,62,-,-,-,-,-,-,-,-,-,-,-,-,-,252,75
Lil'Jordan Humphrey ,WR,NE,0,38,82,53,23,-,-,-,-,-,-,-,-,-,-,-,-,-,125,50
Logan Thomas ,TE,WAS,62,73,65,74,0,-,-,-,-,-,-,-,-,-,-,-,-,-,207,69
Mac Jones ,QB,NE,100,100,100,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,191,100
Mack Hollins ,WR,LV,88,87,97,96,95,-,-,-,-,-,-,-,-,-,-,-,-,-,310,93
Malik Willis ,QB,TEN,0,30,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,17,30
Marcedes Lewis ,TE,GB,0,0,0,0,51,-,-,-,-,-,-,-,-,-,-,-,-,-,32,51
Marcus Johnson ,WR,NYG,0,0,0,0,77,-,-,-,-,-,-,-,-,-,-,-,-,-,47,77
Marcus Mariota ,QB,ATL,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,314,100
Mark Andrews ,TE,BAL,84,83,90,94,95,-,-,-,-,-,-,-,-,-,-,-,-,-,278,90
Mark Ingram ,RB,NO,33,37,33,48,22,-,-,-,-,-,-,-,-,-,-,-,-,-,114,34
Marquez Callaway ,WR,NO,0,0,19,97,73,-,-,-,-,-,-,-,-,-,-,-,-,-,127,62
Marquez Valdes-Scantling ,WR,KC,73,79,78,69,81,-,-,-,-,-,-,-,-,-,-,-,-,-,258,75
Marquise Brown ,WR,ARI,95,93,95,93,97,-,-,-,-,-,-,-,-,-,-,-,-,-,360,95
Marquise Goodwin ,WR,SEA,51,53,42,41,0,-,-,-,-,-,-,-,-,-,-,-,-,-,113,46
Marvin Jones ,WR,JAC,81,90,68,91,87,-,-,-,-,-,-,-,-,-,-,-,-,-,281,82
Mason Schreck ,TE,HOU,0,0,0,33,41,-,-,-,-,-,-,-,-,-,-,-,-,-,43,37
Matt Breida ,RB,NYG,22,15,11,14,30,-,-,-,-,-,-,-,-,-,-,-,-,-,59,18
Matt Ryan ,QB,IND,100,96,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,356,99
Matthew Stafford ,QB,LAR,100,98,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,316,101
Maurice Alexander ,WR,DET,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3
Mecole Hardman ,WR,KC,56,54,68,46,40,-,-,-,-,-,-,-,-,-,-,-,-,-,179,52
Melvin Gordon ,RB,DEN,41,32,38,19,56,-,-,-,-,-,-,-,-,-,-,-,-,-,129,38
Michael Bandy ,WR,LAC,0,0,0,29,0,-,-,-,-,-,-,-,-,-,-,-,-,-,20,29
Michael Burton ,RB,KC,13,12,8,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,21,11
Michael Carter ,RB,NYJ,60,61,49,44,42,-,-,-,-,-,-,-,-,-,-,-,-,-,187,52
Michael Gallup ,WR,DAL,0,0,0,64,55,-,-,-,-,-,-,-,-,-,-,-,-,-,69,59
Michael Pittman ,WR,IND,98,0,94,89,99,-,-,-,-,-,-,-,-,-,-,-,-,-,294,95
Michael Thomas ,WR,NO,61,76,68,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,136,69
Mike Boone ,RB,DEN,5,0,19,36,41,-,-,-,-,-,-,-,-,-,-,-,-,-,66,25
Mike Davis ,RB,BAL,13,31,0,0,8,-,-,-,-,-,-,-,-,-,-,-,-,-,30,17
Mike Evans ,WR,TB,73,61,0,91,85,-,-,-,-,-,-,-,-,-,-,-,-,-,211,78
Mike Gesicki ,TE,MIA,42,62,40,44,54,-,-,-,-,-,-,-,-,-,-,-,-,-,150,49
Mike Strachan ,WR,IND,12,70,0,14,0,-,-,-,-,-,-,-,-,-,-,-,-,-,55,26
Mike Thomas ,WR,CIN,69,0,0,0,71,-,-,-,-,-,-,-,-,-,-,-,-,-,114,70
Mike Williams ,WR,LAC,93,88,90,93,85,-,-,-,-,-,-,-,-,-,-,-,-,-,308,90
Miles Boykin ,WR,PIT,13,0,0,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-,13,9
Miles Sanders ,RB,PHI,52,53,59,67,74,-,-,-,-,-,-,-,-,-,-,-,-,-,229,61
Miller Forristall ,TE,CLE,0,0,6,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6
Mitch Trubisky ,QB,PIT,100,100,100,52,0,-,-,-,-,-,-,-,-,-,-,-,-,-,214,87
Mitchell Wilcox ,TE,CIN,0,27,57,50,0,-,-,-,-,-,-,-,-,-,-,-,-,-,90,45
Mo Alie-Cox ,TE,IND,54,54,59,70,44,-,-,-,-,-,-,-,-,-,-,-,-,-,200,56
Montrell Washington ,WR,DEN,0,17,19,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,33,12
Myles Gaskin ,RB,MIA,0,0,0,0,19,-,-,-,-,-,-,-,-,-,-,-,-,-,13,19
Najee Harris ,RB,PIT,59,71,80,75,49,-,-,-,-,-,-,-,-,-,-,-,-,-,211,66
Nelson Agholor ,WR,NE,58,50,76,66,12,-,-,-,-,-,-,-,-,-,-,-,-,-,162,52
Nick Chubb ,RB,CLE,53,54,63,55,52,-,-,-,-,-,-,-,-,-,-,-,-,-,198,55
Nick Vannett ,TE,NO,0,0,7,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7
Nick Westbrook-Ikhine ,WR,TEN,68,61,57,0,92,-,-,-,-,-,-,-,-,-,-,-,-,-,170,70
Nico Collins ,WR,HOU,67,67,68,77,81,-,-,-,-,-,-,-,-,-,-,-,-,-,220,72
Noah Brown ,WR,DAL,88,85,80,79,76,-,-,-,-,-,-,-,-,-,-,-,-,-,254,82
Noah Fant ,TE,SEA,56,53,55,58,60,-,-,-,-,-,-,-,-,-,-,-,-,-,168,57
Noah Gray ,TE,KC,53,49,41,58,40,-,-,-,-,-,-,-,-,-,-,-,-,-,166,49
Noah Togiai ,TE,PHI,14,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,11,14
Nyheim Hines ,RB,IND,28,30,45,32,4,-,-,-,-,-,-,-,-,-,-,-,-,-,97,27
OJ Howard ,TE,HOU,17,29,31,75,79,-,-,-,-,-,-,-,-,-,-,-,-,-,137,45
Olamide Zaccheaus ,WR,ATL,60,43,67,56,67,-,-,-,-,-,-,-,-,-,-,-,-,-,184,59
PJ Walker ,QB,CAR,0,0,0,0,13,-,-,-,-,-,-,-,-,-,-,-,-,-,9,13
Parker Hesse ,TE,ATL,64,66,75,87,62,-,-,-,-,-,-,-,-,-,-,-,-,-,220,70
Parris Campbell ,WR,IND,77,86,82,67,92,-,-,-,-,-,-,-,-,-,-,-,-,-,289,81
Pat Freiermuth ,TE,PIT,89,81,76,73,49,-,-,-,-,-,-,-,-,-,-,-,-,-,233,73
Patrick Mahomes ,QB,KC,93,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,337,99
Patrick Ricard ,RB,BAL,64,63,65,70,0,-,-,-,-,-,-,-,-,-,-,-,-,-,161,66
Penny Hart ,WR,SEA,0,0,8,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8
Peyton Hendershot ,TE,DAL,0,0,59,7,67,-,-,-,-,-,-,-,-,-,-,-,-,-,79,44
Pharaoh Brown ,TE,Multi,66,71,81,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,139,72
Phillip Dorsett ,WR,HOU,6,0,22,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,39,16
Phillip Lindsay ,RB,IND,0,0,0,0,38,-,-,-,-,-,-,-,-,-,-,-,-,-,30,38
Pierre Strong ,RB,NE,0,4,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4
Quez Watkins ,WR,PHI,53,59,47,60,59,-,-,-,-,-,-,-,-,-,-,-,-,-,209,56
Quintez Cephus ,WR,DET,0,10,13,45,0,-,-,-,-,-,-,-,-,-,-,-,-,-,49,23
Quintin Morris ,TE,BUF,0,41,32,25,68,-,-,-,-,-,-,-,-,-,-,-,-,-,111,40
Rachaad White ,RB,TB,27,13,9,38,39,-,-,-,-,-,-,-,-,-,-,-,-,-,87,26
Raheem Mostert ,RB,MIA,42,55,56,72,69,-,-,-,-,-,-,-,-,-,-,-,-,-,180,59
Randall Cobb ,WR,GB,61,29,40,34,63,-,-,-,-,-,-,-,-,-,-,-,-,-,147,45
Rashaad Penny ,RB,SEA,69,41,69,68,29,-,-,-,-,-,-,-,-,-,-,-,-,-,170,57
Rashod Bateman ,WR,BAL,66,61,62,44,0,-,-,-,-,-,-,-,-,-,-,-,-,-,141,58
Ray-Ray McCloud ,WR,SF,26,24,18,18,27,-,-,-,-,-,-,-,-,-,-,-,-,-,73,23
Reggie Gilliam ,RB,BUF,0,26,22,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,38,24
Rex Burkhead ,RB,HOU,71,37,41,32,21,-,-,-,-,-,-,-,-,-,-,-,-,-,127,41
Rhamondre Stevenson ,RB,NE,25,62,62,55,90,-,-,-,-,-,-,-,-,-,-,-,-,-,183,59
Richard Rodgers ,TE,LAC,3,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3
Richie James ,WR,NYG,70,42,74,32,54,-,-,-,-,-,-,-,-,-,-,-,-,-,180,54
Rico Dowdle ,RB,DAL,0,2,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
River Cracraft ,WR,MIA,0,23,21,16,21,-,-,-,-,-,-,-,-,-,-,-,-,-,49,20
Robbie Anderson ,WR,CAR,100,93,84,96,77,-,-,-,-,-,-,-,-,-,-,-,-,-,261,89
Robert Tonyan ,TE,GB,36,40,58,44,44,-,-,-,-,-,-,-,-,-,-,-,-,-,145,44
Robert Woods ,WR,TEN,71,66,72,76,84,-,-,-,-,-,-,-,-,-,-,-,-,-,220,74
Romeo Doubs ,WR,GB,57,37,89,96,86,-,-,-,-,-,-,-,-,-,-,-,-,-,239,73
Rondale Moore ,WR,ARI,0,0,0,86,91,-,-,-,-,-,-,-,-,-,-,-,-,-,128,88
Ross Dwelley ,TE,SF,28,37,0,10,6,-,-,-,-,-,-,-,-,-,-,-,-,-,56,21
Russell Gage ,WR,TB,42,66,80,64,73,-,-,-,-,-,-,-,-,-,-,-,-,-,221,66
Russell Wilson ,QB,DEN,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,338,100
Ryan Griffin ,TE,CHI,53,27,0,0,26,-,-,-,-,-,-,-,-,-,-,-,-,-,55,37
Ryan Tannehill ,QB,TEN,100,70,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,280,94
Samaje Perine ,RB,CIN,26,20,34,19,30,-,-,-,-,-,-,-,-,-,-,-,-,-,94,26
Sammy Watkins ,WR,GB,67,65,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,85,66
Saquon Barkley ,RB,NYG,83,84,92,94,69,-,-,-,-,-,-,-,-,-,-,-,-,-,280,85
Scotty Miller ,WR,TB,0,43,80,0,46,-,-,-,-,-,-,-,-,-,-,-,-,-,117,55
Shane Zylstra ,TE,DET,0,0,4,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4
Shi Smith ,WR,CAR,77,71,36,75,62,-,-,-,-,-,-,-,-,-,-,-,-,-,186,63
Simi Fehoko ,WR,DAL,23,10,5,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,25,13
Skylar Thompson ,QB,MIA,0,0,0,0,99,-,-,-,-,-,-,-,-,-,-,-,-,-,66,99
Skyy Moore ,WR,KC,19,4,13,28,35,-,-,-,-,-,-,-,-,-,-,-,-,-,70,20
Sony Michel ,RB,LAC,24,12,23,24,3,-,-,-,-,-,-,-,-,-,-,-,-,-,58,17
Stanley Morgan ,WR,CIN,5,0,9,0,13,-,-,-,-,-,-,-,-,-,-,-,-,-,19,8
Stefon Diggs ,WR,BUF,64,66,70,95,77,-,-,-,-,-,-,-,-,-,-,-,-,-,251,74
Stephen Anderson ,TE,ARI,14,22,7,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,37,12
Stephen Sullivan ,TE,CAR,0,7,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5
Sterling Shepard ,WR,NYG,72,88,81,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,165,80
Steven Sims ,WR,PIT,0,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4
TJ Hockenson ,TE,DET,91,89,76,88,85,-,-,-,-,-,-,-,-,-,-,-,-,-,297,85
Tanner Conner ,WR,MIA,0,0,0,0,10,-,-,-,-,-,-,-,-,-,-,-,-,-,7,10
Tanner Gentry ,WR,BUF,0,0,0,0,20,-,-,-,-,-,-,-,-,-,-,-,-,-,11,20
Tanner Hudson ,TE,NYG,0,37,0,57,0,-,-,-,-,-,-,-,-,-,-,-,-,-,64,46
Taysom Hill ,TE,NO,26,9,0,20,30,-,-,-,-,-,-,-,-,-,-,-,-,-,57,21
Teddy Bridgewater ,QB,MIA,0,0,7,61,1,-,-,-,-,-,-,-,-,-,-,-,-,-,43,25
Tee Higgins ,WR,CIN,26,89,68,77,0,-,-,-,-,-,-,-,-,-,-,-,-,-,183,61
Terrace Marshall ,WR,CAR,0,0,0,0,38,-,-,-,-,-,-,-,-,-,-,-,-,-,26,38
Terry McLaurin ,WR,WAS,90,89,88,95,98,-,-,-,-,-,-,-,-,-,-,-,-,-,335,92
Tevin Coleman ,RB,SF,0,0,0,0,28,-,-,-,-,-,-,-,-,-,-,-,-,-,19,27
Tim Jones ,WR,JAC,0,0,5,55,0,-,-,-,-,-,-,-,-,-,-,-,-,-,30,24
Tom Brady ,QB,TB,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,337,100
Tom Kennedy ,WR,DET,0,0,0,81,53,-,-,-,-,-,-,-,-,-,-,-,-,-,95,68
Tommy Tremble ,TE,CAR,34,0,39,42,57,-,-,-,-,-,-,-,-,-,-,-,-,-,103,44
Tony Jones ,RB,NO,0,50,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,34,50
Tony Pollard ,RB,DAL,55,39,44,39,42,-,-,-,-,-,-,-,-,-,-,-,-,-,137,44
Trace McSorley ,QB,ARI,12,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,8,12
Travis Etienne ,RB,JAC,51,37,43,51,53,-,-,-,-,-,-,-,-,-,-,-,-,-,159,46
Travis Homer ,RB,SEA,35,45,3,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,43,25
Travis Kelce ,TE,KC,64,89,89,81,78,-,-,-,-,-,-,-,-,-,-,-,-,-,273,80
Tre' McKitty ,TE,LAC,60,0,31,53,51,-,-,-,-,-,-,-,-,-,-,-,-,-,132,49
Tre'Quan Smith ,WR,NO,0,0,61,23,68,-,-,-,-,-,-,-,-,-,-,-,-,-,108,52
Trent Sherfield ,WR,MIA,35,35,63,63,66,-,-,-,-,-,-,-,-,-,-,-,-,-,157,51
Trent Taylor ,WR,CIN,14,0,3,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,19,6
Trestan Ebner ,RB,CHI,7,0,24,23,0,-,-,-,-,-,-,-,-,-,-,-,-,-,33,18
Trevon Wesco ,TE,CHI,0,0,0,26,0,-,-,-,-,-,-,-,-,-,-,-,-,-,16,26
Trevor Lawrence ,QB,JAC,100,100,99,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,338,99
Trey Lance ,QB,SF,100,21,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,84,58
Trey McBride ,TE,ARI,0,0,0,42,0,-,-,-,-,-,-,-,-,-,-,-,-,-,32,42
Trey Sermon ,RB,PHI,0,0,0,6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6
Treylon Burks ,WR,TEN,37,45,69,65,0,-,-,-,-,-,-,-,-,-,-,-,-,-,124,53
Tua Tagovailoa ,QB,MIA,100,100,93,39,0,-,-,-,-,-,-,-,-,-,-,-,-,-,196,82
Tutu Atwell ,WR,LAR,10,0,6,0,14,-,-,-,-,-,-,-,-,-,-,-,-,-,19,11
Ty Johnson ,RB,NYJ,0,19,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,13,19
Ty Montgomery ,RB,NE,37,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,21,37
Tylan Wallace ,WR,BAL,11,15,0,0,20,-,-,-,-,-,-,-,-,-,-,-,-,-,28,16
Tyler Allgeier ,RB,ATL,0,31,37,44,59,-,-,-,-,-,-,-,-,-,-,-,-,-,103,43
Tyler Boyd ,WR,CIN,80,81,68,72,97,-,-,-,-,-,-,-,-,-,-,-,-,-,290,79
Tyler Conklin ,TE,NYJ,92,100,79,81,68,-,-,-,-,-,-,-,-,-,-,-,-,-,306,85
Tyler Davis ,TE,GB,25,31,31,29,13,-,-,-,-,-,-,-,-,-,-,-,-,-,84,26
Tyler Higbee ,TE,LAR,94,97,94,93,97,-,-,-,-,-,-,-,-,-,-,-,-,-,301,96
Tyler Kroft ,TE,SF,54,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,37,54
Tyler Lockett ,WR,SEA,80,92,82,78,96,-,-,-,-,-,-,-,-,-,-,-,-,-,252,85
Tyquan Thornton ,WR,NE,0,0,0,0,42,-,-,-,-,-,-,-,-,-,-,-,-,-,25,42
Tyreek Hill ,WR,MIA,67,76,86,94,64,-,-,-,-,-,-,-,-,-,-,-,-,-,234,77
Tyrie Cleveland ,WR,DEN,12,43,0,0,14,-,-,-,-,-,-,-,-,-,-,-,-,-,49,23
Tyrion Davis-Price ,RB,SF,0,39,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,30,39
Tyrod Taylor ,QB,NYG,0,0,0,18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,12,18
Tyron Johnson ,WR,LV,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Velus Jones ,WR,CHI,0,0,0,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6
Wan'Dale Robinson ,WR,NYG,15,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,9,15
Will Dissly ,TE,SEA,67,47,61,73,63,-,-,-,-,-,-,-,-,-,-,-,-,-,187,63
Zach Ertz ,TE,ARI,60,84,93,82,93,-,-,-,-,-,-,-,-,-,-,-,-,-,315,83
Zach Gentry ,TE,PIT,30,0,0,61,64,-,-,-,-,-,-,-,-,-,-,-,-,-,106,52
Zach Pascal ,WR,PHI,22,42,43,24,0,-,-,-,-,-,-,-,-,-,-,-,-,-,98,32
Zach Wilson ,QB,NYJ,0,0,0,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,129,100
Zack Moss ,RB,BUF,37,19,17,9,29,-,-,-,-,-,-,-,-,-,-,-,-,-,73,22
Zamir White ,RB,LV,0,9,0,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,12,6
Zander Horvath ,RB,LAC,22,11,5,11,14,-,-,-,-,-,-,-,-,-,-,-,-,-,44,13
Zay Jones ,WR,JAC,83,68,76,0,80,-,-,-,-,-,-,-,-,-,-,-,-,-,224,76
