SznWkPlPos,SznPlPos,PlPos,Season,Week,sunDate,Player,Pos,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,FPts,PosRk,PPFD,PPR,hPPR,STD,Pa20,Pa40,Ru20,Re20,Re40,TmTar,TotYd,ScrimYd,PaRuYd
2026_1_CarsonStrong_QB,2026_CarsonStrong_QB,CarsonStrong_QB,2026,1,2026-09-13,Carson Strong,QB,ARI,@LAC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_TrevorLawrence_QB,2026_TrevorLawrence_QB,TrevorLawrence_QB,2026,1,2026-09-13,Trevor Lawrence,QB,JAC,CLE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_BrandonBridge_QB,2026_BrandonBridge_QB,BrandonBridge_QB,2026,1,2026-09-13,Brandon Bridge,QB,FA,BYE,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_RohanJones_TE,2026_RohanJones_TE,RohanJones_TE,2026,1,2026-09-13,Rohan Jones,TE,LAR,SF,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_KhalilShakir_WR,2026_KhalilShakir_WR,KhalilShakir_WR,2026,1,2026-09-13,Khalil Shakir,WR,BUF,@HOU,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JohnRaine_TE,2026_JohnRaine_TE,JohnRaine_TE,2026,1,2026-09-13,John Raine,TE,ATL,@PIT,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_IhmirSmith-Marsette_WR,2026_IhmirSmith-Marsette_WR,IhmirSmith-Marsette_WR,2026,1,2026-09-13,Ihmir Smith-Marsette,WR,ARI,@LAC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_DannyDavis_WR,2026_DannyDavis_WR,DannyDavis_WR,2026,1,2026-09-13,Danny Davis,WR,GB,@MIN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JimmyHorn_WR,2026_JimmyHorn_WR,JimmyHorn_WR,2026,1,2026-09-13,Jimmy Horn,WR,CAR,CHI,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_WinstonWright_WR,2026_WinstonWright_WR,WinstonWright_WR,2026,1,2026-09-13,Winston Wright,WR,CLE,@JAC,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_ChigoziemOkonkwo_TE,2026_ChigoziemOkonkwo_TE,ChigoziemOkonkwo_TE,2026,1,2026-09-13,Chigoziem Okonkwo,TE,WAS,@PHI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_TysonBagent_QB,2026_TysonBagent_QB,TysonBagent_QB,2026,1,2026-09-13,Tyson Bagent,QB,CHI,@CAR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_AntwaneWells_WR,2026_AntwaneWells_WR,AntwaneWells_WR,2026,1,2026-09-13,Antwane Wells,WR,ATL,@PIT,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_TannerConner_TE,2026_TannerConner_TE,TannerConner_TE,2026,1,2026-09-13,Tanner Conner,TE,NYG,DAL,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_ChrisBell_WR,2026_ChrisBell_WR,ChrisBell_WR,2026,1,2026-09-13,Chris Bell,WR,MIA,@LV,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_TyChandler_RB,2026_TyChandler_RB,TyChandler_RB,2026,1,2026-09-13,Ty Chandler,RB,NO,@DET,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JamieNewman_QB,2026_JamieNewman_QB,JamieNewman_QB,2026,1,2026-09-13,Jamie Newman,QB,PHI,WAS,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JaelenGill_WR,2026_JaelenGill_WR,JaelenGill_WR,2026,1,2026-09-13,Jaelen Gill,WR,CLE,@JAC,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_LukeDeal_TE,2026_LukeDeal_TE,LukeDeal_TE,2026,1,2026-09-13,Luke Deal,TE,DET,NO,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_DonaldParham_TE,2026_DonaldParham_TE,DonaldParham_TE,2026,1,2026-09-13,Donald Parham,TE,PIT,ATL,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_DontaeFleming_WR,2026_DontaeFleming_WR,DontaeFleming_WR,2026,1,2026-09-13,Dontae Fleming,WR,MIN,GB,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_MontrellWashington_WR,2026_MontrellWashington_WR,MontrellWashington_WR,2026,1,2026-09-13,Montrell Washington,WR,HOU,BUF,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JonathonRumph_WR,2026_JonathonRumph_WR,JonathonRumph_WR,2026,1,2026-09-13,Jonathon Rumph,WR,NYJ,@TEN,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_TrevorEtienne_RB,2026_TrevorEtienne_RB,TrevorEtienne_RB,2026,1,2026-09-13,Trevor Etienne,RB,CAR,CHI,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JordanPetaia_TE,2026_JordanPetaia_TE,JordanPetaia_TE,2026,1,2026-09-13,Jordan Petaia,TE,LAC,ARI,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_TyreeJackson_TE,2026_TyreeJackson_TE,TyreeJackson_TE,2026,1,2026-09-13,Tyree Jackson,TE,WAS,@PHI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_ColeHerdman_TE,2026_ColeHerdman_TE,ColeHerdman_TE,2026,1,2026-09-13,Cole Herdman,TE,TEN,NYJ,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_TylerSimmons_WR,2026_TylerSimmons_WR,TylerSimmons_WR,2026,1,2026-09-13,Tyler Simmons,WR,PIT,ATL,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JerryJeudy_WR,2026_JerryJeudy_WR,JerryJeudy_WR,2026,1,2026-09-13,Jerry Jeudy,WR,CLE,@JAC,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JamMiller_RB,2026_JamMiller_RB,JamMiller_RB,2026,1,2026-09-13,Jam Miller,RB,NE,@SEA,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_DontayDemus_WR,2026_DontayDemus_WR,DontayDemus_WR,2026,1,2026-09-13,Dontay Demus,WR,BAL,@IND,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_ChrisBrazzell_WR,2026_ChrisBrazzell_WR,ChrisBrazzell_WR,2026,1,2026-09-13,Chris Brazzell,WR,CAR,CHI,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JamesConner_RB,2026_JamesConner_RB,JamesConner_RB,2026,1,2026-09-13,James Conner,RB,ARI,@LAC,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
