Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj,League
WR,VD,Jordyn Tyson,NO,@DET,Sun  1:00pm ET,8,49.5,42,30,4%,1%,40.0,3,0.0,0.0,110.12,TRUFFLE
TE,VD,Juwan Johnson,NO,@DET,Sun  1:00pm ET,8,49.5,20,19,73%,48%,1.0,1,143.9,105.2,106.81,TRUFFLE
WR,VD,Jaylin Noel,HOU,BUF,Sun  1:00pm ET,8,44.5,---,13,5%,1%,3.0,2,55.9,57.2,50.28,TRUFFLE
QB,WLW,CJ Stroud,HOU,BUF,Sun  1:00pm ET,8,44.5,22,9,78%,30%,70.0,2,225.54,246.28,269.03,TRUFFLE
RB,WLW,Chase Brown,CIN,TB,Sun  1:00pm ET,6,52.5,6,12,100%,97%,30.0,2,284.4,194.7,228.35,TRUFFLE
RB,WLW,Demond Claiborne,MIN,GB,Sun  4:25pm ET,6,45.5,60,18,3%,1%,3.0,3,0.0,0.0,22.41,TRUFFLE
WR,WLW,Nico Collins,HOU,BUF,Sun  1:00pm ET,8,44.5,8,13,98%,90%,79.0,1,204.2,207.5,177.95,TRUFFLE
WR,WLW,CeeDee Lamb,DAL,@NYG,Sun  8:20pm ET,14,48.5,5,23,98%,93%,90.0,1,168.9,248.8,173.09,TRUFFLE
TE,WLW,Sam LaPorta,DET,NO,Sun  1:00pm ET,6,49.5,5,15,53%,7%,10.0,2,89.9,151.1,126.29,TRUFFLE
TE,WLW,Brenton Strange,JAC,CLE,Sun  1:00pm ET,7,40.5,15,16,68%,41%,5.0,1,100.0,59.6,110.05,TRUFFLE
WR,WLW,Parker Washington,JAC,CLE,Sun  1:00pm ET,7,40.5,30,5,60%,20%,15.0,1,153.7,81.2,135.6,TRUFFLE
WR,WLW,De'Zhaun Stribling,SF,@LAR,Thu  8:35pm ET,8,48.5,60,24,3%,1%,5.0,3,0.0,0.0,94.81,TRUFFLE
WR,WLW,Travis Hunter,JAC,CLE,Sun  1:00pm ET,7,40.5,---,5,32%,1%,10.0,2,47.8,44.1,42.55,TRUFFLE
WR,WLW,Tre Tucker,LV,MIA,Sun  4:25pm ET,13,40.5,58,14,57%,15%,1.0,1,137.7,101.6,95.05,TRUFFLE
WR,WLW,Omar Cooper,NYJ,@TEN,Sun  1:00pm ET,13,38.5,---,29,3%,1%,15.0,3,0.0,0.0,84.62,TRUFFLE
QB,ABT,Caleb Williams,CHI,@CAR,Sun  1:00pm ET,10,45.5,10,7,92%,45%,50.0,1,346.58,318.4,295.62,KERFUFFLE
RB,ABT,Saquon Barkley,PHI,WAS,Sun  4:25pm ET,10,47.5,12,29,99%,93%,132.0,1,254.5,308.7,222.06,KERFUFFLE
RB,ABT,Chase Brown,CIN,TB,Sun  1:00pm ET,6,52.5,6,12,100%,97%,7.0,1,284.4,194.7,228.35,KERFUFFLE
WR,ABT,Puka Nacua,LAR,SF,Thu  8:35pm ET,11,48.5,2,16,99%,99%,85.0,2,331.0,256.9,244.88,KERFUFFLE
WR,ABT,Chris Olave,NO,@DET,Sun  1:00pm ET,8,49.5,15,30,97%,81%,42.0,2,221.3,161.3,182.7,KERFUFFLE
TE,ABT,Colston Loveland,CHI,@CAR,Sun  1:00pm ET,10,45.5,3,24,80%,51%,10.0,2,142.3,141.4,148.54,KERFUFFLE
WR,ABT,Josh Downs,IND,BAL,Sun  1:00pm ET,13,49.5,40,25,48%,11%,1.0,2,114.9,132.7,107.19,KERFUFFLE
WR,ABT,Parker Washington,JAC,CLE,Sun  1:00pm ET,7,40.5,30,5,60%,20%,3.0,1,153.7,81.2,135.6,KERFUFFLE
QB,ABT,Malik Willis,MIA,@LV,Sun  4:25pm ET,6,40.5,20,14,9%,3%,15.0,1,60.18,34.04,279.92,KERFUFFLE
DST,ABT,Rams,LAR,SF,Thu  8:35pm ET,11,48.5,1,16,77%,49%,1.0,1,150.0,104.0,152.8,KERFUFFLE
RB,ABT,Jonah Coleman,DEN,@KC,Mon  8:15pm ET,10,42.5,57,6,3%,1%,10.0,3,0.0,0.0,22.41,KERFUFFLE
RB,ABT,Rachaad White,WAS,@PHI,Sun  4:25pm ET,7,47.5,38,26,71%,12%,13.0,1,150.0,202.8,126.73,KERFUFFLE
WR,ABT,KC Concepcion,CLE,@JAC,Sun  1:00pm ET,11,40.5,50,15,4%,1%,15.0,3,0.0,0.0,76.89,KERFUFFLE
WR,ABT,Elijah Sarratt,BAL,@IND,Sun  1:00pm ET,13,49.5,---,27,2%,1%,3.0,3,0.0,0.0,21.43,KERFUFFLE
WR,ABT,Tre Tucker,LV,MIA,Sun  4:25pm ET,13,40.5,58,14,57%,15%,1.0,1,137.7,101.6,95.05,KERFUFFLE
TE,ABT,Eli Stowers,PHI,WAS,Sun  4:25pm ET,10,47.5,---,30,3%,1%,5.0,3,0.0,0.0,40.67,KERFUFFLE
RB,ABT,Tyler Allgeier,ARI,@LAC,Sun  4:25pm ET,14,46.5,48,8,67%,10%,1.0,1,148.6,146.3,83.1,KERFUFFLE
RB,ABT,Jonathon Brooks,CAR,CHI,Sun  1:00pm ET,5,45.5,33,19,9%,1%,20.0,1,0.0,1.0,123.83,KERFUFFLE
WR,ABT,DJ Moore,BUF,@HOU,Sun  1:00pm ET,7,44.5,24,7,92%,58%,44.0,1,157.58,204.82,140.05,KERFUFFLE
RB,ABT,Keaton Mitchell,LAC,ARI,Sun  4:25pm ET,7,46.5,52,30,24%,4%,1.0,2,64.4,45.4,67.2,KERFUFFLE
QB,CLC,Jordan Love,GB,@MIN,Sun  4:25pm ET,11,45.5,19,1,85%,25%,100.0,2,249.34,277.88,256.74,KERFUFFLE
RB,CLC,Javonte Williams,DAL,@NYG,Sun  8:20pm ET,14,48.5,18,28,99%,80%,23.0,1,281.8,198.0,184.54,KERFUFFLE
WR,CLC,Nico Collins,HOU,BUF,Sun  1:00pm ET,8,44.5,8,13,98%,90%,40.0,2,204.2,207.5,177.95,KERFUFFLE
WR,CLC,DeVonta Smith,PHI,WAS,Sun  4:25pm ET,10,47.5,14,28,96%,69%,45.0,2,168.8,175.1,150.07,KERFUFFLE
TE,CLC,Dalton Kincaid,BUF,@HOU,Sun  1:00pm ET,7,44.5,14,7,76%,26%,8.0,1,114.1,98.4,117.0,KERFUFFLE
WR,CLC,Ricky Pearsall,SF,@LAR,Thu  8:35pm ET,8,48.5,---,24,68%,10%,5.0,1,80.0,78.6,0.0,KERFUFFLE
WR,CLC,Jaylen Waddle,DEN,@KC,Mon  8:15pm ET,10,42.5,20,6,96%,59%,34.0,2,179.12,163.8,137.39,KERFUFFLE
QB,CLC,Jacoby Brissett,ARI,@LAC,Sun  4:25pm ET,14,46.5,23,3,79%,38%,4.0,1,243.64,95.66,250.82,KERFUFFLE
DST,CLC,Bills,BUF,@HOU,Sun  1:00pm ET,7,44.5,14,11,79%,52%,3.0,1,117.0,145.0,129.6,KERFUFFLE
RB,CLC,Kaelon Black,SF,@LAR,Thu  8:35pm ET,8,48.5,---,10,3%,1%,3.0,3,0.0,0.0,101.92,KERFUFFLE
RB,CLC,Jeremiyah Love,ARI,@LAC,Sun  4:25pm ET,14,46.5,16,8,9%,3%,50.0,3,0.0,0.0,188.36,KERFUFFLE
WR,CLC,Zavion Thomas,CHI,@CAR,Sun  1:00pm ET,10,45.5,---,12,2%,1%,5.0,3,0.0,0.0,61.58,KERFUFFLE
TE,CLC,Terrance Ferguson,LAR,SF,Thu  8:35pm ET,11,48.5,24,22,5%,1%,5.0,2,50.1,47.8,77.73,KERFUFFLE
WR,CLC,Rome Odunze,CHI,@CAR,Sun  1:00pm ET,10,45.5,29,12,84%,12%,25.0,1,139.1,131.5,152.76,KERFUFFLE
QB,CLC,Justin Fields,KC,DEN,Mon  8:15pm ET,5,42.5,---,13,15%,1%,5.0,2,168.66,182.8,13.05,KERFUFFLE
WR,CLC,Ja'Lynn Polk,NO,@DET,Sun  1:00pm ET,8,49.5,---,30,1%,1%,3.0,1,0.0,9.4,0.0,KERFUFFLE
QB,CLC,Cam Ward,TEN,NYJ,Sun  1:00pm ET,9,38.5,24,31,24%,5%,45.0,2,202.26,200.78,229.69,KERFUFFLE
RB,CLC,Trevor Etienne,CAR,CHI,Sun  1:00pm ET,5,45.5,---,19,5%,1%,3.0,2,15.7,17.5,13.4,KERFUFFLE
QB,CPC,Drake Maye,NE,@SEA,Wed  8:20pm ET,11,44.5,3,8,100%,76%,10.0,1,388.96,295.28,319.02,KERFUFFLE
RB,CPC,James Cook,BUF,@HOU,Sun  1:00pm ET,7,44.5,5,5,100%,97%,116.0,1,348.2,300.4,228.35,KERFUFFLE
RB,CPC,Quinshon Judkins,CLE,@JAC,Sun  1:00pm ET,11,40.5,19,1,90%,44%,15.0,2,201.4,197.2,165.91,KERFUFFLE
WR,CPC,Ja'Marr Chase,CIN,TB,Sun  1:00pm ET,6,52.5,1,18,99%,97%,84.0,2,261.9,284.3,217.29,KERFUFFLE
WR,CPC,Tee Higgins,CIN,TB,Sun  1:00pm ET,6,52.5,12,18,98%,68%,17.0,2,193.6,172.1,170.04,KERFUFFLE
TE,CPC,Jake Tonges,SF,@LAR,Thu  8:35pm ET,8,48.5,---,14,18%,7%,1.0,1,80.3,35.7,16.64,KERFUFFLE
WR,CPC,Ladd McConkey,LAC,ARI,Sun  4:25pm ET,7,46.5,19,17,96%,60%,5.0,1,149.9,176.0,135.71,KERFUFFLE
WR,CPC,Jakobi Meyers,JAC,CLE,Sun  1:00pm ET,7,40.5,44,5,91%,62%,1.0,1,144.8,180.12,120.86,KERFUFFLE
QB,CPC,Dak Prescott,DAL,@NYG,Sun  8:20pm ET,14,48.5,7,25,97%,78%,77.0,1,329.58,271.4,310.79,KERFUFFLE
DST,CPC,Texans,HOU,BUF,Sun  1:00pm ET,8,44.5,3,10,100%,87%,10.0,1,169.0,153.0,168.1,KERFUFFLE
QB,CPC,Ty Simpson,LAR,SF,Thu  8:35pm ET,11,48.5,---,16,2%,1%,20.0,3,0.0,0.0,36.09,KERFUFFLE
RB,CPC,Jawhar Jordan,HOU,BUF,Sun  1:00pm ET,8,44.5,---,25,23%,3%,1.0,1,32.7,27.1,70.42,KERFUFFLE
RB,CPC,Brian Robinson,ATL,@PIT,Sun  1:00pm ET,11,41.5,56,9,51%,2%,18.0,1,75.6,158.2,88.4,KERFUFFLE
RB,CPC,Nicholas Singleton,TEN,NYJ,Sun  1:00pm ET,9,38.5,---,32,3%,1%,5.0,3,0.0,0.0,20.91,KERFUFFLE
WR,CPC,Matthew Golden,GB,@MIN,Sun  4:25pm ET,11,45.5,52,1,35%,3%,5.0,2,60.0,56.5,85.9,KERFUFFLE
WR,CPC,Adonai Mitchell,NYJ,@TEN,Sun  1:00pm ET,13,38.5,---,29,39%,11%,4.0,1,70.3,63.62,45.77,KERFUFFLE
TE,CPC,George Kittle,SF,@LAR,Thu  8:35pm ET,8,48.5,12,14,97%,52%,30.0,1,142.8,174.4,125.51,KERFUFFLE
DC,CPC,Dontayvion Wicks Dead Cap,GB,@MIN,Sun  4:25pm ET,11,45.5,---,1,0%,0%,2.0,1,0.0,0.0,0.0,KERFUFFLE
TE,CPC,Max Klare,LAR,SF,Thu  8:35pm ET,11,48.5,---,22,2%,1%,3.0,3,0.0,0.0,18.13,KERFUFFLE
WR,CPC,Jalen Royals,KC,DEN,Mon  8:15pm ET,5,42.5,---,2,2%,1%,3.0,2,0.4,0.0,21.42,KERFUFFLE
RB,DDD,Jahmyr Gibbs,DET,NO,Sun  1:00pm ET,6,49.5,1,20,100%,99%,102.0,2,373.9,341.4,313.65,KERFUFFLE
RB,DDD,Bucky Irving,TB,@CIN,Sun  1:00pm ET,10,52.5,22,31,99%,89%,3.0,1,146.5,202.4,193.19,KERFUFFLE
WR,DDD,Emeka Egbuka,TB,@CIN,Sun  1:00pm ET,10,52.5,16,9,98%,68%,25.0,2,166.7,168.8,162.03,KERFUFFLE
WR,DDD,Malik Nabers,NYG,DAL,Sun  8:20pm ET,8,48.5,13,32,42%,12%,30.0,1,50.1,126.9,168.23,KERFUFFLE
TE,DDD,Sam LaPorta,DET,NO,Sun  1:00pm ET,6,49.5,5,15,53%,7%,66.0,2,89.9,151.1,126.29,KERFUFFLE
WR,DDD,Zay Flowers,BAL,@IND,Sun  1:00pm ET,13,49.5,17,27,97%,78%,21.0,2,208.3,192.3,177.54,KERFUFFLE
RB,DDD,Cam Skattebo,NYG,DAL,Sun  8:20pm ET,8,48.5,17,27,51%,10%,5.0,2,142.0,134.2,205.01,KERFUFFLE
QB,DDD,Geno Smith,NYJ,@TEN,Sun  1:00pm ET,13,38.5,30,28,19%,4%,48.0,1,187.8,234.52,213.5,KERFUFFLE
DST,DDD,Seahawks,SEA,NE,Wed  8:20pm ET,11,44.5,4,18,96%,72%,1.0,1,195.0,150.0,156.1,KERFUFFLE
WR,DDD,Tank Dell,HOU,BUF,Sun  1:00pm ET,8,44.5,---,13,9%,1%,29.0,2,0.0,85.9,116.64,KERFUFFLE
WR,DDD,Ja'Kobi Lane,BAL,@IND,Sun  1:00pm ET,13,49.5,---,27,3%,1%,5.0,3,0.0,0.0,93.65,KERFUFFLE
TE,DDD,Theo Johnson,NYG,DAL,Sun  8:20pm ET,8,48.5,---,13,55%,16%,7.0,1,107.8,78.4,67.54,KERFUFFLE
WR,DDD,Elic Ayomanor,TEN,NYJ,Sun  1:00pm ET,9,38.5,---,19,12%,2%,3.0,2,105.5,105.2,92.28,KERFUFFLE
RB,DDD,Kenneth Gainwell,TB,@CIN,Sun  1:00pm ET,10,52.5,39,31,87%,42%,5.0,1,205.4,124.52,129.27,KERFUFFLE
DC,DDD,Deshaun Watson Dead Cap,CLE,@JAC,Sun  1:00pm ET,11,40.5,---,19,0%,0%,5.0,1,0.0,0.0,0.0,KERFUFFLE
WR,DDD,Kendrick Law,DET,NO,Sun  1:00pm ET,6,49.5,---,10,1%,1%,3.0,3,0.0,0.0,0.0,KERFUFFLE
QB,LBC,Bo Nix,DEN,@KC,Mon  8:15pm ET,10,42.5,16,12,93%,49%,5.0,1,330.14,339.08,275.5,KERFUFFLE
RB,LBC,Travis Etienne,NO,@DET,Sun  1:00pm ET,8,49.5,21,7,100%,91%,34.0,1,279.9,238.6,182.24,KERFUFFLE
RB,LBC,Kyren Williams,LAR,SF,Thu  8:35pm ET,11,48.5,13,22,100%,94%,84.0,1,313.3,311.2,208.4,KERFUFFLE
WR,LBC,Drake London,ATL,@PIT,Sun  1:00pm ET,11,41.5,7,26,98%,54%,36.0,2,179.9,194.1,223.51,KERFUFFLE
WR,LBC,Jaxon Smith-Njigba,SEA,NE,Wed  8:20pm ET,11,44.5,3,11,100%,100%,5.0,2,322.0,221.52,231.24,KERFUFFLE
TE,LBC,Trey McBride,ARI,@LAC,Sun  4:25pm ET,14,46.5,2,9,100%,98%,21.0,2,252.9,194.7,158.63,KERFUFFLE
RB,LBC,RJ Harvey,DEN,@KC,Mon  8:15pm ET,10,42.5,46,6,99%,79%,15.0,2,205.7,202.7,155.94,KERFUFFLE
RB,LBC,Rhamondre Stevenson,NE,@SEA,Wed  8:20pm ET,11,44.5,28,4,91%,31%,27.0,1,186.8,171.8,153.46,KERFUFFLE
QB,LBC,CJ Stroud,HOU,BUF,Sun  1:00pm ET,8,44.5,22,9,78%,30%,96.0,1,225.54,246.28,269.03,KERFUFFLE
WR,LBC,Jerry Jeudy,CLE,@JAC,Sun  1:00pm ET,11,40.5,---,15,49%,13%,1.0,2,102.7,147.3,92.49,KERFUFFLE
WR,LBC,Michael Pittman,PIT,ATL,Sun  1:00pm ET,9,41.5,47,22,90%,48%,16.0,2,169.4,166.2,102.48,KERFUFFLE
WR,LBC,De'Zhaun Stribling,SF,@LAR,Thu  8:35pm ET,8,48.5,60,24,3%,1%,,2,0.0,0.0,94.81,KERFUFFLE
WR,LBC,Antonio Williams,WAS,@PHI,Sun  4:25pm ET,7,47.5,---,8,3%,1%,,2,0.0,0.0,88.01,KERFUFFLE
TE,LBC,Evan Engram,DEN,@KC,Mon  8:15pm ET,10,42.5,25,6,33%,9%,6.0,1,71.8,96.9,67.29,KERFUFFLE
TE,LBC,Eli Raridon,NE,@SEA,Wed  8:20pm ET,11,44.5,---,20,2%,1%,,2,0.0,0.0,33.85,KERFUFFLE
TE,LBC,Brock Bowers,LV,MIA,Sun  4:25pm ET,13,40.5,1,29,91%,58%,15.0,1,148.6,179.5,156.18,KERFUFFLE
RB,LBC,Isiah Pacheco,DET,NO,Sun  1:00pm ET,6,49.5,45,20,58%,8%,68.0,1,99.6,125.3,98.54,KERFUFFLE
WR,LBC,Jack Bech,LV,MIA,Sun  4:25pm ET,13,40.5,---,14,5%,1%,5.0,2,33.4,33.4,33.24,KERFUFFLE
WR,LBC,Kyle Williams,NE,@SEA,Wed  8:20pm ET,11,44.5,---,4,7%,1%,5.0,2,46.4,48.7,34.05,KERFUFFLE
DC,LBC,Michael Wilson Dead Cap,ARI,@LAC,Sun  4:25pm ET,14,46.5,---,3,0%,0%,1.0,1,0.0,0.0,0.0,KERFUFFLE
RB,LC,Jadarian Price,SEA,NE,Wed  8:20pm ET,11,44.5,27,2,7%,2%,40.0,3,0.0,0.0,167.04,KERFUFFLE
RB,LC,Jaylen Warren,PIT,ATL,Sun  1:00pm ET,9,41.5,29,16,97%,65%,11.0,2,242.3,190.2,153.95,KERFUFFLE
WR,LC,Luther Burden,CHI,@CAR,Sun  1:00pm ET,10,45.5,18,12,44%,16%,5.0,2,111.8,109.7,145.89,KERFUFFLE
WR,LC,Luke McCaffrey,WAS,@PHI,Sun  4:25pm ET,7,47.5,---,8,6%,1%,5.0,1,46.3,35.0,59.82,KERFUFFLE
TE,LC,Jake Ferguson,DAL,@NYG,Sun  8:20pm ET,14,48.5,18,10,87%,48%,1.0,3,136.1,111.8,104.42,KERFUFFLE
WR,LC,Malachi Fields,NYG,DAL,Sun  8:20pm ET,8,48.5,---,32,2%,1%,3.0,3,0.0,0.0,42.25,KERFUFFLE
WR,LC,Rashid Shaheed,SEA,NE,Wed  8:20pm ET,11,44.5,---,11,51%,10%,1.0,1,117.9,100.5,116.32,KERFUFFLE
WR,LC,Xavier Worthy,KC,DEN,Mon  8:15pm ET,5,42.5,48,2,77%,23%,15.0,1,93.9,136.6,106.71,KERFUFFLE
DST,LC,49ers,SF,@LAR,Thu  8:35pm ET,8,48.5,19,3,61%,32%,1.0,1,86.0,92.0,104.7,KERFUFFLE
RB,LC,Zach Charbonnet,SEA,NE,Wed  8:20pm ET,11,44.5,43,2,92%,35%,4.0,2,216.4,166.0,104.61,KERFUFFLE
WR,LC,Travis Hunter,JAC,CLE,Sun  1:00pm ET,7,40.5,---,5,32%,1%,40.0,2,47.8,44.1,42.55,KERFUFFLE
WR,LC,Ted Hurst,TB,@CIN,Sun  1:00pm ET,10,52.5,---,9,2%,1%,5.0,3,0.0,0.0,66.98,KERFUFFLE
WR,LC,DK Metcalf,PIT,ATL,Sun  1:00pm ET,9,41.5,35,22,86%,40%,31.0,2,166.2,174.0,133.88,KERFUFFLE
WR,LC,Tory Horton,SEA,NE,Wed  8:20pm ET,11,44.5,---,11,13%,1%,1.0,3,53.1,49.7,86.78,KERFUFFLE
QB,MB,Jaxson Dart,NYG,DAL,Sun  8:20pm ET,8,48.5,12,32,91%,36%,10.0,2,279.88,275.04,312.26,KERFUFFLE
RB,MB,Adam Randall,BAL,@IND,Sun  1:00pm ET,13,49.5,---,11,3%,1%,3.0,3,0.0,0.0,89.25,KERFUFFLE
RB,MB,Bijan Robinson,ATL,@PIT,Sun  1:00pm ET,11,41.5,2,9,100%,99%,143.0,1,388.8,342.0,319.94,KERFUFFLE
WR,MB,Marvin Harrison,ARI,@LAC,Sun  4:25pm ET,14,46.5,31,3,89%,20%,45.0,1,116.8,144.6,135.71,KERFUFFLE
WR,MB,Amon-Ra St Brown,DET,NO,Sun  1:00pm ET,6,49.5,4,10,99%,92%,93.0,2,279.0,280.92,205.64,KERFUFFLE
WR,MB,Skyler Bell,BUF,@HOU,Sun  1:00pm ET,7,44.5,---,7,2%,1%,5.0,3,0.0,0.0,23.03,KERFUFFLE
WR,MB,Carnell Tate,TEN,NYJ,Sun  1:00pm ET,9,38.5,33,19,4%,2%,30.0,3,0.0,0.0,99.93,KERFUFFLE
RB,MB,Ray Davis,BUF,@HOU,Sun  1:00pm ET,7,44.5,54,5,16%,2%,1.0,2,70.4,101.4,19.61,KERFUFFLE
WR,MB,Kendrick Bourne,ARI,@LAC,Sun  4:25pm ET,14,46.5,---,3,21%,3%,1.0,1,82.1,70.9,56.15,KERFUFFLE
RB,MB,Jacory Croskey-Merritt,WAS,@PHI,Sun  4:25pm ET,7,47.5,31,26,67%,16%,34.0,2,175.4,175.8,136.9,KERFUFFLE
RB,MB,Isaac Guerendo,SF,@LAR,Thu  8:35pm ET,8,48.5,---,10,4%,1%,3.0,1,0.0,52.4,26.7,KERFUFFLE
WR,MB,Tre Harris,LAC,ARI,Sun  4:25pm ET,7,46.5,---,17,7%,1%,5.0,2,57.4,59.6,36.54,KERFUFFLE
RB,MB,Jarquez Hunter,LAR,SF,Thu  8:35pm ET,11,48.5,---,22,4%,1%,3.0,2,0.0,0.0,23.0,KERFUFFLE
QB,NBB,Trevor Lawrence,JAC,CLE,Sun  1:00pm ET,7,40.5,9,4,92%,56%,65.0,2,378.18,264.16,304.85,KERFUFFLE
RB,NBB,Bhayshul Tuten,JAC,CLE,Sun  1:00pm ET,7,40.5,24,14,57%,11%,5.0,2,104.9,102.4,182.0,KERFUFFLE
WR,NBB,Jayden Reed,GB,@MIN,Sun  4:25pm ET,11,45.5,45,1,66%,19%,8.0,2,38.5,130.0,113.66,KERFUFFLE
WR,NBB,Jordyn Tyson,NO,@DET,Sun  1:00pm ET,8,49.5,42,30,4%,1%,35.0,3,0.0,0.0,110.12,KERFUFFLE
TE,NBB,Marlin Klein,HOU,BUF,Sun  1:00pm ET,8,44.5,---,2,1%,1%,5.0,3,0.0,0.0,44.07,KERFUFFLE
WR,NBB,Khalil Shakir,BUF,@HOU,Sun  1:00pm ET,7,44.5,59,7,80%,28%,14.0,2,123.7,121.7,102.84,KERFUFFLE
WR,NBB,Brian Thomas,JAC,CLE,Sun  1:00pm ET,7,40.5,32,5,89%,42%,10.0,1,125.8,187.4,138.28,KERFUFFLE
RB,NBB,Will Shipley,PHI,WAS,Sun  4:25pm ET,10,47.5,---,29,4%,1%,3.0,1,14.5,17.7,16.0,KERFUFFLE
WR,NBB,Caleb Douglas,MIA,@LV,Sun  4:25pm ET,6,40.5,---,20,2%,1%,3.0,3,0.0,0.0,61.88,KERFUFFLE
WR,NBB,Tetairoa McMillan,CAR,CHI,Sun  1:00pm ET,5,45.5,21,31,98%,64%,30.0,2,196.4,195.3,149.02,KERFUFFLE
RB,NBB,Blake Corum,LAR,SF,Thu  8:35pm ET,11,48.5,36,22,74%,19%,5.0,1,161.2,103.0,115.0,KERFUFFLE
QB,NBB,Josh Allen,BUF,@HOU,Sun  1:00pm ET,7,44.5,1,2,100%,89%,199.0,1,410.62,432.42,360.64,KERFUFFLE
TE,NBB,Harold Fannin,CLE,@JAC,Sun  1:00pm ET,11,40.5,8,23,87%,60%,3.0,2,148.4,149.3,133.73,KERFUFFLE
QB,PCP,Daniel Jones,IND,BAL,Sun  1:00pm ET,13,49.5,27,21,49%,9%,1.0,2,245.54,155.72,279.87,KERFUFFLE
RB,PCP,Ashton Jeanty,LV,MIA,Sun  4:25pm ET,13,40.5,9,24,100%,89%,50.0,2,247.1,245.9,231.86,KERFUFFLE
RB,PCP,Kenneth Walker,KC,DEN,Mon  8:15pm ET,5,42.5,11,3,99%,65%,66.0,1,219.0,208.4,179.41,KERFUFFLE
WR,PCP,AJ Brown,NE,@SEA,Wed  8:20pm ET,11,44.5,11,4,98%,88%,79.0,1,189.3,212.1,186.87,KERFUFFLE
WR,PCP,CeeDee Lamb,DAL,@NYG,Sun  8:20pm ET,14,48.5,5,23,98%,93%,126.0,2,168.9,248.8,173.09,KERFUFFLE
TE,PCP,Kenyon Sadiq,NYJ,@TEN,Sun  1:00pm ET,13,38.5,23,21,4%,1%,10.0,3,0.0,0.0,86.86,KERFUFFLE
WR,PCP,Romeo Doubs,NE,@SEA,Wed  8:20pm ET,11,44.5,54,4,74%,23%,4.0,1,151.4,141.1,103.26,KERFUFFLE
WR,PCP,Garrett Wilson,NYJ,@TEN,Sun  1:00pm ET,13,38.5,22,29,70%,8%,34.0,2,81.5,155.1,150.78,KERFUFFLE
QB,PCP,Tua Tagovailoa,ATL,@PIT,Sun  1:00pm ET,11,41.5,26,24,30%,4%,41.0,1,161.8,205.38,217.37,KERFUFFLE
DST,PCP,Ravens,BAL,@IND,Sun  1:00pm ET,13,49.5,11,9,50%,27%,7.0,2,111.0,135.0,129.9,KERFUFFLE
QB,PCP,Fernando Mendoza,LV,MIA,Sun  4:25pm ET,13,40.5,32,23,3%,1%,45.0,3,0.0,0.0,177.09,KERFUFFLE
QB,PCP,Shedeur Sanders,CLE,@JAC,Sun  1:00pm ET,11,40.5,---,19,28%,7%,3.0,2,92.0,85.58,152.4,KERFUFFLE
RB,PCP,DJ Giddens,IND,BAL,Sun  1:00pm ET,13,49.5,---,17,6%,1%,1.0,3,14.6,10.7,21.4,KERFUFFLE
WR,PCP,Chris Bell,MIA,@LV,Sun  4:25pm ET,6,40.5,---,20,3%,1%,5.0,3,0.0,0.0,49.07,KERFUFFLE
WR,PCP,Chris Brazzell,CAR,CHI,Sun  1:00pm ET,5,45.5,---,31,2%,1%,3.0,3,0.0,0.0,0.0,KERFUFFLE
TE,PCP,TJ Hockenson,MIN,GB,Sun  4:25pm ET,6,45.5,26,12,46%,12%,7.0,2,83.8,109.9,75.11,KERFUFFLE
RB,PCP,Braelon Allen,NYJ,@TEN,Sun  1:00pm ET,13,38.5,59,13,16%,1%,3.0,1,18.3,50.7,81.72,KERFUFFLE
RB,PCP,Trey Benson,ARI,@LAC,Sun  4:25pm ET,14,46.5,---,8,48%,1%,5.0,1,28.4,33.7,16.4,KERFUFFLE
RB,PCP,Nick Chubb,HOU,BUF,Sun  1:00pm ET,8,44.5,---,25,40%,4%,26.0,1,96.9,60.7,17.2,KERFUFFLE
RB,PCP,Devin Neal,NO,@DET,Sun  1:00pm ET,8,49.5,---,7,54%,16%,5.0,2,58.0,50.6,34.4,KERFUFFLE
WR,PCP,Keon Coleman,BUF,@HOU,Sun  1:00pm ET,7,44.5,---,7,32%,3%,10.0,1,89.4,95.7,44.88,KERFUFFLE
QB,PCP,Quinn Ewers,MIA,@LV,Sun  4:25pm ET,6,40.5,---,14,9%,3%,1.0,1,33.78,29.24,12.53,KERFUFFLE
TE,PCP,Luke Musgrave,GB,@MIN,Sun  4:25pm ET,11,45.5,---,4,5%,1%,3.0,2,36.3,27.9,37.55,KERFUFFLE
QB,PP,Justin Herbert,LAC,ARI,Sun  4:25pm ET,7,46.5,8,17,90%,32%,72.0,1,320.88,286.38,297.82,KERFUFFLE
RB,PP,Omarion Hampton,LAC,ARI,Sun  4:25pm ET,7,46.5,10,30,99%,69%,35.0,2,141.7,134.3,198.46,KERFUFFLE
RB,PP,Josh Jacobs,GB,@MIN,Sun  4:25pm ET,11,45.5,14,15,99%,83%,50.0,1,264.1,265.2,219.73,KERFUFFLE
WR,PP,Rashee Rice,KC,DEN,Mon  8:15pm ET,5,42.5,10,2,92%,40%,6.0,2,127.1,116.1,199.49,KERFUFFLE
WR,PP,Courtland Sutton,DEN,@KC,Mon  8:15pm ET,10,42.5,36,6,97%,78%,3.0,2,197.7,193.12,145.13,KERFUFFLE
