Season,Week,TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+.1,Tar,TarPct,Avg.1,20+.2,40+.1,1Std Pct,Total,Avg.2,Total.1
2022,1,MAM,Justin Fields,QB,CHI,47.1,2,1,2.5,0.0,0,0.0,0.0,0,0,0.0,149,16.64,16.64
2022,1,FRR,Jared Goff,QB,DET,56.8,4,0,4.5,0.0,0,0.0,0.0,0,0,0.0,224,16.50,16.5
2022,1,MCM,Taysom Hill,TE,NO,0.0,0,0,20.2,1.0,1,2.9,2.0,0,0,0.0,83,16.30,16.3
2022,1,FRR,Isiah Pacheco,RB,KC,0.0,0,0,5.2,1.0,0,0.0,0.0,0,0,0.0,62,16.20,16.2
2022,1,AFL,Trey Lance,QB,SF,46.4,3,1,4.2,0.0,0,0.0,0.0,0,0,0.0,218,15.96,15.96
2022,1,FRR,Christian McCaffrey,RB,CAR,0.0,0,0,3.3,0.0,5,18.5,6.0,1,0,25.0,57,15.70,15.7
2022,1,VD,Davis Mills,QB,HOU,62.2,2,1,-0.5,0.0,0,0.0,0.0,0,0,0.0,239,15.60,15.6
2022,1,W (10/2),Jarvis Landry,WR,NO,0.0,0,0,0.0,0.0,9,26.5,16.3,2,1,57.1,114,15.40,15.4
2022,1,CRB,Amon-Ra St Brown,WR,DET,0.0,0,0,0.0,0.0,12,32.4,8.0,1,0,37.5,64,15.40,15.4
2022,1,MAM,DeAndre Carter,WR,LAC,0.0,0,0,0.0,0.0,4,11.8,21.3,2,0,100.0,64,15.40,15.4
2022,1,GF,Michael Carter,RB,NYJ,0.0,0,0,6.0,1.0,9,15.3,5.7,0,0,42.9,100,15.00,15.0
2022,1,MAM,Tua Tagovailoa,QB,MIA,69.7,3,1,0.0,0.0,0,0.0,0.0,0,0,0.0,270,14.80,14.8
2022,1,FRR,Javonte Williams,RB,DEN,0.0,0,0,6.1,0.0,12,28.6,5.9,0,0,27.3,108,14.80,14.8
2022,1,NN,Christian Kirk,WR,JAC,0.0,0,0,0.0,0.0,12,28.6,19.5,2,1,50.0,117,14.70,14.7
2022,1,VD,Joe Flacco,QB,NYJ,62.7,1,0,0.0,0.0,0,0.0,0.0,0,0,0.0,309,14.36,14.36
2022,1,NN,DJ Chark,WR,DET,0.0,0,0,0.0,0.0,8,21.6,13.0,1,0,75.0,52,14.20,14.2
2022,1,W (10/2),Sterling Shepard,WR,NYG,0.0,0,0,0.0,0.0,4,19.0,35.5,1,1,50.0,71,14.10,14.1
2022,1,AFL,Terry McLaurin,WR,WAS,0.0,0,0,0.0,0.0,4,9.8,29.0,1,1,100.0,58,13.80,13.8
2022,1,GF,Derek Carr,QB,LV,59.5,5,1,0.0,0.0,0,0.0,0.0,0,0,0.0,295,13.80,13.8
2022,1,VD,Mitch Trubisky,QB,PIT,55.3,4,0,3.0,0.0,0,0.0,0.0,0,0,0.0,203,13.66,13.66
2022,1,VD,Khalil Herbert,RB,CHI,0.0,0,0,5.0,0.0,1,5.9,-2.0,0,0,0.0,43,13.50,13.5
2022,1,MAM,Gerald Everett,TE,LAC,0.0,0,0,0.0,0.0,4,11.8,18.0,1,0,66.7,54,13.40,13.4
2022,1,NN,Trevor Lawrence,QB,JAC,57.1,3,1,2.0,0.0,0,0.0,0.0,0,0,0.0,279,13.40,13.4
2022,1,WLW,Rashod Bateman,WR,BAL,0.0,0,0,0.0,0.0,5,16.7,29.5,1,1,50.0,59,12.90,12.9
2022,1,MWM,Corey Davis,WR,NYJ,0.0,0,0,0.0,0.0,10,16.9,12.8,0,0,83.3,77,12.70,12.7
2022,1,AFL,Julio Jones,WR,TB,0.0,0,0,8.5,0.0,5,18.5,23.0,1,1,66.7,86,12.60,12.6
2022,1,MWM,Tyler Boyd,WR,CIN,0.0,0,0,0.0,0.0,7,13.2,8.2,1,0,75.0,33,12.30,12.3
2022,1,CC,Marquise Brown,WR,ARI,0.0,0,0,0.0,0.0,6,15.8,10.8,1,0,50.0,43,12.30,12.3
2022,1,W (10/2),Colby Parkinson,TE,SEA,0.0,0,0,0.0,0.0,2,7.1,21.5,1,0,100.0,43,12.30,12.3
2022,1,CC,Kenneth Gainwell,RB,PHI,0.0,0,0,4.0,0.0,4,12.5,6.0,0,0,50.0,32,12.20,12.2
2022,1,MCM,Brandin Cooks,WR,HOU,0.0,0,0,0.0,0.0,12,32.4,11.7,1,1,57.1,82,12.20,12.2
2022,1,W (10/2),Dante Pettis,WR,CHI,0.0,0,0,0.0,0.0,1,5.9,51.0,1,1,100.0,51,12.10,12.1
2022,1,CC,Darren Waller,TE,LV,0.0,0,0,0.0,0.0,6,16.2,19.8,2,0,100.0,79,11.90,11.9
2022,1,MWM,Jacoby Brissett,QB,CLE,52.9,1,0,2.5,0.0,0,0.0,0.0,0,0,0.0,157,11.88,11.88
2022,1,MWM,Aaron Jones,RB,GB,0.0,0,0,9.8,1.0,5,12.8,9.0,1,0,33.3,76,11.60,11.6
2022,1,W (10/2),Will Dissly,TE,SEA,0.0,0,0,0.0,0.0,3,10.7,14.3,1,0,33.3,43,11.30,11.3
2022,1,AFL,Noah Brown,WR,DAL,0.0,0,0,0.0,0.0,9,21.4,13.6,1,0,80.0,68,10.80,10.8
2022,1,WLW,Najee Harris,RB,PIT,0.0,0,0,2.3,0.0,2,5.3,1.5,0,0,50.0,26,10.60,10.6
2022,1,NN,Pat Freiermuth,TE,PIT,0.0,0,0,0.0,0.0,10,26.3,15.0,2,0,60.0,75,10.50,10.5
2022,1,W (10/2),Zay Jones,WR,JAC,0.0,0,0,0.0,0.0,9,21.4,10.8,0,0,66.7,65,10.50,10.5
2022,1,MWM,Tom Brady,QB,TB,66.7,3,1,-0.5,0.0,0,0.0,0.0,0,0,0.0,211,10.48,10.48
2022,1,FRR,Drake London,WR,ATL,0.0,0,0,0.0,0.0,7,21.2,14.8,1,0,60.0,74,10.40,10.4
2022,1,WLW,Zach Ertz,TE,ARI,0.0,0,0,0.0,0.0,4,10.5,7.0,0,0,50.0,14,10.40,10.4
2022,1,NN,Darrell Henderson,RB,LAR,0.0,0,0,3.6,0.0,5,12.2,5.2,0,0,20.0,73,10.30,10.3
2022,1,MWM,Devin Singletary,RB,BUF,0.0,0,0,6.0,0.0,2,6.5,7.0,0,0,100.0,62,10.20,10.2
2022,1,VD,Austin Ekeler,RB,LAC,0.0,0,0,2.6,0.0,4,11.8,9.0,0,0,75.0,72,10.20,10.2
2022,1,MAM,Courtland Sutton,WR,DEN,0.0,0,0,0.0,0.0,7,16.7,18.0,1,0,75.0,72,10.20,10.2
2022,1,WLW,Isaiah McKenzie,WR,BUF,0.0,0,0,0.0,0.0,3,9.7,9.5,0,0,100.0,19,9.90,9.9
2022,1,W (10/2),Brandon Bolden,RB,LV,0.0,0,0,2.3,0.0,2,5.4,10.5,0,0,50.0,28,9.80,9.8
2022,1,GF,Rashaad Penny,RB,SEA,0.0,0,0,5.0,1.0,3,10.7,3.5,0,0,50.0,67,9.70,9.7
