Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2025,7,FRR,QB,Sam Darnold,SEA,HOU,1,17,31,213,1,1,3,1,0,0,0,0,0,0,0,1,8.62,8.62
2025,7,FRR,RB,Michael Carter,ARI,GB,3,0,0,0,0,0,7,11,0,1,2,2,25,0,2,0,6.60,6.60
2025,7,FRR,TE,Travis Kelce,KC,LV,6,0,0,0,0,0,0,0,0,0,3,3,54,0,1,0,6.40,6.40
2025,7,FRR,WR,Drake London,ATL,@SF,9,0,0,0,0,0,0,0,0,0,10,4,42,0,2,0,6.20,6.20
2025,7,FRR,RB,Blake Corum,LAR,@JAC,8,0,0,0,0,0,12,37,0,1,1,1,6,0,0,0,5.30,5.30
2025,7,FRR,WR,Jayden Higgins,HOU,@SEA,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.00,0.00
2025,7,FRR,WR,Calvin Ridley,TEN,NE,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,FRR,RB,Brian Robinson Dead Cap,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,FRR,TE,Darren Waller,MIA,@CLE,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
2025,7,FRR,WR,Terry McLaurin,WAS,@DAL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,FRR,QB,Jalen Milroe,SEA,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,FRR,QB,Tua Tagovailoa,MIA,@CLE,2,12,23,100,0,3,3,6,0,0,0,0,0,0,0,0,-1.40,-1.40
2025,7,FRR,DST,Steelers,PIT,@CIN,27,,,,,,,,,,,,,,,,1.00,1.00
2025,7,GF,WR,Davante Adams,LAR,@JAC,26,0,0,0,0,0,0,0,0,0,8,5,35,3,5,0,26.50,26.50
2025,7,GF,WR,Jaxon Smith-Njigba,SEA,HOU,8,0,0,0,0,0,0,0,0,0,14,8,123,1,6,0,24.30,24.30
2025,7,GF,RB,Jaylen Warren,PIT,@CIN,32,0,0,0,0,0,16,127,0,6,5,4,31,0,2,0,23.80,23.80
2025,7,GF,RB,Josh Jacobs,GB,@ARI,21,0,0,0,0,0,13,55,2,4,1,1,3,0,0,0,21.80,21.80
2025,7,GF,QB,Trevor Lawrence,JAC,LAR,9,23,48,296,1,0,2,18,0,1,0,0,0,0,0,0,18.64,18.64
2025,7,GF,WR,Tez Johnson,TB,@DET,27,0,0,0,0,0,0,0,0,0,9,4,58,1,3,0,14.80,14.80
2025,7,GF,WR,Wan'Dale Robinson,NYG,@DEN,1,0,0,0,0,0,0,0,0,0,12,6,95,0,5,0,14.50,14.50
2025,7,GF,QB,Jordan Love,GB,@ARI,7,19,29,179,1,0,4,22,0,1,0,0,0,0,0,0,14.36,14.36
2025,7,GF,QB,Michael Penix,ATL,@SF,10,21,38,241,1,0,2,6,0,0,0,0,0,0,0,1,12.24,12.24
2025,7,GF,WR,Romeo Doubs,GB,@ARI,10,0,0,0,0,0,0,0,0,0,8,6,72,0,3,0,10.20,10.20
2025,7,GF,WR,Jalen Nailor,MIN,PHI,20,0,0,0,0,0,0,0,0,0,4,2,37,0,2,0,5.70,5.70
2025,7,GF,TE,Harold Fannin,CLE,MIA,25,0,0,0,0,0,0,0,0,0,5,4,36,0,2,0,5.60,5.60
2025,7,GF,RB,Tyjae Spears,TEN,NE,5,0,0,0,0,0,5,22,0,1,4,3,18,0,0,0,5.00,5.00
2025,7,GF,RB,Ashton Jeanty,LV,@KC,7,0,0,0,0,0,6,21,0,0,1,1,13,0,0,0,3.40,3.40
2025,7,GF,RB,Will Shipley,PHI,@MIN,13,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0.70,0.70
2025,7,GF,TE,Dalton Kincaid,BUF,BYE,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,GF,QB,JJ McCarthy,MIN,PHI,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,GF,RB,MarShawn Lloyd,GB,@ARI,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,GF,TE,Brenton Strange,JAC,LAR,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,GF,WR,Deebo Samuel,WAS,@DAL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,GF,DST,Patriots,NE,@TEN,32,,,,,,,,,,,,,,,,22.00,22.00
2025,7,MAM,QB,Justin Herbert,LAC,IND,19,37,55,420,3,2,6,31,0,4,0,0,0,0,0,0,31.90,31.90
2025,7,MAM,WR,Rashee Rice,KC,LV,28,0,0,0,0,0,0,0,0,0,10,7,42,2,4,0,20.20,20.20
2025,7,MAM,TE,Tucker Kraft,GB,@ARI,27,0,0,0,0,0,0,0,0,0,10,5,58,1,4,0,15.80,15.80
2025,7,MAM,RB,RJ Harvey,DEN,NYG,17,0,0,0,0,0,4,0,0,0,2,1,2,1,1,0,7.20,7.20
2025,7,MAM,WR,DJ Moore,CHI,NO,15,0,0,0,0,0,1,9,0,0,5,3,43,0,2,0,7.20,7.20
2025,7,MAM,RB,Saquon Barkley,PHI,@MIN,13,0,0,0,0,0,18,44,0,2,1,1,-2,0,0,0,6.40,6.40
2025,7,MAM,QB,Caleb Williams,CHI,NO,25,15,26,172,0,1,4,-2,0,0,0,0,0,0,0,0,4.88,4.88
2025,7,MAM,RB,Alvin Kamara,NO,@CHI,24,0,0,0,0,0,11,28,0,1,3,3,1,0,0,0,3.90,3.90
2025,7,MAM,WR,Elic Ayomanor,TEN,NE,21,0,0,0,0,0,0,0,0,0,5,2,29,0,1,0,3.90,3.90
2025,7,MAM,WR,Jerry Jeudy,CLE,MIA,7,0,0,0,0,0,0,0,0,0,4,2,17,0,1,0,2.70,2.70
2025,7,MAM,RB,Bhayshul Tuten,JAC,LAR,4,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,2.20,2.20
2025,7,MAM,RB,Kendre Miller,NO,@CHI,24,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0.70,0.70
2025,7,MAM,RB,Jarquez Hunter,LAR,@JAC,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MAM,WR,Brandon Aiyuk,SF,ATL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MAM,WR,Tory Horton,SEA,HOU,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.00,0.00
2025,7,MAM,TE,David Njoku,CLE,MIA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MAM,QB,Will Howard,PIT,@CIN,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MAM,WR,Josh Downs,IND,@LAC,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MAM,WR,Garrett Wilson,NYJ,CAR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MAM,DST,Rams,LAR,@JAC,18,15.00,15.00,,,,,,,,,,,,,,,
2025,7,MAM,DST,Giants,NYG,@DEN,6,,,,,,,,,,,,,,,,2.00,2.00
2025,7,MCM,QB,Daniel Jones,IND,@LAC,14,23,34,288,2,0,5,7,0,0,0,0,0,0,0,0,22.22,22.22
2025,7,MCM,WR,Jordan Addison,MIN,PHI,20,0,0,0,0,0,0,0,0,0,12,9,128,0,6,0,18.80,18.80
2025,7,MCM,RB,Brashard Smith,KC,LV,20,0,0,0,0,0,14,39,0,1,5,5,42,0,2,0,11.10,11.10
