,Player,NFL,Pos,xFP,ActualPts,Looks,TD,xTD,Diff,In5,EZ
226,Andy Isabella,ARI,WR,4,2,3,0,0.0,0.0,0,0
227,Quez Watkins,PHI,WR,4,15,2,1,0.1,0.9,0,0
228,Marquise Goodwin,SEA,WR,4,4,3,0,0.0,0.0,0,0
229,Montrell Washington,DEN,WR,4,2,2,0,0.3,-0.3,0,1
230,Brandon Powell,LAR,WR,4,1,4,0,0.0,0.0,0,0
231,Zach Pascal,PHI,WR,4,5,3,0,0.0,0.0,0,0
232,Kalif Raymond,DET,WR,3,0,2,0,0.0,0.0,0,0
233,Dante Pettis,CHI,WR,3,12,2,1,0.0,1.0,0,0
234,Tylan Wallace,BAL,WR,3,2,3,0,0.0,0.0,0,0
235,Dax Milne,WAS,WR,3,2,2,0,0.1,-0.1,0,0
236,KJ Hamler,DEN,WR,3,0,2,0,0.1,-0.1,0,0
237,Chris Conley,HOU,WR,3,0,2,0,0.0,0.0,0,0
238,Jalen Guyton,LAC,WR,2,0,1,0,0.1,-0.1,0,0
239,Cody Hollister,TEN,WR,2,3,1,0,0.1,-0.1,0,0
240,Miles Boykin,PIT,WR,2,0,1,0,0.0,0.0,0,0
241,Skyy Moore,KC,WR,2,4,1,0,0.0,0.0,0,0
242,KaVontae Turpin,DAL,WR,1,0,1,0,0.1,-0.1,0,0
243,Mark Andrews,BAL,TE,37,36,19,1,1.4,-0.4,0,2
244,Tyler Higbee,LAR,TE,36,23,20,0,1.5,-1.5,0,2
245,Travis Kelce,KC,TE,33,36,16,1,1.5,-0.5,0,1
246,Zach Ertz,ARI,TE,33,27,15,1,2.0,-1.0,0,3
247,Darren Waller,LV,TE,31,29,14,1,1.5,-0.5,0,3
248,Pat Freiermuth,PIT,TE,30,25,16,1,1.0,0.0,0,2
249,Gerald Everett,LAC,TE,27,28,14,1,1.4,-0.4,0,0
250,Hayden Hurst,CIN,TE,25,17,15,0,0.9,-0.9,0,1
251,Juwan Johnson,NO,TE,23,14,12,0,0.9,-0.9,0,2
252,Tyler Conklin,NYJ,TE,23,22,16,1,0.6,0.4,0,1
253,Logan Thomas,WAS,TE,21,20,11,1,0.9,0.1,0,0
254,T.J. Hockenson,DET,TE,20,13,14,0,0.2,-0.2,0,0
255,Dalton Schultz,DAL,TE,19,15,13,0,0.0,0.0,0,0
256,Kyle Pitts,ATL,TE,18,8,10,0,0.5,-0.5,0,1
257,Irv Smith Jr.,MIN,TE,18,15,10,1,0.6,0.4,0,0
258,Evan Engram,JAC,TE,17,18,12,0,0.0,0.0,0,0
259,Harrison Bryant,CLE,TE,16,11,8,0,0.7,-0.7,0,1
260,Dallas Goedert,PHI,TE,15,22,10,0,0.1,-0.1,0,0
261,Albert Okwuegbunam,DEN,TE,13,8,8,0,0.5,-0.5,0,0
262,Austin Hooper,TEN,TE,12,5,7,0,0.5,-0.5,0,1
263,David Njoku,CLE,TE,12,8,6,0,0.5,-0.5,0,1
264,Isaiah Likely,BAL,TE,12,8,9,0,0.0,0.0,0,0
265,Robert Tonyan,GB,TE,12,10,7,0,0.5,-0.5,0,0
266,Dawson Knox,BUF,TE,11,10,7,0,0.2,-0.2,0,0
267,Kylen Granson,IND,TE,11,9,9,0,0.0,0.0,0,0
268,Noah Gray,KC,TE,11,5,5,0,0.7,-0.7,0,1
269,Noah Fant,SEA,TE,11,8,7,0,0.2,-0.2,0,0
270,Mike Gesicki,MIA,TE,10,15,5,1,0.5,0.5,0,1
271,Jonnu Smith,NE,TE,10,6,7,0,0.1,-0.1,0,0
272,Mo Alie-Cox,IND,TE,10,7,5,0,0.5,-0.5,0,1
273,Eric Saubert,DEN,TE,9,9,3,1,0.8,0.2,0,2
274,Jody Fortson,KC,TE,9,7,2,1,1.0,0.0,0,2
275,Johnny Mundt,MIN,TE,9,10,6,0,0.0,0.0,0,0
276,Ian Thomas,CAR,TE,8,10,6,0,0.1,-0.1,0,0
277,Brevin Jordan,HOU,TE,8,4,6,0,0.0,0.0,0,0
278,Pharaoh Brown,HOU,TE,8,8,6,0,0.0,0.0,0,0
279,O.J. Howard,HOU,TE,8,20,3,2,0.5,1.5,0,0
280,Cameron Brate,TB,TE,8,4,5,0,0.1,-0.1,0,0
281,Tyler Kroft,SF,TE,8,2,4,0,0.1,-0.1,0,0
282,Will Dissly,SEA,TE,7,15,5,1,0.0,1.0,0,0
283,Tre' McKitty,LAC,TE,7,5,5,0,0.2,-0.2,0,0
284,Geoff Swaim,TEN,TE,7,5,4,0,0.2,-0.2,0,0
285,Durham Smythe,MIA,TE,7,4,4,0,0.2,-0.2,0,0
286,Hunter Henry,NE,TE,7,4,4,0,0.1,-0.1,0,0
287,Taysom Hill,NO,TE,6,17,8,1,0.2,0.8,0,0
288,Parker Hesse,ATL,TE,6,3,3,0,0.2,-0.2,0,0
289,Tommy Tremble,CAR,TE,6,1,1,0,0.7,-0.7,0,0
290,Colby Parkinson,SEA,TE,5,12,2,1,0.2,0.8,0,0
291,Tanner Hudson,NYG,TE,5,4,3,0,0.0,0.0,0,0
292,Foster Moreau,LV,TE,5,6,4,0,0.0,0.0,0,0
293,Ross Dwelley,SF,TE,5,13,3,1,0.0,1.0,0,0
294,Richard Rodgers,LAC,TE,4,0,1,0,0.5,-0.5,0,1
295,Eric Tomlinson,DEN,TE,4,0,1,0,0.5,-0.5,0,1
296,Anthony Firkser,ATL,TE,4,2,2,0,0.2,-0.2,0,0
297,Drew Sample,CIN,TE,3,2,2,0,0.1,-0.1,0,0
298,Dan Arnold,JAC,TE,2,2,1,0,0.1,-0.1,0,0
299,Brock Wright,DET,TE,2,4,1,0,0.0,0.0,0,0
300,Ben Ellefson,MIN,TE,2,1,1,0,0.1,-0.1,0,0
301,Daniel Bellinger,NYG,TE,1,9,1,1,0.0,1.0,0,0
