Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 3,Avg,Proj
QB,AFL,Kyler Murray,ARI,WAS,Sun  4:05pm ET,11,50.5,2,32,99%,90%,92,2,16.78,21.50,23.21
RB,AFL,Jahmyr Gibbs,DET,SEA,Mon  8:15pm ET,5,46.5,7,9,100%,98%,45,2,21.30,18.43,14.01
RB,AFL,D'Andre Swift,CHI,LAR,Sun  1:00pm ET,7,41,36,28,99%,59%,60,1,5.20,5.13,9.10
WR,AFL,Tee Higgins,CIN,@CAR,Sun  1:00pm ET,12,47.5,27,19,98%,56%,40,1,5.90,5.90,7.71
WR,AFL,Chris Olave,NO,@ATL,Sun  1:00pm ET,12,42.5,16,14,100%,83%,45,1,19.60,11.83,9.71
TE,AFL,Travis Kelce,KC,@LAC,Sun  4:25pm ET,6,39,4,17,100%,95%,48,1,5.00,3.67,7.91
TE,AFL,Brock Bowers,LV,CLE,Sun  4:25pm ET,10,37.5,3,15,96%,81%,10,3,6.10,9.90,6.71
WR,AFL,Zay Flowers,BAL,BUF,Sun  8:20pm ET,14,46,23,6,99%,82%,15,2,3.30,9.50,8.51
QB,AFL,Jayden Daniels,WAS,@ARI,Sun  4:05pm ET,14,50.5,5,22,97%,60%,45,3,33.06,28.22,23.58
DST,AFL,Cowboys,DAL,@NYG,Thu  8:15pm ET,7,44,5,26,93%,65%,1,1,-1.00,6.67,11.90
QB,AFL,Spencer Rattler,NO,@ATL,Sun  1:00pm ET,12,42.5,---,27,2%,1%,3,3,0.00,0.00,0.00
QB,AFL,Russell Wilson,PIT,@IND,Sun  1:00pm ET,9,40,---,16,12%,1%,3,1,0.00,0.00,0.90
RB,AFL,Dameon Pierce,HOU,JAC,Sun  1:00pm ET,14,45,---,27,10%,1%,5,1,0.00,2.60,2.20
WR,AFL,Tutu Atwell,LAR,@CHI,Sun  1:00pm ET,6,41,47,4,23%,10%,2,2,12.30,6.70,7.91
WR,AFL,AJ Brown,PHI,@TB,Sun  1:00pm ET,5,45,---,9,100%,3%,74,1,0.00,22.90,0.00
WR,AFL,Jahan Dotson,PHI,@TB,Sun  1:00pm ET,5,45,---,9,11%,1%,5,1,0.80,0.80,2.81
TE,AFL,Greg Dulcich,DEN,@NYJ,Sun  1:00pm ET,14,38.5,23,8,8%,3%,1,1,0.00,0.93,3.30
WR,AFL,Adonai Mitchell,IND,PIT,Sun  1:00pm ET,14,40,---,7,30%,1%,5,3,0.00,1.40,4.20
WR,AFL,Curtis Samuel,BUF,@BAL,Sun  8:20pm ET,12,46,---,29,28%,2%,1,1,3.20,1.67,5.31
QB,CC,Brock Purdy,SF,NE,Sun  4:05pm ET,9,39.5,14,19,96%,44%,96,3,29.78,18.69,15.89
RB,CC,James Cook,BUF,@BAL,Sun  8:20pm ET,12,46,9,3,100%,98%,10,1,19.70,22.50,13.10
RB,CC,David Montgomery,DET,SEA,Mon  8:15pm ET,5,46.5,17,9,100%,81%,71,2,25.20,20.83,11.40
WR,CC,DK Metcalf,SEA,@DET,Mon  8:15pm ET,10,46.5,9,30,100%,93%,53,3,18.40,15.07,11.22
WR,CC,Amon-Ra St Brown,DET,SEA,Mon  8:15pm ET,5,46.5,8,1,100%,100%,40,2,18.50,12.90,11.72
TE,CC,Trey McBride,ARI,WAS,Sun  4:05pm ET,11,50.5,---,7,98%,91%,2,1,2.50,7.40,9.61
WR,CC,George Pickens,PIT,@IND,Sun  1:00pm ET,9,40,21,28,99%,65%,5,1,8.70,8.70,8.21
WR,CC,Brian Thomas,JAC,@HOU,Sun  1:00pm ET,12,45,32,22,94%,51%,10,3,7.80,10.97,7.51
QB,CC,Daniel Jones,NYG,DAL,Thu  8:15pm ET,11,44,22,28,15%,3%,65,2,20.44,15.57,15.70
DST,CC,Browns,CLE,@LV,Sun  4:25pm ET,10,37.5,6,27,99%,96%,5,1,6.00,6.00,10.60
QB,CC,Drake Maye,NE,@SF,Sun  4:05pm ET,14,39.5,---,14,12%,1%,30,3,3.08,3.08,0.38
RB,CC,Jonathon Brooks,CAR,CIN,Sun  1:00pm ET,11,47.5,---,19,83%,1%,10,3,0.00,0.00,0.00
WR,CC,Javon Baker,NE,@SF,Sun  4:05pm ET,14,39.5,---,26,2%,1%,3,3,0.00,0.00,0.60
WR,CC,Malachi Corley,NYJ,DEN,Sun  1:00pm ET,12,38.5,---,2,4%,1%,3,3,0.00,0.13,0.60
WR,CC,Quentin Johnston,LAC,KC,Sun  4:25pm ET,5,39,40,12,83%,33%,20,2,12.40,12.43,8.92
WR,CC,Ricky Pearsall,SF,NE,Sun  4:05pm ET,9,39.5,---,23,10%,1%,5,3,0.00,0.00,0.00
WR,CC,Ja'Lynn Polk,NE,@SF,Sun  4:05pm ET,14,39.5,---,26,21%,1%,3,3,1.30,3.37,3.61
WR,CC,Deebo Samuel,SF,NE,Sun  4:05pm ET,9,39.5,---,23,100%,3%,54,2,0.00,17.35,0.00
DC,CC,Antonio Gibson Dead Cap,NE,@SF,Sun  4:05pm ET,14,39.5,---,23,0%,0%,5,1,0.00,0.00,0.00
QB,CRB,Jalen Hurts,PHI,@TB,Sun  1:00pm ET,5,45,7,30,100%,94%,101,1,11.94,20.39,20.06
RB,CRB,Josh Jacobs,GB,MIN,Sun  1:00pm ET,10,43.5,20,4,100%,93%,107,1,5.80,14.10,10.20
RB,CRB,Jonathan Taylor,IND,PIT,Sun  1:00pm ET,14,40,10,2,100%,99%,70,1,32.50,22.93,15.30
WR,CRB,Davante Adams,LV,CLE,Sun  4:25pm ET,10,37.5,18,18,100%,98%,75,2,6.00,12.30,10.82
WR,CRB,DeVonta Smith,PHI,@TB,Sun  1:00pm ET,5,45,---,9,100%,94%,50,2,11.90,14.30,11.31
TE,CRB,Isaiah Likely,BAL,BUF,Sun  8:20pm ET,14,46,8,22,94%,55%,3,2,0.40,9.03,5.71
RB,CRB,De'Von Achane,MIA,TEN,Mon  7:30pm ET,6,37,15,20,100%,99%,10,2,8.80,19.77,19.31
WR,CRB,Romeo Doubs,GB,MIN,Sun  1:00pm ET,10,43.5,---,21,53%,4%,3,1,2.80,6.33,6.01
QB,CRB,Bo Nix,DEN,@NYJ,Sun  1:00pm ET,14,38.5,---,5,29%,4%,15,3,25.34,16.57,11.77
DST,CRB,Texans,HOU,JAC,Sun  1:00pm ET,14,45,8,29,90%,79%,1,1,3.00,9.00,11.50
RB,CRB,Antonio Gibson,NE,@SF,Sun  4:05pm ET,14,39.5,44,23,52%,4%,1,2,5.70,7.93,5.80
WR,CRB,Luke McCaffrey,WAS,@ARI,Sun  4:05pm ET,14,50.5,---,17,11%,1%,1,2,6.40,3.07,5.01
WR,CRB,Jalen McMillan,TB,PHI,Sun  1:00pm ET,11,45,---,27,12%,1%,3,3,1.60,4.97,4.01
WR,CRB,Mike Williams,NYJ,DEN,Sun  1:00pm ET,12,38.5,---,2,36%,2%,4,2,5.40,2.77,4.60
TE,CRB,Ben Sinnott,WAS,@ARI,Sun  4:05pm ET,14,50.5,---,16,10%,1%,5,3,0.00,0.00,1.20
WR,CRB,Keenan Allen,CHI,LAR,Sun  1:00pm ET,7,41,---,31,82%,3%,18,2,0.00,4.90,7.91
WR,CRB,Courtland Sutton,DEN,@NYJ,Sun  1:00pm ET,14,38.5,---,15,76%,14%,15,2,11.80,7.07,5.31
RB,CRB,Zamir White,LV,CLE,Sun  4:25pm ET,10,37.5,35,13,93%,31%,11,1,4.40,4.27,6.80
DST,CRB,Buccaneers,TB,PHI,Sun  1:00pm ET,11,45,---,23,69%,59%,3,2,3.00,5.00,8.60
