Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 2,Avg,Proj
QB,ABT,Caleb Williams,CHI,@IND,Sun  1:00pm ET,7,43,23,19,87%,15%,50,3,8.36,8.29,15.41
RB,ABT,Saquon Barkley,PHI,@NO,Sun  1:00pm ET,5,49.5,2,1,100%,100%,131,2,19.60,28.90,16.11
RB,ABT,Alvin Kamara,NO,PHI,Sun  1:00pm ET,12,49.5,3,22,100%,95%,40,1,51.00,36.50,15.01
WR,ABT,Keenan Allen,CHI,@IND,Sun  1:00pm ET,7,43,---,28,88%,7%,7,2,0.00,4.90,6.61
WR,ABT,DJ Moore,CHI,@IND,Sun  1:00pm ET,7,43,19,28,100%,72%,44,3,8.30,8.15,10.92
TE,ABT,Colby Parkinson,LAR,SF,Sun  4:25pm ET,6,43.5,16,2,51%,34%,1,2,2.20,4.95,4.90
RB,ABT,Alexander Mattison,LV,CAR,Sun  4:05pm ET,10,41,36,30,59%,12%,1,2,7.10,10.65,8.31
WR,ABT,Chris Olave,NO,PHI,Sun  1:00pm ET,12,49.5,17,31,100%,77%,42,4,13.80,7.95,9.01
QB,ABT,Dak Prescott,DAL,BAL,Sun  4:25pm ET,7,48.5,12,13,100%,80%,77,3,13.92,13.19,17.06
DST,ABT,Seahawks,SEA,MIA,Sun  4:05pm ET,10,41.5,8,29,50%,40%,1,2,4.00,6.50,7.90
WR,ABT,Jermaine Burton,CIN,WAS,Mon  8:15pm ET,12,48.5,---,32,11%,1%,5,3,5.70,2.85,6.61
WR,ABT,Josh Downs,IND,CHI,Sun  1:00pm ET,14,43,---,12,19%,1%,1,4,0.00,0.00,2.90
WR,ABT,Roman Wilson,PIT,LAC,Sun  1:00pm ET,9,35.5,---,1,8%,1%,3,3,0.00,0.00,0.30
TE,ABT,Jake Ferguson,DAL,BAL,Sun  4:25pm ET,7,48.5,6,29,82%,10%,2,2,0.00,1.50,5.41
RB,ABT,Chase Brown,CIN,WAS,Mon  8:15pm ET,12,48.5,39,14,85%,7%,7,3,4.10,3.20,6.50
WR,ABT,Brandin Cooks,DAL,BAL,Sun  4:25pm ET,7,48.5,43,27,81%,37%,1,2,3.90,8.20,7.11
RB,ABT,Kenneth Gainwell,PHI,@NO,Sun  1:00pm ET,5,49.5,---,1,24%,1%,1,2,0.60,1.40,2.90
WR,ABT,Puka Nacua,LAR,SF,Sun  4:25pm ET,6,43.5,---,29,98%,3%,85,4,0.00,5.20,0.00
RB,ABT,Keaton Mitchell,BAL,@DAL,Sun  4:25pm ET,14,48.5,---,32,12%,1%,1,4,0.00,0.00,0.00
QB,CLC,Justin Fields,PIT,LAC,Sun  1:00pm ET,9,35.5,21,1,54%,24%,5,4,12.38,14.66,16.55
RB,CLC,Breece Hall,NYJ,NE,Thu  8:15pm ET,12,38.5,1,7,100%,100%,145,2,21.40,19.35,12.91
RB,CLC,Zack Moss,CIN,WAS,Mon  8:15pm ET,12,48.5,25,14,98%,40%,17,3,7.70,12.40,10.50
WR,CLC,DeVonta Smith,PHI,@NO,Sun  1:00pm ET,5,49.5,8,20,100%,96%,45,4,17.60,15.50,11.02
WR,CLC,Jaylen Waddle,MIA,@SEA,Sun  4:05pm ET,6,41.5,32,2,100%,79%,34,4,6.50,10.85,7.71
TE,CLC,Dalton Kincaid,BUF,JAC,Mon  7:30pm ET,12,45.5,9,4,97%,78%,50,2,3.30,2.70,6.61
WR,CLC,Nico Collins,HOU,@MIN,Sun  1:00pm ET,14,45.5,4,17,100%,97%,40,4,25.50,21.60,11.21
RB,CLC,Justice Hill,BAL,@DAL,Sun  4:25pm ET,14,48.5,42,32,47%,7%,1,2,4.20,6.35,5.70
RB,CLC,Jordan Mason,SF,@LAR,Sun  4:25pm ET,9,43.5,7,31,97%,92%,1,2,21.40,25.80,16.10
DST,CLC,Bears,CHI,@IND,Sun  1:00pm ET,7,43,9,21,51%,26%,1,1,6.00,14.50,8.10
QB,CLC,Jordan Love,GB,@TEN,Sun  1:00pm ET,10,36.5,---,6,97%,3%,100,4,0.00,16.40,0.00
WR,CLC,Ja'Lynn Polk,NE,@NYJ,Thu  8:15pm ET,14,38.5,---,25,24%,1%,3,3,8.20,4.40,3.21
RB,CLC,Javonte Williams,DEN,@TB,Sun  1:00pm ET,14,39.5,30,27,95%,28%,23,3,9.50,6.40,8.50
WR,CLC,Darnell Mooney,ATL,KC,Sun  8:20pm ET,12,46.5,39,10,28%,3%,1,2,17.80,10.15,6.91
WR,CLC,Rome Odunze,CHI,@IND,Sun  1:00pm ET,7,43,---,28,72%,3%,25,3,4.30,3.20,4.71
TE,CLC,Chigoziem Okonkwo,TEN,GB,Sun  1:00pm ET,5,36.5,22,16,9%,2%,1,1,1.60,5.05,3.81
WR,CLC,Curtis Samuel,BUF,JAC,Mon  7:30pm ET,12,45.5,---,23,42%,3%,1,1,0.30,0.90,6.01
WR,CLC,Ricky Pearsall,SF,@LAR,Sun  4:25pm ET,9,43.5,---,26,10%,1%,5,3,0.00,0.00,0.00
QB,CPC,Derek Carr,NO,PHI,Sun  1:00pm ET,12,49.5,11,20,47%,16%,3,2,22.82,22.56,17.26
RB,CPC,James Cook,BUF,JAC,Mon  7:30pm ET,12,45.5,6,17,100%,93%,70,2,33.50,23.90,13.31
RB,CPC,Derrick Henry,BAL,@DAL,Sun  4:25pm ET,14,48.5,17,32,100%,99%,85,2,19.60,17.60,13.50
WR,CPC,Ja'Marr Chase,CIN,WAS,Mon  8:15pm ET,12,48.5,3,32,100%,98%,84,4,5.50,7.35,12.62
WR,CPC,Tyreek Hill,MIA,@SEA,Sun  4:05pm ET,6,41.5,5,2,100%,100%,105,2,6.60,14.80,11.01
TE,CPC,George Kittle,SF,@LAR,Sun  4:25pm ET,9,43.5,1,30,99%,89%,25,2,17.60,11.30,9.92
RB,CPC,JK Dobbins,LAC,@PIT,Sun  1:00pm ET,5,35.5,16,10,100%,87%,16,2,26.10,25.00,12.50
RB,CPC,Tony Pollard,TEN,GB,Sun  1:00pm ET,5,36.5,19,28,100%,60%,48,2,15.20,17.80,12.90
QB,CPC,Sam Darnold,MIN,HOU,Sun  1:00pm ET,6,45.5,16,26,25%,6%,2,2,21.92,18.77,15.60
DST,CPC,Jets,NYJ,NE,Thu  8:15pm ET,12,38.5,3,3,100%,97%,2,2,10.00,6.00,13.40
QB,CPC,Drake Maye,NE,@NYJ,Thu  8:15pm ET,14,38.5,---,10,13%,1%,10,3,0.00,0.00,0.16
WR,CPC,Ladd McConkey,LAC,@PIT,Sun  1:00pm ET,5,35.5,42,8,88%,29%,5,3,4.60,8.25,5.91
