Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 5,Avg,Proj
QB,AFL,Kyler Murray,ARI,@GB,Sun  1:00pm ET,11,49.5,9,11,98%,57%,92,2,27.10,20.32,17.48
RB,AFL,Jahmyr Gibbs,DET,@DAL,Sun  4:25pm ET,5,52.5,4,28,100%,21%,45,2,0.00,20.02,14.71
RB,AFL,D'Andre Swift,CHI,JAC,Sun  9:30am ET,7,44.5,15,23,100%,85%,60,1,24.00,13.38,8.10
WR,AFL,Tee Higgins,CIN,@NYG,Sun  8:20pm ET,12,49,20,13,98%,68%,40,1,26.30,14.40,8.31
WR,AFL,Chris Olave,NO,TB,Sun  1:00pm ET,12,45.5,28,25,100%,85%,45,1,2.00,10.24,8.51
TE,AFL,Brock Bowers,LV,PIT,Sun  4:05pm ET,10,36.5,1,15,94%,77%,10,3,19.70,10.90,7.71
WR,AFL,AJ Brown,PHI,CLE,Sun  1:00pm ET,5,43.5,3,21,100%,17%,74,1,0.00,22.90,12.02
WR,AFL,Zay Flowers,BAL,WAS,Sun  1:00pm ET,14,52.5,19,27,98%,68%,15,2,18.00,9.70,8.11
QB,AFL,Jayden Daniels,WAS,@BAL,Sun  1:00pm ET,14,52.5,2,28,98%,86%,45,3,23.72,27.08,20.54
DST,AFL,Cowboys,DAL,DET,Sun  4:25pm ET,7,52.5,20,5,64%,40%,1,1,6.00,6.40,6.50
QB,AFL,Spencer Rattler,NO,TB,Sun  1:00pm ET,12,45.5,---,31,2%,1%,3,3,0.00,0.00,0.00
QB,AFL,Russell Wilson,PIT,@LV,Sun  4:05pm ET,9,36.5,---,17,9%,1%,3,1,0.00,0.00,0.86
WR,AFL,Tutu Atwell,LAR,BYE,,6,,---,,44%,20%,2,2,8.50,8.16,0.00
TE,AFL,Travis Kelce,KC,BYE,,6,,---,,100%,90%,48,1,11.00,6.58,0.00
WR,AFL,Adonai Mitchell,IND,@TEN,Sun  1:00pm ET,14,42.5,---,1,14%,1%,5,3,7.16,2.67,3.56
