Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 2,Avg,Proj
QB,AFL,Kyler Murray,ARI,DET,Sun  4:25pm ET,11,51.5,5,23,99%,89%,92,2,30.54,23.86,20.82
RB,AFL,Jahmyr Gibbs,DET,@ARI,Sun  4:25pm ET,5,51.5,9,10,100%,99%,45,2,15.6,17.0,14.1
RB,AFL,D'Andre Swift,CHI,@IND,Sun  1:00pm ET,7,43.5,27,26,99%,57%,60,1,4.2,5.1,10.6
WR,AFL,Tee Higgins,CIN,WAS,Mon  8:15pm ET,12,47.0,21,32,98%,17%,40,1,0.0,0.0,10.52
WR,AFL,Chris Olave,NO,PHI,Sun  1:00pm ET,12,49.5,15,31,100%,81%,45,1,13.8,7.95,8.11
TE,AFL,Travis Kelce,KC,@ATL,Sun  8:20pm ET,6,46.5,4,22,100%,94%,48,1,0.6,3.0,7.71
TE,AFL,Brock Bowers,LV,CAR,Sun  4:05pm ET,10,40.0,2,31,95%,76%,10,3,14.8,11.8,6.61
WR,AFL,Zay Flowers,BAL,@DAL,Sun  4:25pm ET,14,47.5,22,19,99%,83%,15,2,19.1,12.6,9.72
QB,AFL,Jayden Daniels,WAS,@CIN,Mon  8:15pm ET,14,47.0,9,10,97%,58%,45,3,15.44,25.8,21.1
DST,AFL,Cowboys,DAL,BAL,Sun  4:25pm ET,7,47.5,12,11,94%,67%,1,1,0.0,10.5,9.4
QB,AFL,Spencer Rattler,NO,PHI,Sun  1:00pm ET,12,49.5,---,19,2%,1%,3,3,0.0,0.0,0.0
QB,AFL,Russell Wilson,PIT,LAC,Sun  1:00pm ET,9,36.0,---,1,12%,1%,3,1,0.0,0.0,0.0
RB,AFL,Dameon Pierce,HOU,@MIN,Sun  1:00pm ET,14,46.0,---,6,10%,1%,5,1,0.0,2.6,2.2
WR,AFL,Tutu Atwell,LAR,SF,Sun  4:25pm ET,6,43.5,---,29,21%,7%,2,2,7.8,3.9,7.41
WR,AFL,AJ Brown,PHI,@NO,Sun  1:00pm ET,5,49.5,---,21,100%,5%,74,1,0.0,22.9,0.0
WR,AFL,Jahan Dotson,PHI,@NO,Sun  1:00pm ET,5,49.5,---,21,12%,1%,5,1,1.6,0.8,2.91
TE,AFL,Greg Dulcich,DEN,@TB,Sun  1:00pm ET,14,40.5,23,7,8%,2%,1,1,1.6,1.4,4.51
WR,AFL,Adonai Mitchell,IND,CHI,Sun  1:00pm ET,14,43.5,---,12,33%,2%,5,3,4.0,2.1,5.31
WR,AFL,Curtis Samuel,BUF,JAC,Mon  7:30pm ET,12,45.5,---,23,30%,2%,1,1,0.3,0.9,6.01
QB,CC,Brock Purdy,SF,@LAR,Sun  4:25pm ET,9,43.5,16,27,96%,48%,96,3,14.96,13.15,16.71
RB,CC,James Cook,BUF,JAC,Mon  7:30pm ET,12,45.5,7,18,100%,98%,10,1,33.5,23.9,13.31
RB,CC,David Montgomery,DET,@ARI,Sun  4:25pm ET,5,51.5,19,10,100%,81%,71,2,16.0,18.65,11.2
WR,CC,DK Metcalf,SEA,MIA,Sun  4:05pm ET,10,41.5,10,9,100%,90%,53,3,21.9,13.4,10.72
WR,CC,Amon-Ra St Brown,DET,@ARI,Sun  4:25pm ET,5,51.5,6,22,100%,99%,40,2,18.9,10.1,12.22
TE,CC,Trey McBride,ARI,DET,Sun  4:25pm ET,11,51.5,1,10,98%,91%,2,1,14.7,9.85,9.41
WR,CC,George Pickens,PIT,LAC,Sun  1:00pm ET,9,36.0,20,1,99%,67%,5,1,4.9,8.7,8.71
WR,CC,Brian Thomas,JAC,@BUF,Mon  7:30pm ET,12,45.5,31,6,94%,55%,10,3,11.4,12.55,10.32
QB,CC,Daniel Jones,NYG,@CLE,Sun  1:00pm ET,11,38.5,---,11,15%,3%,65,2,19.32,13.13,11.61
DST,CC,Browns,CLE,NYG,Sun  1:00pm ET,10,38.5,1,30,99%,96%,5,1,10.0,6.0,15.3
QB,CC,Drake Maye,NE,@NYJ,Thu  8:15pm ET,14,39.0,---,5,12%,1%,30,3,0.0,3.08,0.16
RB,CC,Jonathon Brooks,CAR,@LV,Sun  4:05pm ET,11,40.0,---,21,83%,1%,10,3,0.0,0.0,0.0
WR,CC,Javon Baker,NE,@NYJ,Thu  8:15pm ET,14,39.0,---,18,2%,1%,3,3,0.0,0.0,0.5
WR,CC,Malachi Corley,NYJ,NE,Thu  8:15pm ET,12,39.0,---,24,4%,1%,3,3,0.4,0.13,0.5
WR,CC,Quentin Johnston,LAC,@PIT,Sun  1:00pm ET,5,36.0,---,8,81%,34%,20,2,20.1,12.45,9.12
WR,CC,Ricky Pearsall,SF,@LAR,Sun  4:25pm ET,9,43.5,---,26,10%,1%,5,3,0.0,0.0,0.0
WR,CC,Ja'Lynn Polk,NE,@NYJ,Thu  8:15pm ET,14,39.0,---,18,21%,1%,3,3,8.2,3.37,3.21
WR,CC,Deebo Samuel,SF,@LAR,Sun  4:25pm ET,9,43.5,---,26,100%,8%,54,2,17.0,17.35,0.0
DC,CC,Antonio Gibson Dead Cap,NE,@NYJ,Thu  8:15pm ET,14,39.0,---,14,0%,0%,5,1,0.0,0.0,0.0
QB,CRB,Jalen Hurts,PHI,@NO,Sun  1:00pm ET,5,49.5,3,9,100%,95%,101,1,30.82,24.62,19.47
RB,CRB,Josh Jacobs,GB,@TEN,Sun  1:00pm ET,10,38.0,12,22,100%,93%,107,1,21.1,18.25,12.8
RB,CRB,Jonathan Taylor,IND,CHI,Sun  1:00pm ET,14,43.5,8,12,100%,100%,70,1,21.5,18.15,15.1
