Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 1,Avg,Proj
WR,DDD,Ronnie Bell,SF,NYJ,Mon  8:15pm ET,9,43.5,---,1,1%,1%,1,2,0.00,0.00,0.00
RB,DDD,Tank Bigsby,JAC,@MIA,Sun  1:00pm ET,12,49.5,---,13,23%,1%,1,2,9.30,9.30,2.80
TE,DDD,Mike Gesicki,CIN,NE,Sun  1:00pm ET,12,41,16,1,14%,2%,1,2,1.80,1.80,3.51
WR,DDD,Quentin Johnston,LAC,LV,Sun  4:05pm ET,5,40.5,---,11,14%,1%,1,2,4.80,4.80,4.81
RB,DDD,Jaleel McLaughlin,DEN,@SEA,Sun  4:05pm ET,14,42.5,41,31,70%,2%,1,2,2.80,2.80,6.00
RB,DDD,Kendre Miller,NO,CAR,Sun  1:00pm ET,12,41.5,---,28,14%,1%,1,2,0.00,0.00,0.00
WR,DDD,Tim Patrick,DET,LAR,Sun  8:20pm ET,5,53.5,---,26,3%,1%,1,2,0.00,0.00,0.00
QB,LBC,Anthony Richardson,IND,HOU,Sun  1:00pm ET,14,47.5,8,25,99%,84%,161,2,31.08,31.08,19.16
RB,LBC,Travis Etienne,JAC,@MIA,Sun  1:00pm ET,12,49.5,8,13,100%,98%,66,2,13.90,13.90,9.70
RB,LBC,Isiah Pacheco,KC,BAL,Thu  8:20pm ET,6,46,13,9,100%,97%,68,3,17.80,17.80,10.80
WR,LBC,Brandon Aiyuk,SF,NYJ,Mon  8:15pm ET,9,43.5,28,1,100%,66%,34,4,0.00,0.00,8.01
WR,LBC,Drake London,ATL,PIT,Sun  1:00pm ET,12,42.5,18,16,100%,91%,36,4,2.50,2.50,9.51
TE,LBC,Trey McBride,ARI,@BUF,Sun  1:00pm ET,11,46,4,8,98%,83%,21,4,5.00,5.00,5.21
WR,LBC,Michael Pittman,IND,HOU,Sun  1:00pm ET,14,47.5,32,10,99%,74%,16,4,4.10,4.10,7.81
RB,LBC,Rhamondre Stevenson,NE,@CIN,Sun  1:00pm ET,14,41,28,20,99%,66%,27,3,26.60,26.60,10.90
QB,LBC,Aaron Rodgers,NYJ,@SF,Mon  8:15pm ET,12,43.5,24,11,78%,8%,8,2,0.00,0.00,11.23
DST,LBC,Steelers,PIT,@ATL,Sun  1:00pm ET,9,42.5,11,22,81%,58%,1,1,12.00,12.00,6.70
WR,LBC,Demario Douglas,NE,@CIN,Sun  1:00pm ET,14,41,---,25,29%,3%,1,2,2.20,2.20,6.30
WR,LBC,Devontez Walker,BAL,@KC,Thu  8:20pm ET,14,46,---,5,2%,1%,3,3,0.00,0.00,0.00
TE,LBC,Brock Bowers,LV,@LAC,Sun  4:05pm ET,10,40.5,13,14,92%,41%,15,3,8.80,8.80,6.21
RB,LBC,Raheem Mostert,MIA,JAC,Sun  1:00pm ET,6,49.5,16,16,100%,69%,15,2,2.90,2.90,10.00
TE,LBC,Evan Engram,JAC,@MIA,Sun  1:00pm ET,12,49.5,7,24,95%,81%,6,3,0.50,0.50,6.11
WR,LBC,Jerry Jeudy,CLE,DAL,Sun  4:25pm ET,10,42,---,8,65%,7%,1,4,10.50,10.50,7.31
QB,LBC,Bo Nix,DEN,@SEA,Sun  4:05pm ET,14,42.5,---,20,41%,3%,5,3,14.02,14.02,14.30
WR,LBC,Jaxon Smith-Njigba,SEA,DEN,Sun  4:05pm ET,10,42.5,42,15,87%,22%,5,4,3.90,3.90,7.11
WR,LBC,Michael Wilson,ARI,@BUF,Sun  1:00pm ET,11,46,---,6,20%,1%,1,4,7.50,7.50,5.61
QB,LC,Jalen Hurts,PHI,GB,Fri  8:15pm ET,5,49.5,2,16,100%,99%,180,2,18.42,18.42,22.47
RB,LC,Tyler Allgeier,ATL,PIT,Sun  1:00pm ET,12,42.5,---,19,73%,2%,11,2,3.10,3.10,6.50
RB,LC,James Conner,ARI,@BUF,Sun  1:00pm ET,11,46,22,14,100%,85%,19,2,20.30,20.30,10.50
WR,LC,Xavier Legette,CAR,@NO,Sun  1:00pm ET,11,41.5,---,9,31%,1%,5,3,5.50,5.50,3.10
