Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 3,Avg,Proj
QB,ABT,Caleb Williams,CHI,LAR,Sun  1:00pm ET,7,41,21,29,74%,16%,50,3,18.32,11.63,16.83
RB,ABT,Saquon Barkley,PHI,@TB,Sun  1:00pm ET,5,45,1,25,100%,100%,131,2,36.60,31.47,15.91
RB,ABT,Alvin Kamara,NO,@ATL,Sun  1:00pm ET,12,42.5,2,6,100%,99%,40,1,18.70,30.57,14.61
WR,ABT,DJ Moore,CHI,LAR,Sun  1:00pm ET,7,41,17,31,100%,87%,44,3,10.80,9.03,11.22
WR,ABT,Chris Olave,NO,@ATL,Sun  1:00pm ET,12,42.5,16,14,100%,83%,42,4,19.60,11.83,9.71
TE,ABT,Jake Ferguson,DAL,@NYG,Thu  8:15pm ET,7,44,2,14,86%,45%,2,2,13.50,7.50,5.41
RB,ABT,Alexander Mattison,LV,CLE,Sun  4:25pm ET,10,37.5,34,13,69%,22%,1,2,13.40,11.57,8.41
RB,ABT,Carson Steele,KC,@LAC,Sun  4:25pm ET,6,39,26,5,82%,32%,1,2,13.40,6.03,10.80
QB,ABT,Dak Prescott,DAL,@NYG,Thu  8:15pm ET,7,44,9,15,99%,68%,77,3,30.86,19.08,17.41
DST,ABT,Seahawks,SEA,@DET,Mon  8:15pm ET,10,46.5,18,14,42%,30%,1,2,16.00,9.67,6.00
WR,ABT,Jermaine Burton,CIN,@CAR,Sun  1:00pm ET,12,47.5,---,19,11%,1%,5,3,0.00,1.90,5.21
WR,ABT,Josh Downs,IND,PIT,Sun  1:00pm ET,14,40,---,7,21%,1%,1,4,2.20,2.20,5.11
WR,ABT,Demarcus Robinson,LAR,@CHI,Sun  1:00pm ET,6,41,46,4,77%,36%,1,2,4.20,5.80,6.01
WR,ABT,Roman Wilson,PIT,@IND,Sun  1:00pm ET,9,40,---,28,7%,1%,3,3,0.00,0.00,0.30
WR,ABT,Keenan Allen,CHI,LAR,Sun  1:00pm ET,7,41,---,31,82%,3%,7,2,0.00,4.90,7.91
RB,ABT,Chase Brown,CIN,@CAR,Sun  1:00pm ET,12,47.5,42,29,75%,6%,7,3,10.90,5.77,6.40
RB,ABT,Kenneth Gainwell,PHI,@TB,Sun  1:00pm ET,5,45,---,25,19%,1%,1,2,1.20,1.33,2.80
WR,ABT,Puka Nacua,LAR,@CHI,Sun  1:00pm ET,6,41,---,4,97%,2%,85,4,0.00,5.20,0.00
RB,ABT,Keaton Mitchell,BAL,BUF,Sun  8:20pm ET,14,46,---,21,11%,1%,1,4,0.00,0.00,0.00
QB,CLC,Justin Fields,PIT,@IND,Sun  1:00pm ET,9,40,16,16,46%,14%,5,4,19.40,16.24,19.12
