Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 4,Avg,Proj
QB,AFL,Kyler Murray,ARI,@SF,Sun  4:05pm ET,11,50.5,2,9,99%,90%,92,2,9.98,18.62,15.30
RB,AFL,Jahmyr Gibbs,DET,BYE,,5,,7,,100%,89%,45,2,24.80,20.02,0.00
RB,AFL,D'Andre Swift,CHI,CAR,Sun  1:00pm ET,7,42.5,36,30,94%,34%,60,1,27.50,10.72,9.40
WR,AFL,Tee Higgins,CIN,BAL,Sun  1:00pm ET,12,51,27,23,98%,60%,40,1,11.00,8.45,7.21
WR,AFL,Chris Olave,NO,@KC,Mon  8:15pm ET,12,42.5,18,10,100%,68%,45,1,13.70,12.30,8.41
TE,AFL,Travis Kelce,KC,NO,Mon  8:15pm ET,6,42.5,6,20,100%,92%,48,1,10.90,5.47,10.01
TE,AFL,Brock Bowers,LV,@DEN,Sun  4:05pm ET,10,36.5,3,15,96%,83%,10,3,5.10,8.70,7.21
WR,AFL,Zay Flowers,BAL,@CIN,Sun  1:00pm ET,14,51,21,15,99%,75%,15,2,2.00,7.62,8.01
QB,AFL,Jayden Daniels,WAS,CLE,Sun  1:00pm ET,14,44.5,5,8,98%,80%,45,3,27.02,27.92,20.49
DST,AFL,Cowboys,DAL,@PIT,Sun  8:20pm ET,7,43,6,9,95%,85%,1,1,6.00,6.50,7.30
QB,AFL,Spencer Rattler,NO,@KC,Mon  8:15pm ET,12,42.5,---,23,2%,1%,3,3,0.00,0.00,0.00
QB,AFL,Russell Wilson,PIT,DAL,Sun  8:20pm ET,9,43,---,24,10%,1%,3,1,0.00,0.00,0.90
RB,AFL,Dameon Pierce,HOU,BUF,Sun  1:00pm ET,14,47,---,32,8%,1%,5,1,0.00,2.60,2.10
WR,AFL,Tutu Atwell,LAR,GB,Sun  4:25pm ET,6,48,43,27,41%,23%,2,2,12.20,8.07,8.21
WR,AFL,AJ Brown,PHI,BYE,,5,,---,,100%,3%,74,1,0.00,22.90,0.00
WR,AFL,Allen Lazard,NYJ,@MIN,Sun  9:30am ET,12,40.5,35,30,62%,27%,6,2,8.80,12.90,6.31
WR,AFL,Adonai Mitchell,IND,@JAC,Sun  1:00pm ET,14,46,---,28,20%,1%,5,3,2.00,1.55,3.60
WR,AFL,Curtis Samuel,BUF,@HOU,Sun  1:00pm ET,12,47,---,25,22%,2%,1,1,1.50,1.62,5.61
QB,CC,Brock Purdy,SF,ARI,Sun  4:05pm ET,9,50.5,11,28,97%,55%,96,3,16.62,18.18,21.07
RB,CC,James Cook,BUF,@HOU,Sun  1:00pm ET,12,47,9,7,100%,97%,10,1,5.80,18.32,12.91
RB,CC,David Montgomery,DET,BYE,,5,,13,,100%,78%,71,2,18.00,20.12,0.00
WR,CC,DK Metcalf,SEA,NYG,Sun  4:25pm ET,10,42,9,14,100%,97%,53,3,12.40,14.40,10.42
WR,CC,Amon-Ra St Brown,DET,BYE,,5,,8,,100%,89%,40,2,16.78,13.87,0.00
TE,CC,Trey McBride,ARI,@SF,Sun  4:05pm ET,11,50.5,---,6,95%,11%,2,1,0.00,7.40,4.21
