Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 5,Avg,Proj
QB,ABT,Caleb Williams,CHI,JAC,Sun  9:30am ET,7,44.5,17,32,77%,35%,50,3,26.56,14.79,15.75
RB,ABT,Chase Brown,CIN,@NYG,Sun  8:20pm ET,12,49,13,14,92%,49%,7,3,17.40,12.18,9.91
RB,ABT,Alvin Kamara,NO,TB,Sun  1:00pm ET,12,45.5,8,13,100%,99%,40,1,10.60,25.84,13.40
WR,ABT,DJ Moore,CHI,JAC,Sun  9:30am ET,7,44.5,13,32,100%,93%,44,3,26.50,12.56,11.42
WR,ABT,Chris Olave,NO,TB,Sun  1:00pm ET,12,45.5,28,25,100%,85%,42,4,2.00,10.24,8.51
TE,ABT,Jake Ferguson,DAL,DET,Sun  4:25pm ET,7,52.5,4,14,91%,75%,2,2,10.00,7.97,7.31
WR,ABT,Josh Downs,IND,@TEN,Sun  1:00pm ET,14,42.5,26,1,59%,38%,1,4,11.90,11.43,5.81
RB,ABT,Alexander Mattison,LV,PIT,Sun  4:05pm ET,10,36.5,28,7,87%,54%,1,2,11.10,10.96,6.71
QB,ABT,Dak Prescott,DAL,DET,Sun  4:25pm ET,7,52.5,6,23,99%,65%,77,3,16.38,18.09,19.40
DST,ABT,Seahawks,SEA,SF,Thu  8:15pm ET,10,47.5,19,17,85%,78%,1,2,11.00,8.20,6.50
WR,ABT,Jermaine Burton,CIN,@NYG,Sun  8:20pm ET,12,49,---,12,7%,1%,5,3,0.00,1.14,1.70
WR,ABT,Roman Wilson,PIT,@LV,Sun  4:05pm ET,9,36.5,---,16,5%,1%,3,3,0.00,0.00,0.70
WR,ABT,Keenan Allen,CHI,JAC,Sun  9:30am ET,7,44.5,---,32,74%,23%,7,2,4.30,4.03,5.41
RB,ABT,Saquon Barkley,PHI,CLE,Sun  1:00pm ET,5,43.5,2,16,100%,20%,131,2,0.00,27.25,19.01
RB,ABT,Kenneth Gainwell,PHI,CLE,Sun  1:00pm ET,5,43.5,---,16,13%,1%,1,2,0.00,1.48,2.90
RB,ABT,Jeremy McNichols,WAS,@BAL,Sun  1:00pm ET,14,52.5,---,3,45%,17%,1,2,12.40,7.18,3.60
RB,ABT,Carson Steele,KC,BYE,,6,,---,,35%,3%,1,2,3.20,3.98,0.00
WR,ABT,Puka Nacua,LAR,BYE,,6,,---,,97%,2%,85,4,0.00,5.20,0.00
RB,ABT,Keaton Mitchell,BAL,WAS,Sun  1:00pm ET,14,52.5,---,19,10%,1%,1,4,0.00,0.00,0.00
QB,CLC,Jordan Love,GB,ARI,Sun  1:00pm ET,10,49.5,4,27,99%,80%,100,4,16.96,20.84,20.01
RB,CLC,Breece Hall,NYJ,BUF,Mon  8:15pm ET,12,41,14,31,100%,98%,145,2,5.70,13.10,11.61
RB,CLC,Zack Moss,CIN,@NYG,Sun  8:20pm ET,12,49,---,14,99%,64%,17,3,6.20,14.30,8.00
WR,CLC,Nico Collins,HOU,@NE,Sun  1:00pm ET,14,37.5,---,15,100%,90%,40,4,15.80,20.34,6.01
WR,CLC,Jaylen Waddle,MIA,BYE,,6,,---,,93%,22%,34,4,6.60,7.50,0.00
TE,CLC,Dalton Kincaid,BUF,@NYJ,Mon  8:15pm ET,12,41,9,3,95%,80%,50,2,4.40,5.92,4.41
RB,CLC,Justice Hill,BAL,WAS,Sun  1:00pm ET,14,52.5,32,19,77%,40%,1,2,5.50,9.64,7.10
RB,CLC,Jordan Mason,SF,@SEA,Thu  8:15pm ET,9,47.5,5,17,98%,97%,1,2,12.80,21.24,13.00
QB,CLC,Justin Fields,PIT,@LV,Sun  4:05pm ET,9,36.5,15,17,91%,64%,5,4,17.94,20.53,18.08
DST,CLC,Bears,CHI,JAC,Sun  9:30am ET,7,44.5,6,21,86%,79%,1,1,16.00,11.80,9.60
QB,CLC,Tyler Huntley,MIA,BYE,,6,,---,,9%,3%,3,2,7.46,11.15,0.00
WR,CLC,Ja'Lynn Polk,NE,HOU,Sun  1:00pm ET,14,37.5,---,20,14%,2%,3,3,2.30,3.28,3.51
WR,CLC,DeVonta Smith,PHI,CLE,Sun  1:00pm ET,5,43.5,18,21,100%,12%,45,4,0.00,14.30,10.22
WR,CLC,Rome Odunze,CHI,JAC,Sun  9:30am ET,7,44.5,---,32,72%,21%,25,3,7.00,7.36,5.91
WR,CLC,Darnell Mooney,ATL,@CAR,Sun  4:25pm ET,12,47.5,21,23,72%,39%,1,2,28.50,13.20,9.42
RB,CLC,Javonte Williams,DEN,LAC,Sun  4:05pm ET,14,35.5,21,5,94%,60%,23,3,15.10,9.00,8.20
QB,CLC,Malik Willis,GB,ARI,Sun  1:00pm ET,10,49.5,---,27,5%,1%,1,2,0.00,14.45,0.86
WR,CLC,Ricky Pearsall,SF,@SEA,Thu  8:15pm ET,9,47.5,---,10,10%,1%,5,3,0.00,0.00,0.00
QB,CPC,Derek Carr,NO,TB,Sun  1:00pm ET,12,45.5,---,31,62%,14%,3,2,12.60,14.75,14.71
RB,CPC,JK Dobbins,LAC,@DEN,Sun  4:05pm ET,5,35.5,18,10,99%,15%,16,2,0.00,16.65,11.90
RB,CPC,Derrick Henry,BAL,WAS,Sun  1:00pm ET,14,52.5,1,19,100%,100%,85,2,21.60,27.22,17.10
WR,CPC,Ja'Marr Chase,CIN,@NYG,Sun  8:20pm ET,12,49,1,12,100%,100%,84,4,39.30,19.86,13.12
WR,CPC,Tee Higgins,CIN,@NYG,Sun  8:20pm ET,12,49,20,12,98%,68%,17,4,26.30,14.40,8.31
TE,CPC,George Kittle,SF,@SEA,Thu  8:15pm ET,9,47.5,2,21,100%,90%,25,2,17.40,13.38,9.72
RB,CPC,Tony Pollard,TEN,IND,Sun  1:00pm ET,5,42.5,11,26,99%,14%,48,2,0.00,15.07,10.90
RB,CPC,Brian Robinson,WAS,@BAL,Sun  1:00pm ET,14,52.5,17,3,100%,83%,18,3,15.80,17.86,8.80
QB,CPC,Sam Darnold,MIN,BYE,,6,,---,,82%,30%,2,2,6.26,17.91,0.00
DST,CPC,Jets,NYJ,BUF,Mon  8:15pm ET,12,41,10,3,100%,87%,2,2,10.00,8.80,7.30
QB,CPC,Drake Maye,NE,HOU,Sun  1:00pm ET,14,37.5,---,21,13%,1%,10,3,0.00,3.08,3.13
RB,CPC,James Cook,BUF,@NYJ,Mon  8:15pm ET,12,41,7,8,100%,96%,70,2,21.90,19.04,8.90
TE,CPC,Ja'Tavion Sanders,CAR,ATL,Sun  4:25pm ET,11,47.5,---,25,3%,1%,3,3,2.30,1.22,2.30
WR,CPC,Tyreek Hill,MIA,BYE,,6,,---,,100%,69%,105,2,9.90,10.34,0.00
WR,CPC,Ladd McConkey,LAC,@DEN,Sun  4:05pm ET,5,35.5,40,2,66%,3%,5,3,0.00,9.90,6.11
WR,CPC,Jakobi Meyers,LV,PIT,Sun  4:05pm ET,10,36.5,29,14,78%,43%,1,3,11.20,10.12,8.21
WR,CPC,Tyler Lockett,SEA,SF,Thu  8:15pm ET,10,47.5,42,11,57%,19%,1,2,10.50,8.88,6.01
WR,CPC,Dontayvion Wicks,GB,ARI,Sun  1:00pm ET,10,49.5,39,17,89%,67%,3,4,3.00,7.68,6.32
DST,CPC,Vikings,MIN,BYE,,6,,---,,95%,81%,1,2,17.00,15.80,0.00
QB,DDD,Jacoby Brissett,NE,HOU,Sun  1:00pm ET,14,37.5,---,21,6%,2%,2,2,7.40,8.19,7.80
RB,DDD,De'Von Achane,MIA,BYE,,6,,---,,100%,78%,79,2,2.80,13.00,0.00
RB,DDD,Kenneth Walker,SEA,SF,Thu  8:15pm ET,10,47.5,3,15,100%,97%,76,2,12.60,23.70,12.40
WR,DDD,Tank Dell,HOU,@NE,Sun  1:00pm ET,14,37.5,37,15,86%,26%,29,4,4.80,6.38,7.41
WR,DDD,Zay Flowers,BAL,WAS,Sun  1:00pm ET,14,52.5,19,27,98%,68%,21,4,18.00,9.70,8.11
