Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 4,Avg,Proj
QB,ABT,Caleb Williams,CHI,CAR,Sun  1:00pm ET,7,42.5,16,21,79%,31%,50,3,12.48,11.85,16.64
RB,ABT,Saquon Barkley,PHI,BYE,,5,,1,,100%,92%,131,2,14.60,27.25,0.00
RB,ABT,Alvin Kamara,NO,@KC,Mon  8:15pm ET,12,42.5,2,3,100%,97%,40,1,26.90,29.65,12.70
WR,ABT,DJ Moore,CHI,CAR,Sun  1:00pm ET,7,42.5,22,22,100%,92%,44,3,9.20,9.07,10.92
WR,ABT,Chris Olave,NO,@KC,Mon  8:15pm ET,12,42.5,18,10,100%,68%,42,4,13.70,12.30,8.41
TE,ABT,Jake Ferguson,DAL,@PIT,Sun  8:20pm ET,7,43,1,11,90%,68%,2,2,6.90,7.30,6.01
RB,ABT,Alexander Mattison,LV,@DEN,Sun  4:05pm ET,10,36.5,34,8,74%,22%,1,2,9.00,10.93,7.61
RB,ABT,Carson Steele,KC,NO,Mon  8:15pm ET,6,42.5,26,11,89%,47%,1,2,-1.40,4.17,4.10
QB,ABT,Dak Prescott,DAL,@PIT,Sun  8:20pm ET,7,43,7,6,100%,82%,77,3,16.84,18.52,16.17
DST,ABT,Seahawks,SEA,NYG,Sun  4:25pm ET,10,43.5,18,26,29%,12%,1,2,1.00,7.50,10.50
WR,ABT,Jermaine Burton,CIN,BAL,Sun  1:00pm ET,12,51,---,23,9%,1%,5,3,0.00,1.43,5.21
WR,ABT,Josh Downs,IND,@JAC,Sun  1:00pm ET,14,46,---,28,20%,3%,1,4,20.20,11.20,6.81
WR,ABT,Demarcus Robinson,LAR,GB,Sun  4:25pm ET,6,48,45,27,50%,8%,1,2,5.70,5.78,5.71
WR,ABT,Roman Wilson,PIT,DAL,Sun  8:20pm ET,9,43,---,16,6%,1%,3,3,0.00,0.00,2.40
WR,ABT,Keenan Allen,CHI,CAR,Sun  1:00pm ET,7,42.5,36,22,77%,8%,7,2,2.90,3.90,6.71
RB,ABT,Chase Brown,CIN,BAL,Sun  1:00pm ET,12,51,39,2,76%,12%,7,3,26.20,10.88,8.40
RB,ABT,Kenneth Gainwell,PHI,BYE,,5,,---,,17%,1%,1,2,1.90,1.48,0.00
WR,ABT,Puka Nacua,LAR,GB,Sun  4:25pm ET,6,48,---,27,97%,2%,85,4,0.00,5.20,0.00
RB,ABT,Keaton Mitchell,BAL,@CIN,Sun  1:00pm ET,14,51,---,22,11%,1%,1,4,0.00,0.00,0.00
QB,CLC,Jordan Love,GB,@LAR,Sun  4:25pm ET,10,48,14,27,98%,26%,100,4,29.16,22.78,18.30
RB,CLC,Breece Hall,NYJ,@MIN,Sun  9:30am ET,12,40.5,3,1,100%,100%,145,2,1.80,14.95,11.61
RB,CLC,Zack Moss,CIN,BAL,Sun  1:00pm ET,12,51,18,2,99%,73%,17,3,16.80,16.32,9.51
WR,CLC,Nico Collins,HOU,BUF,Sun  1:00pm ET,14,47,4,2,100%,99%,40,4,30.10,21.48,11.51
WR,CLC,Jaylen Waddle,MIA,@NE,Sun  1:00pm ET,6,35.5,38,21,97%,32%,34,4,5.60,7.72,6.00
TE,CLC,Dalton Kincaid,BUF,@HOU,Sun  1:00pm ET,12,47,5,3,96%,78%,50,2,7.70,6.30,6.81
RB,CLC,Jordan Mason,SF,ARI,Sun  4:05pm ET,9,50.5,5,29,98%,95%,1,2,28.00,23.35,16.10
