SznPlPos,PlPos,SznLgTrf,LgTrf,TrfLg,Season,Round,Pick,RoundPick,TrfTm,Player,Pos,Salary,Extension
2020_DevinDuvernay_WR,DevinDuvernay_WR,2020_TRUFFLE_GF,TRUFFLE_GF,TRUFFLE,2020,3,36,12,GF,Devin Duvernay,WR,3,30
2021_TrevorLawrence_QB,TrevorLawrence_QB,2021_TRUFFLE_NN,TRUFFLE_NN,TRUFFLE,2021,1,1,1,NN,Trevor Lawrence,QB,50,70
2021_TreyLance_QB,TreyLance_QB,2021_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2021,1,2,2,AFL,Trey Lance,QB,45,70
2021_Ja'MarrChase_WR,Ja'MarrChase_WR,2021_TRUFFLE_VD,TRUFFLE_VD,TRUFFLE,2021,1,3,3,VD,Ja'Marr Chase,WR,40,60
2021_KylePitts_TE,KylePitts_TE,2021_TRUFFLE_MCM,TRUFFLE_MCM,TRUFFLE,2021,1,4,4,MCM,Kyle Pitts,TE,35,30
2021_JustinFields_QB,JustinFields_QB,2021_TRUFFLE_MAM,TRUFFLE_MAM,TRUFFLE,2021,1,5,5,MAM,Justin Fields,QB,30,70
2021_NajeeHarris_RB,NajeeHarris_RB,2021_TRUFFLE_WLW,TRUFFLE_WLW,TRUFFLE,2021,1,6,6,WLW,Najee Harris,RB,25,70
2021_ZachWilson_QB,ZachWilson_QB,2021_TRUFFLE_VD,TRUFFLE_VD,TRUFFLE,2021,1,7,7,VD,Zach Wilson,QB,20,60
2021_DeVontaSmith_WR,DeVontaSmith_WR,2021_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2021,1,8,8,CRB,DeVonta Smith,WR,15,50
2021_MacJones_QB,MacJones_QB,2021_TRUFFLE_ELP,TRUFFLE_ELP,TRUFFLE,2021,1,9,9,ELP,Mac Jones,QB,15,60
2021_JaylenWaddle_WR,JaylenWaddle_WR,2021_TRUFFLE_MWM,TRUFFLE_MWM,TRUFFLE,2021,1,10,10,MWM,Jaylen Waddle,WR,10,50
2021_TravisEtienne_RB,TravisEtienne_RB,2021_TRUFFLE_MWM,TRUFFLE_MWM,TRUFFLE,2021,1,11,11,MWM,Travis Etienne,RB,10,60
2021_RondaleMoore_WR,RondaleMoore_WR,2021_TRUFFLE_CC,TRUFFLE_CC,TRUFFLE,2021,1,12,12,CC,Rondale Moore,WR,10,50
2021_TreySermon_RB,TreySermon_RB,2021_TRUFFLE_MCM,TRUFFLE_MCM,TRUFFLE,2021,2,13,1,MCM,Trey Sermon,RB,5,50
2021_JavonteWilliams_RB,JavonteWilliams_RB,2021_TRUFFLE_FRR,TRUFFLE_FRR,TRUFFLE,2021,2,14,2,FRR,Javonte Williams,RB,5,50
2021_ElijahMoore_WR,ElijahMoore_WR,2021_TRUFFLE_FRR,TRUFFLE_FRR,TRUFFLE,2021,2,15,3,FRR,Elijah Moore,WR,5,40
2021_MichaelCarter_RB,MichaelCarter_RB,2021_TRUFFLE_GF,TRUFFLE_GF,TRUFFLE,2021,2,16,4,GF,Michael Carter,RB,5,50
2021_Amon-RaStBrown_WR,Amon-RaStBrown_WR,2021_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2021,2,17,5,CRB,Amon-Ra St Brown,WR,5,40
2021_RashodBateman_WR,RashodBateman_WR,2021_TRUFFLE_WLW,TRUFFLE_WLW,TRUFFLE,2021,2,18,6,WLW,Rashod Bateman,WR,5,40
2021_TerraceMarshall_WR,TerraceMarshall_WR,2021_TRUFFLE_WLW,TRUFFLE_WLW,TRUFFLE,2021,2,19,7,WLW,Terrace Marshall,WR,4,40
2021_ChubaHubbard_RB,ChubaHubbard_RB,2021_TRUFFLE_MAM,TRUFFLE_MAM,TRUFFLE,2021,2,20,8,MAM,Chuba Hubbard,RB,4,50
2021_D'WayneEskridge_WR,D'WayneEskridge_WR,2021_TRUFFLE_MCM,TRUFFLE_MCM,TRUFFLE,2021,2,21,9,MCM,D'Wayne Eskridge,WR,4,40
2021_AmariRodgers_WR,AmariRodgers_WR,2021_TRUFFLE_GF,TRUFFLE_GF,TRUFFLE,2021,2,22,10,GF,Amari Rodgers,WR,4,40
2021_KadariusToney_WR,KadariusToney_WR,2021_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2021,2,23,11,AFL,Kadarius Toney,WR,4,40
2021_KyleTrask_QB,KyleTrask_QB,2021_TRUFFLE_NN,TRUFFLE_NN,TRUFFLE,2021,2,24,12,NN,Kyle Trask,QB,4,40
2021_PatFreiermuth_TE,PatFreiermuth_TE,2021_TRUFFLE_NN,TRUFFLE_NN,TRUFFLE,2021,3,25,1,NN,Pat Freiermuth,TE,3,5
