Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Lamar Jackson ,QB,BAL,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,100
Lawrence Cager ,WR,NYJ,12,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,12
Leonard Fournette ,RB,TB,76,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,81
Lil'Jordan Humphrey ,WR,NE,0,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,38
Logan Thomas ,TE,WAS,62,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102,68
Mac Jones ,QB,NE,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125,100
Mack Hollins ,WR,LV,88,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,87
Malik Willis ,QB,TEN,0,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,30
Marcus Mariota ,QB,ATL,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136,100
Mark Andrews ,TE,BAL,84,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,83
Mark Ingram ,RB,NO,33,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,35
Marquez Valdes-Scantling ,WR,KC,73,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,76
Marquise Brown ,WR,ARI,95,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143,94
Marquise Goodwin ,WR,SEA,51,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,52
Marvin Jones ,WR,JAC,81,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,86
Matt Breida ,RB,NYG,22,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,18
Matt Ryan ,QB,IND,100,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,99
Matthew Stafford ,QB,LAR,100,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,102
Mecole Hardman ,WR,KC,56,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,55
Melvin Gordon ,RB,DEN,41,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,36
Michael Burton ,RB,KC,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,13
Michael Carter ,RB,NYJ,60,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,60
Michael Pittman ,WR,IND,98,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,98
Michael Thomas ,WR,NO,61,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,69
Mike Boone ,RB,DEN,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5
Mike Davis ,RB,BAL,13,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,22
Mike Evans ,WR,TB,73,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,67
Mike Gesicki ,TE,MIA,42,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,53
Mike Strachan ,WR,IND,12,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,32
Mike Thomas ,WR,CIN,69,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,69
Mike Williams ,WR,LAC,93,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128,90
Miles Boykin ,WR,PIT,13,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,13
Miles Sanders ,RB,PHI,52,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,53
Mitch Trubisky ,QB,PIT,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,100
Mitchell Wilcox ,TE,CIN,0,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,27
Mo Alie-Cox ,TE,IND,54,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,54
Montrell Washington ,WR,DEN,0,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,17
Najee Harris ,RB,PIT,59,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,65
Nelson Agholor ,WR,NE,58,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,54
Nick Chubb ,RB,CLE,53,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,53
Nick Westbrook-Ikhine ,WR,TEN,68,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,64
Nico Collins ,WR,HOU,67,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,67
Noah Brown ,WR,DAL,88,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,87
Noah Fant ,TE,SEA,56,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,55
Noah Gray ,TE,KC,53,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,51
Noah Togiai ,TE,PHI,14,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,14
Nyheim Hines ,RB,IND,28,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,29
OJ Howard ,TE,HOU,17,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,23
Olamide Zaccheaus ,WR,ATL,60,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,52
Parker Hesse ,TE,ATL,64,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,65
Parris Campbell ,WR,IND,77,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,114,80
Pat Freiermuth ,TE,PIT,89,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104,85
Patrick Mahomes ,QB,KC,93,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,96
Patrick Ricard ,RB,BAL,64,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,63
Pharaoh Brown ,TE,HOU,66,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,68
Phillip Dorsett ,WR,HOU,6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6
Pierre Strong ,RB,NE,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4
Quez Watkins ,WR,PHI,53,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,56
Quintez Cephus ,WR,DET,0,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,10
Quintin Morris ,TE,BUF,0,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,41
Rachaad White ,RB,TB,27,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,20
Raheem Mostert ,RB,MIA,42,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,49
Randall Cobb ,WR,GB,61,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,44
Rashaad Penny ,RB,SEA,69,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,56
Rashod Bateman ,WR,BAL,66,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,63
Ray-Ray McCloud ,WR,SF,26,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,25
Reggie Gilliam ,RB,BUF,0,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,26
Rex Burkhead ,RB,HOU,71,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,55
Rhamondre Stevenson ,RB,NE,25,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,45
Richard Rodgers ,TE,LAC,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3
Richie James ,WR,NYG,70,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,55
Rico Dowdle ,RB,DAL,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
River Cracraft ,WR,MIA,0,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,23
Robbie Anderson ,WR,CAR,100,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,96
Robert Tonyan ,TE,GB,36,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,38
Robert Woods ,WR,TEN,71,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,69
Romeo Doubs ,WR,GB,57,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,47
Ross Dwelley ,TE,SF,28,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,33
Russell Gage ,WR,TB,42,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,54
Russell Wilson ,QB,DEN,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,138,100
Ryan Griffin ,TE,CHI,53,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,42
Ryan Tannehill ,QB,TEN,100,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104,86
Samaje Perine ,RB,CIN,26,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,24
Sammy Watkins ,WR,GB,67,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,66
Saquon Barkley ,RB,NYG,83,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,83
Scotty Miller ,WR,TB,0,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,43
Shi Smith ,WR,CAR,77,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,74
Simi Fehoko ,WR,DAL,23,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,17
Skyy Moore ,WR,KC,19,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,12
Sony Michel ,RB,LAC,24,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,18
Stanley Morgan ,WR,CIN,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5
Stefon Diggs ,WR,BUF,64,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,65
Stephen Anderson ,TE,ARI,14,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,18
Stephen Sullivan ,TE,CAR,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,7
Sterling Shepard ,WR,NYG,72,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,80
TJ Hockenson ,TE,DET,91,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,90
Tanner Hudson ,TE,NYG,0,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,37
Taysom Hill ,TE,NO,26,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,17
Tee Higgins ,WR,CIN,26,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,52
Terry McLaurin ,WR,WAS,90,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,135,89
Tom Brady ,QB,TB,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,100
Tommy Tremble ,TE,CAR,34,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,34
Tony Jones ,RB,NO,0,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,50
Tony Pollard ,RB,DAL,55,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,48
Trace McSorley ,QB,ARI,12,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,12
Travis Etienne ,RB,JAC,51,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,44
Travis Homer ,RB,SEA,35,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,39
Travis Kelce ,TE,KC,64,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,76
Tre' McKitty ,TE,LAC,60,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,60
Trent Sherfield ,WR,MIA,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,35
Trent Taylor ,WR,CIN,14,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14
Trestan Ebner ,RB,CHI,7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,7
Trevor Lawrence ,QB,JAC,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141,100
Trey Lance ,QB,SF,100,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,58
Treylon Burks ,WR,TEN,37,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,40
Tua Tagovailoa ,QB,MIA,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131,100
Tutu Atwell ,WR,LAR,10,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,10
Ty Johnson ,RB,NYJ,0,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,19
Ty Montgomery ,RB,NE,37,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,37
Tylan Wallace ,WR,BAL,11,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,13
Tyler Allgeier ,RB,ATL,0,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,31
Tyler Boyd ,WR,CIN,80,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137,81
Tyler Conklin ,TE,NYJ,92,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,95
Tyler Davis ,TE,GB,25,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,28
Tyler Higbee ,TE,LAR,94,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,98
Tyler Kroft ,TE,SF,54,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,54
Tyler Lockett ,WR,SEA,80,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,86
Tyreek Hill ,WR,MIA,67,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,72
Tyrie Cleveland ,WR,DEN,12,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,28
Tyrion Davis-Price ,RB,SF,0,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,39
Wan'Dale Robinson ,WR,NYG,15,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,15
Will Dissly ,TE,SEA,67,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,58
Zach Ertz ,TE,ARI,60,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112,74
Zach Gentry ,TE,PIT,30,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,30
Zach Pascal ,WR,PHI,22,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,32
Zack Moss ,RB,BUF,37,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,28
Zamir White ,RB,LV,0,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,9
Zander Horvath ,RB,LAC,22,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,16
Zay Jones ,WR,JAC,83,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,75
