Season,Pos,Player,NFL,G,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2021,QB,Ryan Tannehill,TEN,17,357,531,3734,21,14,55,270,7,32,0,0,0,0,0,4,17.67,300.36
2021,RB,Ryquell Armstead,JAC,2,0,0,0,0,0,15,80,0,3,4,3,16,0,1,0,6.8,13.6
2021,RB,Salvon Ahmed,MIA,12,0,0,0,0,0,54,149,0,8,19,12,117,0,4,0,3.22,38.6
2021,QB,Sam Ehlinger,IND,3,0,0,0,0,0,3,9,0,1,0,0,0,0,0,0,0.63,1.9
2021,WR,Sammy Watkins,GB,13,0,0,0,0,0,0,0,0,0,49,27,394,1,17,1,4.65,60.4
2021,RB,Saquon Barkley,NYG,13,0,0,0,0,0,162,593,2,27,57,41,263,2,13,1,11.35,147.6
2021,WR,Scott Miller,TB,9,0,0,0,0,0,2,43,1,2,9,5,38,0,2,0,2.01,18.1
2021,RB,Scottie Phillips,HOU,3,0,0,0,0,0,6,13,0,1,3,2,9,0,0,0,1.07,3.2
2021,QB,Sean Mannion,MIN,1,22,36,189,1,0,2,14,0,2,0,0,0,0,0,0,14.96,14.96
2021,TE,Sean McKeon,DAL,9,0,0,0,0,0,0,0,0,0,6,4,27,1,2,0,1.19,10.7
2021,WR,Seth Williams,DEN,2,0,0,0,0,0,0,0,0,0,1,1,34,0,1,0,2.2,4.4
2021,TE,Shane Zylstra,DET,4,0,0,0,0,0,0,0,0,0,7,3,34,0,2,0,1.35,5.4
2021,WR,Shi Smith,CAR,6,0,0,0,0,0,1,-3,0,0,11,6,104,0,3,0,2.23,13.4
2021,RB,Sony Michel,LAR,17,0,0,0,0,0,208,845,4,49,33,21,128,1,6,1,10.61,180.3
2021,WR,Stanley Morgan,CIN,18,0,0,0,0,0,1,3,0,0,4,2,11,0,0,0,0.08,1.4
2021,WR,Stefon Diggs,BUF,17,0,0,0,0,0,0,0,0,0,164,103,1225,10,66,0,14.62,248.5
2021,TE,Stephen Anderson,ARI,17,0,0,0,0,0,0,0,0,0,19,16,165,1,9,0,1.85,31.5
2021,WR,Sterling Shepard,NYG,7,0,0,0,0,0,1,-9,0,0,53,36,366,1,19,0,8.8,61.6
2021,TE,TJ Hockenson,DET,12,0,0,0,0,0,0,0,0,0,84,61,583,4,32,0,9.69,116.3
2021,WR,TY Hilton,IND,10,0,0,0,0,0,0,0,0,0,37,23,331,3,15,0,6.61,66.1
2021,WR,Tajae Sharpe,ATL,15,0,0,0,0,0,0,0,0,0,37,25,230,0,14,0,2.47,37.0
2021,WR,Tarik Black,NYJ,1,0,0,0,0,0,0,0,0,0,2,1,10,0,1,0,2.0,2.0
2021,WR,Tavon Austin,JAC,13,0,0,0,0,0,3,21,0,1,37,24,213,1,11,1,3.03,39.4
2021,QB,Taylor Heinicke,WAS,16,321,494,3419,20,15,60,313,1,20,1,1,-2,0,0,2,15.13,242.06
2021,QB,Taysom Hill,NO,12,78,134,978,4,5,70,374,5,26,6,4,52,0,4,0,12.31,147.72
2021,QB,Teddy Bridgewater,MIA,14,285,426,3052,18,7,30,106,2,16,0,0,0,0,0,1,15.62,218.68
2021,WR,Tee Higgins,CIN,14,0,0,0,0,0,0,0,0,0,110,74,1091,6,53,1,14.15,198.1
2021,WR,Terrace Marshall,CAR,13,0,0,0,0,0,0,0,0,0,30,17,138,0,7,0,1.75,22.8
2021,WR,Terry McLaurin,WAS,17,0,0,0,0,0,1,12,0,1,130,77,1053,5,47,0,10.85,184.5
2021,RB,Tevin Coleman,NYJ,11,0,0,0,0,0,84,356,0,19,16,11,49,0,2,0,5.59,61.5
2021,QB,Tim Boyle,DET,5,61,94,526,3,6,2,13,0,1,0,0,0,0,0,0,5.07,25.34
2021,WR,Tim Patrick,DEN,16,0,0,0,0,0,0,0,0,0,85,53,734,5,39,0,8.9,142.4
2021,QB,Tom Brady,TB,17,485,719,5316,43,12,28,81,2,14,0,0,0,0,0,3,22.87,388.74
2021,WR,Tom Kennedy,DET,12,1,1,75,1,0,0,0,0,0,10,6,54,0,2,0,1.2,14.4
2021,TE,Tommy Hudson,TEN,5,0,0,0,0,0,0,0,0,0,6,3,31,0,2,0,1.02,5.1
2021,TE,Tommy Sweeney,BUF,13,0,0,0,0,0,0,0,0,0,12,9,44,1,3,0,1.03,13.4
2021,TE,Tommy Tremble,CAR,16,0,0,0,0,0,3,11,1,1,35,20,180,1,10,0,2.76,44.1
2021,WR,Tommylee Lewis,MIA,2,0,0,0,0,0,0,0,0,0,2,1,7,0,1,0,0.85,1.7
2021,RB,Tony Jones,NO,11,0,0,0,0,0,54,142,0,7,8,5,29,0,2,0,2.37,26.1
2021,RB,Tony Pollard,DAL,15,0,0,0,0,0,130,719,2,35,46,39,337,0,15,0,11.17,167.6
2021,WR,Travis Benjamin,SF,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,-0.2,-2.0
2021,RB,Travis Homer,SEA,14,0,0,0,0,0,21,177,1,7,20,16,161,0,8,0,3.91,54.8
2021,TE,Travis Kelce,KC,16,0,0,0,0,0,2,3,1,1,134,92,1125,9,62,1,14.61,233.8
2021,RB,Trayveon Williams,CIN,5,0,0,0,0,0,15,51,0,4,2,1,4,0,0,0,1.9,9.5
2021,TE,Tre' McKitty,LAC,11,0,0,0,0,0,0,0,0,0,8,6,45,0,3,0,0.68,7.5
2021,WR,Tre'Quan Smith,NO,11,0,0,0,0,0,0,0,0,0,50,32,377,3,18,0,6.7,73.7
2021,WR,Trent Sherfield,MIA,17,0,0,0,0,0,0,0,0,0,20,9,87,1,7,0,1.28,21.7
2021,WR,Trent Taylor,CIN,4,0,0,0,0,0,0,0,0,0,3,2,41,0,2,0,1.52,6.1
2021,RB,Trenton Cannon,TEN,12,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,-0.13,-1.6
2021,WR,Trenton Irwin,CIN,7,0,0,0,0,0,0,0,0,0,5,2,34,0,1,0,0.63,4.4
2021,TE,Trevon Wesco,NYJ,12,0,0,0,0,0,0,0,0,0,5,3,35,0,2,0,0.46,5.5
2021,QB,Trevor Lawrence,JAC,17,359,602,3641,12,17,73,334,2,21,0,0,0,0,0,5,12.94,220.04
2021,QB,Trevor Siemian,CHI,6,108,188,1154,11,3,9,20,1,2,0,0,0,0,0,1,15.36,92.16
2021,QB,Trey Lance,SF,6,41,71,603,5,2,38,168,1,8,0,0,0,0,0,0,12.15,72.92
2021,RB,Trey Ragas,LV,1,0,0,0,0,0,1,9,0,1,2,2,6,0,0,0,2.5,2.5
2021,RB,Trey Sermon,SF,9,0,0,0,0,0,41,167,1,9,4,3,26,0,1,0,3.92,35.3
2021,WR,Trinity Benson,DET,8,0,0,0,0,0,0,0,0,0,22,10,103,0,4,0,1.79,14.3
2021,QB,Tua Tagovailoa,MIA,13,263,388,2653,16,10,42,128,3,13,0,0,0,0,0,1,14.92,193.92
2021,RB,Ty Johnson,NYJ,16,0,0,0,0,0,61,238,2,13,55,34,372,2,20,1,7.25,116.0
2021,RB,Ty Montgomery,NE,14,0,0,0,0,0,15,44,0,2,26,16,95,0,5,0,1.49,20.9
2021,RB,Ty'Son Williams,BAL,13,0,0,0,0,0,35,185,1,7,12,9,84,0,4,0,3.38,43.9
2021,WR,Tylan Wallace,BAL,17,0,0,0,0,0,0,0,0,0,6,2,23,0,1,0,0.19,3.3
2021,WR,Tyler Boyd,CIN,16,1,1,46,0,0,2,22,0,1,94,67,828,5,37,0,9.68,154.84
2021,TE,Tyler Conklin,NYJ,17,0,0,0,0,0,0,0,0,0,87,61,593,3,26,0,6.08,103.3
2021,TE,Tyler Davis,GB,14,0,0,0,0,0,0,0,0,0,5,4,35,0,1,0,0.32,4.5
2021,TE,Tyler Higbee,LAR,15,0,0,0,0,0,0,0,0,0,85,61,560,5,33,0,7.93,119.0
2021,QB,Tyler Huntley,BAL,7,122,188,1081,3,4,47,294,2,22,0,0,0,0,0,3,14.95,104.64
2021,WR,Tyler Johnson,TB,17,0,0,0,0,0,0,0,0,0,55,36,360,0,14,0,2.94,50.0
2021,TE,Tyler Kroft,NYJ,9,0,0,0,0,0,0,0,0,0,25,16,173,1,9,0,3.59,32.3
2021,WR,Tyler Lockett,SEA,16,0,0,0,0,0,2,9,0,0,107,73,1175,8,41,0,13.09,209.4
2021,TE,Tyree Jackson,PHI,9,0,0,0,0,0,0,0,0,0,7,3,22,1,2,0,1.13,10.2
2021,WR,Tyrell Williams,DET,1,0,0,0,0,0,0,0,0,0,3,2,14,0,1,0,2.4,2.4
2021,QB,Tyrod Taylor,NYG,6,91,150,966,5,5,19,151,3,7,0,0,0,0,0,0,14.79,88.74
2021,WR,Tyron Johnson,LV,10,0,0,0,0,0,0,0,0,0,5,2,16,0,1,0,0.26,2.6
2021,WR,Van Jefferson,LAR,17,0,0,0,0,0,2,20,0,1,89,50,802,6,32,0,8.89,151.2
2021,RB,Wayne Gallman,MIN,8,0,0,0,0,0,28,104,0,5,3,1,21,0,1,0,2.31,18.5
2021,RB,Wendell Smallwood,WAS,3,0,0,0,0,0,5,25,0,2,5,4,22,0,0,0,2.23,6.7
2021,TE,Will Dissly,SEA,15,0,0,0,0,0,0,0,0,0,26,21,231,1,11,0,2.67,40.1
2021,WR,Will Fuller,MIA,2,0,0,0,0,0,0,0,0,0,8,4,26,0,3,0,3.8,7.6
2021,WR,Willie Snead,CAR,9,0,0,0,0,0,0,0,0,0,8,4,38,0,3,0,0.76,6.8
2021,TE,Zach Ertz,ARI,17,0,0,0,0,0,1,4,0,0,112,74,763,5,40,0,8.63,146.7
2021,TE,Zach Gentry,PIT,17,0,0,0,0,0,0,0,0,0,25,19,167,0,11,0,1.63,27.7
2021,WR,Zach Pascal,PHI,16,0,0,0,0,0,2,21,0,0,69,38,384,3,15,1,4.47,71.5
2021,QB,Zach Wilson,NYJ,13,213,383,2334,9,11,29,185,4,10,1,0,0,0,0,1,12.45,161.86
2021,RB,Zack Moss,BUF,13,0,0,0,0,0,96,345,4,22,32,23,197,1,12,1,8.94,116.2
2021,WR,Zay Jones,JAC,17,0,0,0,0,0,2,3,0,0,70,47,546,1,29,1,5.17,87.9
