playerID,Avail,Player,Pos,Opp,NFL,OVP,Pct,20+,40+,Avg,20+,Tar,TarPct,Avg,20+,40+,1Std Pct,Total,Avg,Total
,MWM,Jacoby Brissett,QB,PIT,CLE,18,65.6,3,0,5.3,1.0,0,0.0,0.0,0,0,0.0,429,15.17,30.34
,GF,Jameis Winston,QB,@CAR,NO,10,64.9,8,2,3.7,0.0,0,0.0,0.0,0,0,0.0,516,14.65,29.30
,MWM,Corey Davis,WR,CIN,NYJ,8,0.0,0,0,0.0,0.0,14,13.5,20.0,1,1,87.5,160,14.50,29.00
,CC,Kirk Cousins,QB,DET,MIN,32,64.1,6,1,10.0,0.0,0,0.0,0.0,0,0,0.0,518,14.46,28.92
,MAM,Courtland Sutton,WR,SF,DEN,6,0.0,0,0,5.0,0.0,18,24.7,17.6,4,0,81.8,199,14.45,28.90
,GF,Russell Wilson,QB,SF,DEN,3,58.9,9,1,1.7,0.0,0,0.0,0.0,0,0,0.0,564,14.43,28.86
,MCM,Damien Harris,RB,BAL,NE,14,0.0,0,0,5.0,0.0,5,7.7,6.5,0,0,50.0,145,14.25,28.50
,FRR,Matthew Stafford,QB,@ARI,LAR,31,72.7,5,0,2.0,0.0,0,0.0,0.0,0,0,0.0,514,13.84,27.68
,MAM,Justin Fields,QB,HOU,CHI,9,53.6,3,1,2.5,0.0,0,0.0,0.0,0,0,0.0,239,13.72,27.44
,FRR,Javonte Williams,RB,SF,DEN,6,0.0,0,0,5.4,0.0,16,21.9,6.2,0,0,33.3,193,13.65,27.30
,MAM,Mike Evans,WR,GB,TB,7,0.0,0,0,0.0,0.0,11,18.0,16.5,2,1,100.0,132,13.60,27.20
,AFL,Terry McLaurin,WR,PHI,WAS,17,0.0,0,0,7.0,0.0,12,13.8,22.2,2,1,83.3,140,13.00,26.00
,CC,Darren Waller,TE,@TEN,LV,24,0.0,0,0,0.0,0.0,14,18.4,12.9,2,0,70.0,129,12.95,25.90
,NN,Amari Cooper,WR,PIT,CLE,29,0.0,0,0,0.0,0.0,16,26.2,9.8,1,0,66.7,118,12.90,25.80
,VD,David Montgomery,RB,HOU,CHI,28,0.0,0,0,4.6,1.0,6,21.4,7.6,0,0,20.0,186,12.80,25.60
,VD,Austin Ekeler,RB,JAC,LAC,13,0.0,0,0,2.7,0.0,14,17.1,7.0,1,0,38.5,166,12.80,25.60
,VD,Mitch Trubisky,QB,@CLE,PIT,24,59.2,5,0,4.0,0.0,0,0.0,0.0,0,0,0.0,378,12.54,25.08
,NN,Darrell Henderson,RB,@ARI,LAR,31,0.0,0,0,4.1,0.0,5,12.2,5.2,0,0,20.0,120,12.50,25.00
,GF,James Conner,RB,LAR,ARI,1,0.0,0,0,3.0,0.0,10,11.5,7.9,1,0,57.1,106,12.30,24.60
,WLW,Najee Harris,RB,@CLE,PIT,10,0.0,0,0,2.9,0.0,8,11.3,6.1,0,0,57.1,115,12.25,24.50
,MWM,Geno Smith,QB,ATL,SEA,21,81.0,3,0,2.0,0.0,0,0.0,0.0,0,0,0.0,408,12.14,24.28
