Season,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
2022,Dalton Schultz ,TE,DAL,100,90,0,90,18,0,65,71,bye,76,64,84,72,93,97,86,81,87,817,79
2022,Dalvin Cook ,RB,MIN,77,69,61,63,57,87,bye,76,86,84,60,86,75,85,86,79,59,34,841,72
2022,Dameon Pierce ,RB,HOU,29,62,59,68,79,bye,52,78,78,72,77,56,72,55,0,0,0,0,508,64
2022,Damien Harris ,RB,NE,39,40,38,45,10,0,17,41,0,bye,24,20,0,0,0,0,48,53,238,35
2022,Damien Williams ,RB,ATL,13,0,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,10,13
2022,Damiere Byrd ,WR,ATL,0,0,0,20,32,0,34,51,48,48,35,0,35,bye,41,44,31,29,279,38
2022,Dan Arnold ,TE,JAC,0,23,0,13,11,0,14,21,35,9,bye,0,14,21,0,18,22,0,135,18
2022,Daniel Bellinger ,TE,NYG,0,58,60,60,74,94,34,0,bye,0,0,0,97,61,98,99,89,0,545,74
2022,Daniel Jones ,QB,NYG,100,100,100,82,100,100,100,100,bye,100,100,100,100,81,100,100,87,0,1040,97
2022,Danny Gray ,WR,SF,0,9,0,0,10,0,10,0,bye,0,0,0,0,21,3,4,6,0,43,9
2022,Dante Pettis ,WR,CHI,40,56,57,58,60,61,31,53,36,44,26,40,65,bye,80,73,27,63,524,51
2022,Dare Ogunbowale ,RB,HOU,0,2,0,0,0,bye,12,6,2,6,7,30,22,27,43,28,37,62,183,22
2022,Dareke Young ,WR,SEA,0,0,0,0,0,0,0,6,19,0,bye,0,1,0,5,13,38,24,76,16
2022,Darius Slayton ,WR,NYG,0,0,0,60,54,69,57,74,bye,80,87,84,92,83,94,99,83,0,677,78
2022,Darnell Mooney ,WR,CHI,90,90,94,85,94,92,80,86,86,87,81,0,0,bye,0,0,0,0,612,87
2022,Darrel Williams ,RB,ARI,0,46,17,21,12,0,0,27,0,0,0,0,bye,0,0,0,0,0,99,25
2022,Darrell Henderson ,RB,LAR,82,56,50,59,57,71,bye,41,49,57,6,0,0,0,0,0,0,0,331,53
2022,Darren Waller ,TE,LV,84,55,73,80,0,bye,0,0,0,0,0,0,0,0,49,40,57,67,338,64
2022,Darrynton Evans ,RB,CHI,0,0,0,0,0,0,0,0,0,0,0,32,25,bye,27,0,0,0,47,28
2022,Davante Adams ,WR,LV,95,97,100,95,100,bye,96,72,95,93,98,100,97,97,99,96,89,90,1044,95
2022,David Bell ,WR,CLE,0,30,56,26,43,63,57,47,bye,52,64,63,5,68,0,73,26,36,494,48
2022,David Blough ,QB,ARI,0,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,100,67,109,87
2022,David Johnson ,RB,NO,0,0,0,0,0,0,0,0,0,0,18,0,0,bye,33,28,0,12,50,22
2022,David Montgomery ,RB,CHI,66,80,17,0,72,78,56,70,70,66,80,68,77,bye,68,67,54,47,629,65
2022,David Njoku ,TE,CLE,89,94,88,92,85,80,62,0,bye,0,37,81,0,96,94,97,93,92,817,84
2022,David Sills V ,WR,NYG,0,92,63,72,43,35,31,15,bye,0,0,0,0,0,0,0,0,0,242,51
2022,Davis Mills ,QB,HOU,97,95,100,100,100,bye,100,100,100,100,100,0,0,50,83,78,83,91,855,91
2022,Davis Webb ,QB,NYG,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,100,63,100
2022,Dawson Knox ,TE,BUF,86,69,71,75,0,85,bye,88,85,81,80,78,84,86,82,75,0,81,825,80
2022,Dax Milne ,WR,WAS,8,3,6,3,2,11,35,15,16,10,7,0,0,bye,0,1,0,3,83,9
2022,Daylen Baldwin ,WR,CLE,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,18,0,0,0,12,18
2022,DeAndre Carter ,WR,LAC,37,65,74,70,59,73,94,bye,83,86,82,80,60,15,23,19,20,60,698,59
2022,DeAndre Hopkins ,WR,ARI,0,0,0,0,0,0,92,100,94,94,69,74,bye,85,92,93,0,0,555,88
2022,DeSean Jackson ,WR,BAL,0,0,0,0,0,0,0,0,16,bye,0,14,35,18,32,29,35,0,110,25
2022,DeVante Parker ,WR,NE,100,76,97,97,52,79,92,1,0,bye,40,85,87,10,0,0,0,82,545,67
2022,DeVonta Smith ,WR,PHI,96,99,89,87,99,89,bye,74,89,86,94,92,86,91,96,93,98,100,1083,92
2022,Dee Eskridge ,WR,SEA,9,12,0,27,48,19,42,30,53,0,bye,0,0,0,0,0,0,0,156,31
2022,DeeJay Dallas ,RB,SEA,5,4,21,4,19,34,27,8,3,0,bye,14,48,0,0,46,38,16,196,21
2022,Deebo Samuel ,WR,SF,82,78,79,80,79,83,86,0,bye,87,59,79,82,43,0,0,0,68,659,76
2022,Demarcus Robinson ,WR,BAL,45,39,37,56,75,76,0,63,50,bye,78,60,76,61,63,54,60,63,622,60
2022,Demetric Felton ,RB,CLE,14,18,0,0,0,0,0,0,bye,0,0,0,60,12,6,0,0,0,74,21
2022,Dennis Houston ,WR,DAL,57,34,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,60,46
2022,Denzel Mims ,WR,NYJ,0,0,0,0,0,0,41,75,83,bye,90,29,19,69,10,0,16,0,265,45
2022,Deon Jackson ,RB,IND,0,4,0,0,58,67,8,3,63,0,20,0,11,bye,32,15,24,41,246,31
2022,Deonte Harty ,WR,NO,11,16,0,3,5,0,0,0,0,0,0,0,0,bye,0,0,0,0,24,9
2022,Derek Carr ,QB,LV,100,100,100,100,100,bye,98,76,100,100,100,99,100,100,100,100,0,0,946,98
2022,Derek Watt ,RB,PIT,0,2,0,0,3,5,9,4,bye,7,0,7,11,0,13,3,6,8,55,7
2022,Derrick Henry ,RB,TEN,68,46,74,69,64,bye,75,74,59,58,71,56,55,75,71,74,0,75,648,67
2022,Deshaun Watson ,QB,CLE,0,0,0,0,0,0,0,0,bye,0,0,0,98,99,98,100,98,98,387,99
2022,Desmond Ridder ,QB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,100,100,100,94,271,99
2022,Deven Thompkins ,WR,TB,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,18,5,12,84,72,25
2022,Devin Asiasi ,TE,CIN,0,0,0,25,0,2,0,0,31,bye,14,0,0,0,0,39,0,0,81,23
2022,Devin Duvernay ,WR,BAL,52,54,58,64,72,68,66,66,74,bye,84,78,94,57,71,0,0,0,632,69
2022,Devin Singletary ,RB,BUF,59,54,73,88,54,86,bye,75,74,72,72,78,44,49,60,58,0,41,709,65
2022,Devine Ozigbo ,RB,DEN,0,0,0,0,3,0,0,0,bye,0,0,7,0,0,7,0,0,0,11,5
2022,Dezmon Patmon ,WR,IND,0,48,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,24,48
2022,Diontae Johnson ,WR,PIT,81,86,98,89,93,95,93,95,bye,92,96,96,82,95,74,88,91,82,1042,90
2022,Donald Parham ,TE,LAC,0,0,0,0,25,20,0,bye,0,0,0,0,0,0,31,35,41,51,144,33
2022,Donovan Peoples-Jones ,WR,CLE,83,78,88,84,88,87,93,96,bye,88,99,96,95,100,77,97,86,92,1055,90
2022,Dontrell Hilliard ,RB,TEN,18,0,24,31,31,bye,29,28,31,42,18,37,36,13,0,0,0,0,200,28
2022,Drake London ,WR,ATL,72,82,84,80,67,67,85,88,75,87,76,86,87,bye,81,77,77,57,819,78
2022,Drew Sample ,TE,CIN,29,14,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,39,23
2022,Duke Johnson ,RB,BUF,0,0,0,0,0,0,bye,0,0,7,0,0,0,0,0,0,0,0,5,7
2022,Durham Smythe ,TE,MIA,63,49,74,63,49,0,0,0,58,54,bye,49,59,0,64,64,59,71,470,59
2022,Dwayne Washington ,RB,NO,0,6,0,0,3,0,1,20,10,0,0,2,0,bye,0,0,0,0,26,7
2022,Dyami Brown ,WR,WAS,0,0,16,28,32,5,0,0,31,19,0,23,0,bye,16,0,0,12,124,20
2022,Elijah Mitchell ,RB,SF,25,0,0,0,0,0,0,0,bye,35,22,21,0,0,0,0,0,16,80,24
2022,Elijah Moore ,WR,NYJ,89,87,94,90,66,58,0,17,0,bye,54,35,68,82,75,81,70,70,704,71
2022,Eno Benjamin ,RB,Multi,34,42,27,14,54,87,73,74,27,1,0,0,0,12,0,0,9,10,335,36
2022,Equanimeous St Brown ,WR,CHI,76,71,86,95,62,64,59,32,70,51,72,40,58,bye,5,0,62,8,555,57
2022,Eric Saubert ,TE,DEN,27,36,47,77,56,0,19,16,bye,19,42,0,49,26,59,33,34,0,360,38
2022,Eric Tomlinson ,TE,DEN,30,0,0,0,48,28,44,30,bye,26,0,0,0,32,51,0,0,38,228,37
2022,Erik Ezukanma ,WR,MIA,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,15,10,15
2022,Evan Engram ,TE,JAC,71,69,76,74,75,78,85,93,55,88,bye,81,77,79,86,75,67,88,868,77
2022,Ezekiel Elliott ,RB,DAL,58,67,64,64,65,61,49,0,bye,0,29,51,56,49,51,47,66,48,558,55
2022,Feleipe Franks ,QB,ATL,0,0,0,0,45,0,2,7,0,0,0,0,6,bye,5,0,0,0,43,14
2022,Foster Moreau ,TE,LV,0,61,50,0,0,bye,96,100,97,96,100,100,90,100,56,68,79,40,727,80
2022,Frank Darby ,WR,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,41,28,41
2022,Freddie Swain ,WR,Multi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,75,0,32,109,54
2022,Gabe Davis ,WR,BUF,98,0,96,98,84,93,bye,88,95,93,88,90,81,92,97,89,0,80,926,91
2022,Gardner Minshew ,QB,PHI,0,0,0,0,0,0,bye,19,0,0,0,0,12,7,0,100,100,0,151,47
2022,Garrett Wilson ,WR,NYJ,49,61,63,77,56,44,73,88,92,bye,100,83,92,97,98,97,100,88,884,79
2022,Gary Brightwell ,RB,NYG,0,1,0,5,11,2,0,2,bye,0,9,17,0,33,0,1,8,46,87,12
2022,Geno Smith ,QB,SEA,100,100,100,100,100,100,100,100,100,100,bye,100,100,100,100,100,100,100,1093,100
2022,Geoff Swaim ,TE,TEN,69,0,69,0,66,bye,63,0,0,53,71,54,36,25,0,39,45,55,406,54
2022,George Kittle ,TE,SF,0,0,91,94,88,98,89,100,bye,100,74,97,96,79,84,90,93,71,859,89
2022,George Pickens ,WR,PIT,71,85,76,70,76,83,79,86,bye,75,86,78,68,76,66,81,73,63,882,76
2022,Gerald Everett ,TE,LAC,66,67,75,66,65,55,56,bye,68,17,0,58,59,72,62,0,56,44,630,59
2022,Giovani Bernard ,RB,TB,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,45,25,45
2022,Giovanni Ricci ,TE,CAR,23,31,51,46,29,0,20,9,27,12,0,0,bye,0,0,0,6,5,150,23
2022,Godwin Igwebuike ,RB,SEA,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,6,1,5,4
2022,Grant Calcaterra ,TE,PHI,0,0,24,0,0,0,bye,0,0,0,28,29,38,57,40,0,0,0,155,36
2022,Greg Dortch ,WR,ARI,91,71,81,36,3,6,53,26,8,3,93,0,bye,5,9,76,81,69,513,45
2022,Greg Dulcich ,TE,DEN,0,0,0,0,0,71,59,80,bye,89,83,87,72,75,68,67,0,0,497,75
2022,Gunner Olszewski ,WR,PIT,14,14,5,14,0,0,13,0,bye,26,42,30,28,36,28,0,36,18,208,24
2022,Gus Edwards ,RB,BAL,0,0,0,0,0,0,36,21,0,bye,0,50,24,34,17,40,17,6,159,27
2022,Harrison Bryant ,TE,CLE,48,46,0,67,57,36,57,0,bye,76,73,27,57,11,41,0,53,31,463,48
2022,Hassan Haskins ,RB,TEN,0,50,7,0,3,bye,7,3,12,3,11,11,0,0,19,25,66,20,146,18
2022,Hayden Hurst ,TE,CIN,75,81,38,56,81,70,62,72,46,bye,65,66,12,0,0,0,0,73,545,61
2022,Hunter Henry ,TE,NE,77,50,70,84,98,97,85,64,67,bye,84,71,87,66,80,0,100,100,794,80
2022,Hunter Long ,TE,MIA,0,0,0,0,0,27,0,25,0,0,bye,0,0,0,0,0,0,0,38,26
2022,Hunter Renfrow ,WR,LV,83,69,0,0,55,bye,57,79,75,0,0,0,0,0,43,47,46,57,377,61
2022,Ian Thomas ,TE,CAR,66,74,62,29,39,52,62,55,0,0,54,58,bye,64,46,63,55,0,471,56
2022,Ihmir Smith-Marsette ,WR,Multi,0,0,0,10,38,35,0,0,0,0,0,0,0,0,0,0,0,0,50,27
2022,Irv Smith ,TE,MIN,31,56,51,64,63,63,bye,48,0,0,0,0,0,0,0,0,0,45,285,53
