Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
WR,CPC,Jakobi Meyers,JAC,CLE,Sun  1:00pm ET,7,40.5,45,5,91%,62%,1.0,1,144.8,180.12,120.86
QB,CPC,Dak Prescott,DAL,@NYG,Sun  8:20pm ET,14,48.5,7,25,97%,78%,77.0,1,329.58,271.4,310.78
DST,CPC,Texans,HOU,BUF,Sun  1:00pm ET,8,44.5,3,10,100%,87%,10.0,1,169.0,153.0,167.5
QB,CPC,Ty Simpson,LAR,SF,Thu  8:35pm ET,11,48.5,---,16,2%,1%,20.0,3,0.0,0.0,36.09
RB,CPC,Jawhar Jordan,HOU,BUF,Sun  1:00pm ET,8,44.5,---,25,23%,3%,1.0,1,32.7,27.1,70.42
RB,CPC,Brian Robinson,ATL,@PIT,Sun  1:00pm ET,11,41.5,56,9,51%,2%,18.0,1,75.6,158.2,88.4
RB,CPC,Nicholas Singleton,TEN,NYJ,Sun  1:00pm ET,9,38.5,---,32,3%,1%,5.0,3,0.0,0.0,20.91
WR,CPC,Matthew Golden,GB,@MIN,Sun  4:25pm ET,11,45.5,52,1,35%,3%,5.0,2,60.0,56.5,85.9
WR,CPC,Adonai Mitchell,NYJ,@TEN,Sun  1:00pm ET,13,38.5,---,29,39%,11%,4.0,1,70.3,63.62,45.77
TE,CPC,George Kittle,SF,@LAR,Thu  8:35pm ET,8,48.5,12,14,97%,52%,30.0,1,142.8,174.4,125.51
DC,CPC,Dontayvion Wicks Dead Cap,GB,@MIN,Sun  4:25pm ET,11,45.5,---,1,0%,0%,2.0,1,0.0,0.0,0.0
TE,CPC,Max Klare,LAR,SF,Thu  8:35pm ET,11,48.5,---,22,2%,1%,3.0,3,0.0,0.0,18.13
WR,CPC,Jalen Royals,KC,DEN,Mon  8:15pm ET,5,42.5,---,2,2%,1%,3.0,2,0.4,0.0,19.92
RB,DDD,Jahmyr Gibbs,DET,NO,Sun  1:00pm ET,6,49.5,1,20,100%,99%,102.0,2,373.9,341.4,313.65
