Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
TE,RR,Tyler Warren,IND,BAL,Sun  1:00pm ET,13,49.5,4,8,95%,59%,5.0,2,157.5,159.9,135.57
RB,RR,Michael Carter,TEN,NYJ,Sun  1:00pm ET,9,38.5,---,32,59%,28%,5.0,1,97.0,52.6,12.2
WR,RR,Tyreek Hill,MIA,@LV,Sun  4:25pm ET,6,40.5,---,20,17%,1%,1.0,1,49.5,193.2,0.0
QB,SBS,Jayden Daniels,WAS,@PHI,Sun  4:25pm ET,7,47.5,5,11,66%,15%,40.0,1,128.28,260.82,325.99
RB,SBS,Emmett Johnson,KC,DEN,Mon  8:15pm ET,5,42.5,---,3,3%,1%,3.0,3,0.0,0.0,22.41
RB,SBS,Jonathan Taylor,IND,BAL,Sun  1:00pm ET,13,49.5,3,17,100%,98%,116.0,1,415.3,293.4,290.17
WR,SBS,Christian Kirk,SF,@LAR,Thu  8:35pm ET,8,48.5,---,24,20%,4%,5.0,2,42.2,74.5,87.03
WR,SBS,Jaylin Noel,HOU,BUF,Sun  1:00pm ET,8,44.5,---,13,5%,1%,3.0,2,55.9,57.2,50.28
TE,SBS,Mason Taylor,NYJ,@TEN,Sun  1:00pm ET,13,38.5,---,21,17%,3%,3.0,2,67.9,65.2,70.01
TE,SBS,Colby Parkinson,LAR,SF,Thu  8:35pm ET,11,48.5,31,22,51%,27%,1.0,1,111.4,71.4,81.79
WR,SBS,Christian Watson,GB,@MIN,Sun  4:25pm ET,11,45.5,26,1,87%,34%,17.0,2,125.4,100.7,136.53
QB,SBS,Lamar Jackson,BAL,@IND,Sun  1:00pm ET,13,49.5,2,20,94%,54%,201.0,2,238.86,365.78,315.13
WR,SBS,Germie Bernard,PIT,ATL,Sun  1:00pm ET,9,41.5,---,22,3%,1%,5.0,3,0.0,0.0,68.68
WR,SBS,Omar Cooper,NYJ,@TEN,Sun  1:00pm ET,13,38.5,---,29,3%,1%,15.0,3,0.0,0.0,84.62
WR,SBS,Wan'Dale Robinson,TEN,NYJ,Sun  1:00pm ET,9,38.5,53,19,89%,48%,1.0,1,165.9,133.8,121.85
RB,SBS,TreVeyon Henderson,NE,@SEA,Wed  8:20pm ET,11,44.5,26,4,99%,59%,20.0,2,223.2,222.2,165.92
RB,SBS,Kyle Monangai,CHI,@CAR,Sun  1:00pm ET,10,45.5,36,23,88%,28%,1.0,1,175.7,174.5,131.71
WR,SBS,Alec Pierce,IND,BAL,Sun  1:00pm ET,13,49.5,34,25,79%,35%,1.0,1,177.3,138.8,164.77
RB,SBS,Dylan Sampson,CLE,@JAC,Sun  1:00pm ET,11,40.5,47,1,29%,7%,3.0,2,75.6,71.7,83.88
WR,SBS,Troy Franklin,DEN,@KC,Mon  8:15pm ET,10,42.5,---,6,77%,31%,3.0,1,146.5,101.9,93.56
QB,SBS,Philip Rivers,IND,BAL,Sun  1:00pm ET,13,49.5,---,21,8%,3%,4.0,1,31.76,29.52,0.0
WR,SBS,Deebo Samuel,SF,@LAR,Thu  8:35pm ET,8,48.5,48,24,88%,47%,51.0,1,152.6,166.7,111.35
