Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2024,10,ABT,RB,Chase Brown,CIN,@BAL,6,0,0,0,0,0,13,42,1,1,11,9,52,0,3,1,17.40,17.40
2024,10,ABT,WR,DJ Moore,CHI,NE,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,ABT,RB,Saquon Barkley,PHI,@DAL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,ABT,TE,Jake Ferguson,DAL,PHI,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,ABT,WR,Puka Nacua,LAR,MIA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,ABT,WR,Josh Downs,IND,BUF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,ABT,QB,Caleb Williams,CHI,NE,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,ABT,RB,Najee Harris,PIT,@WAS,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,ABT,QB,Bryce Young,CAR,NYG,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,ABT,DST,Eagles,PHI,@DAL,21,,,,,,,,,,,,,,,,-,0.00
2024,10,CLC,WR,Darnell Mooney,ATL,@NO,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,CLC,WR,DeVonta Smith,PHI,@DAL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,CLC,WR,Nico Collins,HOU,DET,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,CLC,RB,Javonte Williams,DEN,@KC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,CLC,WR,Jaylen Waddle,MIA,@LAR,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,CLC,TE,Dalton Kincaid,BUF,@IND,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,CLC,RB,Breece Hall,NYJ,@ARI,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,CLC,WR,Rome Odunze,CHI,NE,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,CLC,QB,Joe Flacco,IND,BUF,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,CLC,DST,Bears,CHI,NE,27,,,,,,,,,,,,,,,,-,0
2024,10,CPC,WR,Ja'Marr Chase,CIN,@BAL,32,0,0,0,0,0,0,0,0,0,17,11,264,3,11,0,55.40,55.40
2024,10,CPC,RB,Derrick Henry,BAL,CIN,11,0,0,0,0,0,16,68,1,3,1,1,3,0,0,0,16.10,16.10
2024,10,CPC,WR,Tyreek Hill,MIA,@LAR,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,CPC,QB,Sam Darnold,MIN,@JAC,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,CPC,RB,Tony Pollard,TEN,@LAC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,CPC,RB,JK Dobbins,LAC,TEN,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,CPC,TE,George Kittle,SF,@TB,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,CPC,RB,James Cook,BUF,@IND,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,CPC,QB,Drake Maye,NE,@CHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2024,10,CPC,DST,Vikings,MIN,@JAC,14,,,,,,,,,,,,,,,,-,0.00
2024,10,DDD,QB,Jared Goff,DET,@HOU,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,DDD,TE,Mike Gesicki,CIN,@BAL,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,DDD,WR,Tank Dell,HOU,DET,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,DDD,TE,Sam LaPorta,DET,@HOU,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,DDD,WR,Zay Flowers,BAL,CIN,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,DDD,WR,Quentin Johnston,LAC,TEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,DDD,RB,Jahmyr Gibbs,DET,@HOU,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,DDD,RB,De'Von Achane,MIA,@LAR,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,DDD,WR,Malik Nabers,NYG,@CAR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,CPC,DST,Vikings,MIN,@JAC,14,,,,,,,,,,,,,,,,-,0.00
2024,10,LBC,QB,Aaron Rodgers,NYJ,@ARI,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LBC,TE,Evan Engram,JAC,MIN,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LBC,RB,Raheem Mostert,MIA,@LAR,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LBC,WR,Michael Pittman,IND,BUF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LBC,TE,Trey McBride,ARI,NYJ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LBC,QB,Bo Nix,DEN,@KC,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LBC,RB,Rhamondre Stevenson,NE,@CHI,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LBC,WR,Drake London,ATL,@NO,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LBC,WR,Jalen Coker,CAR,NYG,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LBC,DST,Broncos,DEN,@KC,6,,,,,,,,,,,,,,,,-,0
2024,10,LC,WR,DeAndre Hopkins,KC,DEN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LC,RB,James Conner,ARI,NYJ,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LC,TE,Dalton Schultz,HOU,DET,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LC,QB,Patrick Mahomes,KC,DEN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LC,QB,Jalen Hurts,PHI,@DAL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LC,RB,Tyler Allgeier,ATL,@NO,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LC,RB,Jaylen Warren,PIT,@WAS,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LC,WR,Xavier Legette,CAR,NYG,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LC,WR,Xavier Worthy,KC,DEN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,LC,DST,49ers,SF,@TB,16,,,,,,,,,,,,,,,,-,0
2024,10,MB,QB,Matthew Stafford,LAR,MIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,MB,TE,Travis Kelce,KC,DEN,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,MB,WR,Cooper Kupp,LAR,MIA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,MB,RB,Aaron Jones,MIN,@JAC,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,MB,QB,Kyler Murray,ARI,NYJ,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,MB,RB,Tyrone Tracy,NYG,@CAR,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,MB,WR,Amon-Ra St Brown,DET,@HOU,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,MB,RB,Bijan Robinson,ATL,@NO,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,MB,WR,Marvin Harrison,ARI,NYJ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,MB,DST,Buccaneers,TB,SF,12,,,,,,,,,,,,,,,,-,0
2024,10,NBB,WR,Terry McLaurin,WAS,PIT,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,NBB,QB,Josh Allen,BUF,@IND,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,NBB,RB,D'Andre Swift,CHI,NE,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,NBB,TE,Kyle Pitts,ATL,@NO,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,NBB,QB,Trevor Lawrence,JAC,MIN,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,NBB,WR,Khalil Shakir,BUF,@IND,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,NBB,WR,Jameson Williams,DET,@HOU,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2024,10,NBB,WR,Brian Thomas,JAC,MIN,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
