Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OVP,Comp,ATT,Yds,TD,Int,Att,Yds,TD,1stD,Tar,Rec,Yds,TD,1stD,Lost,Avg,Total
2022,1,W (5/10),QB,Andy Dalton,NO,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Andy Isabella,ARI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Andy Janovich,HOU,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Anthony Brown,BAL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Anthony Firkser,ATL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Anthony Gordon,KC,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Anthony Johnson,PIT,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Anthony McFarland,PIT,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Anthony Miller,PIT,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Anthony Norris,DEN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Anthony Ratliff-Williams,SEA,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Anthony Schwartz,CLE,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Antoine Wesley,ARI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Antonio Brown,TB,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Antonio Gandy-Golden,WAS,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CRB,RB,Antonio Gibson,WAS,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Antonio Nunn,ATL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Antonio Williams,NYG,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Antony Auclair,HOU,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Armani Rogers,WAS,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Armanti Foreman,MIN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Artavis Pierce,CLE,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Artavis Scott,HOU,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Artayvious Lynn,DAL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Arthur Williams,NYJ,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Ashton Dulin,IND,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Asim Rose,MIN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Auden Tate,ATL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,VD,RB,Austin Ekeler,LAC,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Austin Fort,TEN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Austin Hooper,TEN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Austin Mack,SF,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Austin Proehl,NYG,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Austin Ramesh,ARI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Austin Trammell,ATL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Austin Walter,NYJ,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Austin Watkins,TB,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Austin Willis,DET,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,BJ Baylor,GB,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,BJ Catalon,FA,BYE,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,BJ Emmons,JAC,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Bailey Gaither,GB,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Bailey Zappe,NE,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Baker Mayfield,CLE,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Ben DiNucci,DAL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Ben Ellefson,MIN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Ben Johnson,LAC,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Ben Mason,BAL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Ben Skowronek,LAR,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Ben Victor,BAL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Benny LeMay,CLE,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Benny Snell,PIT,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Bernhard Seikovits,ARI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Billy Brown,IND,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Bisi Johnson,MIN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Blaine Gabbert,TB,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Blake Bell,KC,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Blake Bortles,NO,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Blake Jarwin,DAL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Blake Proehl,MIN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Bo Melton,SEA,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Bobo Beathard,ARI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,AFL,RB,Boston Scott,PHI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Branden Mack,DEN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
