Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2021,3yr Avg,Proj
WR,ELP,Deebo Samuel,SF,@CHI,Sun  1:00pm,9,42,8,23,100%,96%,36,1,333.96,188.22,217.65
TE,ELP,Mark Andrews,BAL,@NYJ,Sun  1:00pm,10,45,2,28,98%,95%,28,2,269.10,205.10,184.10
WR,ELP,Michael Pittman,IND,@HOU,Sun  1:00pm,14,44,11,27,95%,51%,5,1,205.60,145.70,161.20
QB,ELP,Mac Jones,NE,@MIA,Sun  1:00pm,10,44.5,22,7,52%,9%,15,2,246.94,246.94,217.36
DST,ELP,49ers,SF,@CHI,Sun  1:00pm,9,42,2,30,87%,67%,1,1,105.00,111.00,156.90
RB,ELP,AJ Dillon,GB,@MIN,Sun  4:25pm,14,49,23,24,96%,45%,5,1,216.60,136.90,138.34
TE,ELP,Hunter Henry,NE,@MIA,Sun  1:00pm,10,44.5,24,22,72%,31%,1,1,148.30,133.30,96.60
WR,ELP,Mecole Hardman,KC,@ARI,Sun  4:25pm,8,53,---,29,31%,7%,26,1,116.90,109.80,97.70
QB,ELP,Sam Howell,WAS,JAC,Sun  1:00pm,14,44,---,25,1%,0%,3,3,0.00,0.00,0.00
WR,ELP,Skyy Moore,KC,@ARI,Sun  4:25pm,8,53,47,29,3%,0%,10,3,0.00,0.00,94.82
RB,ELP,Brian Robinson,WAS,JAC,Sun  1:00pm,14,44,51,21,2%,0%,5,3,0.00,0.00,77.92
QB,FRR,Patrick Mahomes,KC,@ARI,Sun  4:25pm,8,53,3,11,99%,96%,72,2,386.66,361.68,358.62
RB,FRR,Christian McCaffrey,CAR,CLE,Sun  1:00pm,13,41.5,5,16,42%,9%,105,1,130.50,231.40,218.11
RB,FRR,D'Andre Swift,DET,PHI,Sun  1:00pm,6,46.5,10,23,96%,48%,15,1,192.90,187.30,186.69
WR,FRR,Ja'Marr Chase,CIN,PIT,Sun  1:00pm,10,44.5,3,15,100%,87%,40,2,281.60,281.60,206.51
WR,FRR,Jerry Jeudy,DEN,@SEA,Mon  8:15pm,9,41.5,29,9,77%,25%,25,1,69.00,108.40,158.18
WR,FRR,Jaylen Waddle,MIA,NE,Sun  1:00pm,11,44.5,22,4,97%,63%,10,2,201.80,201.80,156.62
TE,FRR,TJ Hockenson,DET,PHI,Sun  1:00pm,6,46.5,7,31,53%,10%,21,1,116.30,111.80,100.47
RB,FRR,Javonte Williams,DEN,@SEA,Mon  8:15pm,9,41.5,15,30,97%,65%,5,2,225.90,225.90,173.92
QB,FRR,Jared Goff,DET,PHI,Sun  1:00pm,6,46.5,26,14,13%,2%,2,1,198.50,234.30,227.58
DST,FRR,Chargers,LAC,LV,Sun  4:25pm,8,52,11,21,61%,35%,1,1,96.00,80.00,142.90
QB,FRR,Kenny Pickett,PIT,@CIN,Sun  1:00pm,9,44.5,---,12,2%,0%,10,3,0.00,0.00,72.87
RB,FRR,Dameon Pierce,HOU,IND,Sun  1:00pm,6,44,38,6,3%,0%,5,3,0.00,0.00,131.25
WR,FRR,Drake London,ATL,NO,Sun  1:00pm,14,41.5,34,13,3%,1%,35,3,0.00,0.00,106.72
