Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2023,3yr Avg,Proj
TE,NBB,David Njoku,CLE,DAL,Sun  4:25pm ET,10,44,12,11,89%,65%,10,2,155.20,122.10,124.90
WR,NBB,Jayden Reed,GB,@PHI,Fri  8:15pm ET,10,48.5,36,32,86%,45%,8,2,191.40,189.80,149.94
WR,NBB,Khalil Shakir,BUF,ARI,Sun  1:00pm ET,12,48,49,18,26%,5%,14,2,101.10,69.70,116.76
WR,NBB,Jameson Williams,DET,LAR,Sun  8:20pm ET,5,51,45,26,42%,7%,5,2,71.30,38.40,127.46
QB,PCP,Joe Burrow,CIN,NE,Sun  1:00pm ET,12,42.5,6,5,50%,18%,93,2,156.46,280.88,301.37
RB,PCP,Trey Benson,ARI,@BUF,Sun  1:00pm ET,11,48,43,14,14%,2%,5,3,0.00,0.00,121.22
RB,PCP,Kyren Williams,LAR,@DET,Sun  8:20pm ET,6,51,5,2,98%,88%,96,2,294.10,158.00,227.20
WR,PCP,AJ Brown,PHI,GB,Fri  8:15pm ET,5,48.5,4,17,98%,96%,79,2,253.60,233.70,195.58
WR,PCP,CeeDee Lamb,DAL,@CLE,Sun  4:25pm ET,7,44,1,4,100%,98%,126,2,354.20,276.30,230.30
TE,PCP,Pat Freiermuth,PIT,@ATL,Sun  1:00pm ET,9,43,13,29,65%,25%,3,2,61.80,105.10,91.36
WR,PCP,Keon Coleman,BUF,ARI,Sun  1:00pm ET,12,48,43,18,12%,3%,10,3,0.00,0.00,117.86
WR,PCP,Garrett Wilson,NYJ,@SF,Mon  8:15pm ET,12,44.5,7,20,98%,74%,34,2,167.10,182.40,160.51
QB,PCP,Geno Smith,SEA,DEN,Sun  4:05pm ET,10,42,24,19,72%,23%,3,2,237.26,199.46,260.81
DST,PCP,Ravens,BAL,@KC,Thu  8:20pm ET,14,46.5,3,8,95%,61%,7,2,193.00,126.00,162.30
TE,PCP,TJ Hockenson,MIN,@NYG,Sun  1:00pm ET,6,41.5,14,4,78%,36%,7,2,172.00,151.10,81.70
RB,PCP,Braelon Allen,NYJ,@SF,Mon  8:15pm ET,12,44.5,56,4,7%,1%,3,3,0.00,0.00,87.42
RB,PCP,Rico Dowdle,DAL,@CLE,Sun  4:25pm ET,7,44,40,5,36%,3%,5,2,97.80,41.60,130.17
RB,PCP,Ezekiel Elliott,DAL,@CLE,Sun  4:25pm ET,7,44,41,5,87%,49%,3,2,167.50,219.52,96.95
QB,PCP,Daniel Jones,NYG,MIN,Sun  1:00pm ET,11,41.5,29,18,11%,2%,1,2,71.96,192.26,249.45
TE,PCP,Luke Musgrave,GB,@PHI,Fri  8:15pm ET,10,48.5,17,18,25%,4%,3,2,55.20,52.20,83.63
RB,PCP,Dameon Pierce,HOU,@IND,Sun  1:00pm ET,14,48.5,---,27,55%,8%,3,2,80.90,131.60,41.61
WR,PCP,Rashee Rice,KC,BAL,Thu  8:20pm ET,6,46.5,26,2,92%,66%,6,2,177.80,176.80,131.90
RB,PCP,Tyjae Spears,TEN,@CHI,Sun  1:00pm ET,5,43,31,21,72%,13%,7,2,142.80,140.60,112.14
