Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2023,3yr Avg,Proj
DST,SBS,Cowboys,DAL,@CLE,Sun  4:25pm ET,7,44,1,29,95%,65%,3,2,193.00,170.00,145.00
WR,SBS,Troy Franklin,DEN,@SEA,Sun  4:05pm ET,14,42,---,22,5%,1%,3,3,0.00,0.00,94.83
WR,SBS,Rashod Bateman,BAL,@KC,Thu  8:20pm ET,14,46.5,---,5,12%,2%,1,2,65.50,60.80,88.61
TE,SBS,Tyler Conklin,NYJ,@SF,Mon  8:15pm ET,12,44.5,18,9,30%,10%,1,2,89.10,100.10,77.59
RB,SBS,Jerome Ford,CLE,DAL,Sun  4:25pm ET,10,44,36,18,90%,44%,6,2,216.40,102.70,132.84
RB,SBS,Antonio Gibson,NE,@CIN,Sun  1:00pm ET,14,42.5,49,20,64%,15%,1,2,111.40,179.40,96.57
RB,SBS,Chuba Hubbard,CAR,@NO,Sun  1:00pm ET,11,40.5,42,8,83%,47%,2,2,211.50,153.80,93.41
WR,SBS,Andrei Iosivas,CIN,NE,Sun  1:00pm ET,12,42.5,---,14,3%,1%,1,2,46.60,46.40,39.17
QB,SBS,Russell Wilson,PIT,@ATL,Sun  1:00pm ET,9,43,26,22,66%,18%,1,2,294.90,263.68,222.34
RB,SBS,Jaylen Wright,MIA,JAC,Sun  1:00pm ET,6,49,55,16,9%,1%,5,3,0.00,0.00,96.63
