playerID,Player,Pos,NFL,TRUFFLE
1880880,Brandin Cooks,WR,HOU,W (9/1)
2967489,Brandon Aiyuk,WR,SF,W (9/1)
1852876,Brandon Allen,QB,CIN,W (9/1)
1632301,Brandon Bolden,RB,LV,W (9/1)
1776297,Brandon Bridge,QB,FA,W (9/1)
3116815,Brandon Dillon,TE,NO,W (9/1)
2245903,Brandon Johnson,RB,PIT,W (9/1)
2247509,Brandon Johnson,WR,DEN,W (9/1)
3044909,Brandon Lewis,WR,TEN,W (9/1)
2239738,Brandon Peters,QB,LAC,W (9/1)
2926490,Brandon Powell,WR,LAR,W (9/1)
2865783,Brandon Smith,WR,DAL,W (9/1)
2914676,Brandon Zylstra,WR,CAR,W (9/1)
2130981,Braxton Berrios,WR,NYJ,W (9/1)
28867632,Brayden Lenius,TE,ATL,W (9/1)
2869933,Braylon Sanders,WR,MIA,W (9/1)
3123469,Breece Hall,RB,NYJ,CRB
2130622,Brelan Chancellor,WR,PIT,W (9/1)
2864720,Brenden Knox,RB,KC,W (9/1)
2965527,Brennan Eagles,WR,DAL,W (9/1)
1984950,Breshad Perriman,WR,TB,W (9/1)
1824723,Brett Hundley,QB,BAL,W (9/1)
2181392,Brett Rypien,QB,DEN,W (9/1)
2964787,Brevin Jordan,TE,HOU,W (9/1)
2131960,Brian Hill,RB,SF,W (9/1)
517243,Brian Hoyer,QB,NE,W (9/1)
2186429,Brian Lewerke,QB,NYG,W (9/1)
2741207,Brian Robinson,RB,WAS,ELP
2247169,Briley Moore-McKinney,TE,TEN,W (9/1)
2185571,Britain Covey,WR,PHI,W (9/1)
2249805,Brittain Brown,RB,LV,W (9/1)
2961306,Brock Purdy,QB,SF,W (9/1)
2807423,Brock Wright,TE,DET,W (9/1)
1909,Broncos,DST,DEN,W (9/1)
1930,Browns,DST,CLE,W (9/1)
2190739,Bruce Anderson,RB,IND,W (9/1)
2240557,Bruno Labelle,TE,ARI,W (9/1)
2221840,Bryan Edwards,WR,ATL,W (9/1)
2803780,Bryant Koback,RB,MIN,W (9/1)
3103642,Bryant Mitchell,WR,TB,W (9/1)
2186835,Bryce Love,RB,WAS,W (9/1)
3159114,Bryce Perkins,QB,LAR,W (9/1)
2183906,Brycen Hopkins,TE,LAR,W (9/1)
1927,Buccaneers,DST,TB,W (9/1)
2926809,Buddy Howell,RB,LAR,W (9/1)
2060469,Bug Howard,WR,TB,W (9/1)
2239646,Byron Pringle,WR,CHI,W (9/1)
1998463,CJ Beathard,QB,JAC,W (9/1)
2818904,CJ Board,WR,NYG,W (9/1)
2180481,CJ Conrad,TE,NYG,W (9/1)
2237239,CJ Ham,RB,MIN,W (9/1)
2239828,CJ Marable,RB,CHI,W (9/1)
2239786,CJ Saunders,WR,CAR,W (9/1)
2174118,CJ Uzomah,TE,NYJ,MWM
2866324,CJ Verdell,RB,IND,W (9/1)
2868649,Cade Brewer,TE,SEA,W (9/1)
2241709,Cade Johnson,WR,SEA,W (9/1)
2815179,Cade Otton,TE,TB,W (9/1)
2865212,Caleb Huntley,RB,ATL,W (9/1)
2139757,Caleb Scott,WR,LV,W (9/1)
2251371,Caleb Wilson,TE,DEN,W (9/1)
2866214,Calvin Austin,WR,PIT,VD
2968105,Calvin Jackson,WR,NYJ,W (9/1)
2186328,Calvin Ridley,WR,ATL,W (9/1)
2804034,Cam Akers,RB,LAR,NN
1273186,Cam Newton,QB,CAR,W (9/1)
2925163,Cam Sims,WR,WAS,W (9/1)
2968097,Cam Sutton,TE,SEA,W (9/1)
2926801,Cameron Batson,WR,ATL,W (9/1)
2132787,Cameron Brate,TE,TB,W (9/1)
3161136,Cameron Scarlett,RB,SEA,W (9/1)
1901,Cardinals,DST,ARI,W (9/1)
2179354,Carl Tucker,TE,MIA,W (9/1)
1751883,Carlos Hyde,RB,JAC,W (9/1)
