RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,AGE,SOS SEASON,ECR VS. ADP
376,15,DeeJay Dallas,SEA,RB115,5,25,2 out of 5 stars,-
377,15,Colby Parkinson,SEA,TE67,5,24,3 out of 5 stars,-
378,15,Gary Brightwell,NYG,RB116,13,24,4 out of 5 stars,-
379,15,Cameron Latu,SF,TE68,9,23,3 out of 5 stars,-
380,15,Jarvis Landry,FA,WR150,-,31,-,-
381,15,Travis Homer,CHI,RB117,13,25,3 out of 5 stars,-
382,15,Jamison Crowder,WAS,WR151,14,30,3 out of 5 stars,-
383,15,Ameer Abdullah,LV,RB118,13,30,3 out of 5 stars,-
384,15,Tyson Bagent,CHI,QB47,13,23,4 out of 5 stars,-
385,15,Bailey Zappe,NE,QB48,11,24,4 out of 5 stars,-
386,15,J.D. McKissic,FA,RB119,-,30,-,-
387,15,Kyle Trask,TB,QB49,5,25,3 out of 5 stars,-
388,15,Mike Boone,HOU,RB120,7,28,3 out of 5 stars,-
389,15,Marquez Callaway,NO,WR152,11,25,4 out of 5 stars,-
390,15,Jarrett Stidham,DEN,QB50,9,27,4 out of 5 stars,-
391,15,Cooper Rush,DAL,QB51,7,30,5 out of 5 stars,-
392,15,Tyler Huntley,BAL,QB52,13,25,3 out of 5 stars,-
393,15,Mitch Trubisky,PIT,QB53,6,29,2 out of 5 stars,-
394,15,Hunter Long,LAR,TE69,10,25,2 out of 5 stars,-
395,15,Justin Watson,KC,WR153,10,27,3 out of 5 stars,-
396,15,Julius Chestnut,TEN,RB121,7,23,3 out of 5 stars,-
397,15,Eno Benjamin,NO,RB122,11,24,3 out of 5 stars,-
398,15,Nyheim Hines,BUF,RB123,13,27,3 out of 5 stars,-
399,15,Jalen Nailor,MIN,WR154,13,24,3 out of 5 stars,-
400,15,Marquise Goodwin,CLE,WR155,5,33,2 out of 5 stars,-
401,15,Jalen Reagor,NE,WR156,11,24,4 out of 5 stars,-
402,15,Scott Miller,ATL,WR157,11,26,4 out of 5 stars,-
403,15,Brandon Bolden,LV,RB124,13,33,3 out of 5 stars,-
404,15,Demetric Felton Jr.,CIN,RB125,7,25,2 out of 5 stars,-
